date,pct_chg
2022-02-04,-0.87
2022-02-07,-0.96
2022-02-08,0.18
2022-02-09,2.21
2022-02-10,0.44
2022-02-11,-3.23
2022-02-14,-2.36
2022-02-15,0.02
2022-02-16,-0.33
2022-02-17,-3.25
2022-02-18,-3.68
2022-02-22,-3.65
2022-02-23,-5.63
2022-02-24,-8.66
2022-02-25,-6.66
2022-02-28,-8.31
2022-03-01,-10.62
2022-03-02,-8.46
2022-03-03,-9.82
2022-03-04,-15.92
2022-03-07,-18.51
2022-03-08,-16.62
2022-03-09,-11.85
2022-03-10,-11.85
2022-03-11,-13.63
2022-03-14,-13.5
2022-03-15,-12.16
2022-03-16,-8.89
2022-03-17,-7.77
2022-03-18,-6.72
2022-03-21,-7.64
2022-03-22,-7.86
2022-03-23,-10.49
2022-03-24,-10.36
2022-03-25,-9.29
2022-03-28,-9.62
2022-03-29,-7.88
2022-03-30,-7.8
2022-03-31,-8.62
2022-04-01,-8.8
2022-04-04,-11.14
2022-04-05,-12.07
2022-04-06,-13.14
2022-04-07,-13.34
2022-04-08,-15.01
2022-04-11,-15.75
2022-04-12,-16.06
2022-04-13,-14.1
2022-04-14,-15.72
2022-04-18,-15.39
2022-04-19,-12.98
2022-04-20,-10.42
2022-04-21,-13.3
2022-04-22,-16.62
2022-04-25,-17.11
2022-04-26,-20.49
2022-04-27,-19.67
2022-04-28,-18.19
2022-04-29,-20.22
2022-05-02,-19.15
2022-05-03,-17.95
2022-05-04,-14.72
2022-05-05,-17.37
2022-05-06,-20.51
2022-05-09,-21.51
2022-05-10,-23.12
2022-05-11,-22.54
2022-05-12,-22.09
2022-05-13,-20.78
2022-05-16,-21.18
2022-05-17,-18.62
2022-05-18,-20.82
2022-05-19,-19.64
2022-05-20,-18.42
2022-05-23,-17.71
2022-05-24,-18.26
2022-05-25,-16.73
2022-05-26,-14.08
2022-05-27,-12.0
2022-05-31,-14.43
2022-06-01,-14.25
2022-06-02,-11.85
2022-06-03,-11.34
2022-06-06,-10.47
2022-06-07,-8.53
2022-06-08,-8.75
2022-06-09,-11.8
2022-06-10,-15.72
2022-06-13,-19.82
2022-06-14,-20.56
2022-06-15,-19.13
2022-06-16,-23.63
2022-06-17,-25.15
2022-06-21,-24.03
2022-06-22,-24.21
2022-06-23,-25.66
2022-06-24,-21.36
2022-06-27,-21.25
2022-06-28,-22.3
2022-06-29,-23.27
2022-06-30,-23.63
2022-07-01,-23.23
2022-07-05,-24.79
2022-07-06,-24.74
2022-07-07,-21.69
2022-07-08,-22.96
2022-07-11,-23.83
2022-07-12,-24.26
2022-07-13,-25.9
2022-07-14,-27.68
2022-07-15,-25.59
2022-07-18,-25.19
2022-07-19,-21.47
2022-07-20,-20.02
2022-07-21,-18.4
2022-07-22,-19.17
2022-07-25,-19.49
2022-07-26,-18.89
2022-07-27,-14.95
2022-07-28,-12.6
2022-07-29,-9.62
2022-08-01,-10.83
2022-08-02,-11.62
2022-08-03,-9.46
2022-08-04,-9.66
2022-08-05,-9.64
2022-08-08,-9.26
2022-08-09,-10.07
2022-08-10,-6.88
2022-08-11,-5.88
2022-08-12,-2.72
2022-08-15,-2.9
2022-08-16,-2.05
2022-08-17,-4.59
2022-08-18,-4.57
2022-08-19,-5.95
2022-08-22,-10.0
2022-08-23,-10.29
2022-08-24,-9.87
2022-08-25,-7.79
2022-08-26,-12.36
2022-08-29,-13.16
2022-08-30,-13.43
2022-08-31,-14.03
2022-09-01,-12.2
2022-09-02,-13.36
2022-09-06,-13.48
2022-09-07,-11.56
2022-09-08,-10.51
2022-09-09,-8.84
2022-09-12,-6.44
2022-09-13,-10.05
2022-09-14,-9.98
2022-09-15,-10.51
2022-09-16,-14.36
2022-09-19,-12.05
2022-09-20,-14.36
2022-09-21,-16.24
2022-09-22,-18.68
2022-09-23,-20.02
2022-09-26,-21.38
2022-09-27,-22.09
2022-09-28,-19.95
2022-09-29,-20.74
2022-09-30,-21.49
2022-10-03,-18.28
2022-10-04,-14.57
2022-10-05,-14.81
2022-10-06,-14.68
2022-10-07,-17.15
2022-10-10,-18.04
2022-10-11,-17.57
2022-10-12,-18.09
2022-10-13,-15.08
2022-10-14,-18.13
2022-10-17,-15.19
2022-10-18,-14.66
2022-10-19,-15.95
2022-10-20,-17.97
2022-10-21,-15.08
2022-10-24,-13.27
2022-10-25,-11.27
2022-10-26,-11.78
2022-10-27,-11.74
2022-10-28,-8.44
2022-10-31,-8.35
2022-11-01,-8.71
2022-11-02,-10.98
2022-11-03,-6.77
2022-11-04,-3.96
2022-11-07,-3.38
2022-11-08,-5.19
2022-11-09,-6.12
2022-11-10,-2.21
2022-11-11,0.38
2022-11-14,0.16
2022-11-15,0.74
2022-11-16,-0.2
2022-11-17,-2.38
2022-11-18,-2.54
2022-11-21,-2.72
2022-11-22,-2.38
2022-11-23,-2.65
