date,pct_chg
2022-02-03,0.0
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,1.21
2022-02-14,-0.91
2022-02-15,4.75
2022-02-16,4.75
2022-02-17,4.75
2022-02-18,4.75
2022-02-22,4.75
2022-02-23,4.75
2022-02-24,-9.19
2022-02-25,-9.19
2022-02-28,-8.99
2022-03-01,-8.99
2022-03-02,-8.99
2022-03-03,-8.99
2022-03-04,-26.26
2022-03-07,-26.57
2022-03-08,-21.01
2022-03-09,-13.23
2022-03-10,-16.06
2022-03-11,-16.06
2022-03-14,-13.94
2022-03-15,-13.94
2022-03-16,-13.94
2022-03-17,-11.41
2022-03-18,-14.14
2022-03-21,-14.14
2022-03-22,-14.14
2022-03-23,-13.03
2022-03-24,-13.03
2022-03-25,-13.03
2022-03-28,-13.64
2022-03-29,-13.64
2022-03-30,-13.64
2022-03-31,-13.64
2022-04-01,-13.64
2022-04-04,-13.64
2022-04-05,-13.64
2022-04-06,-13.64
2022-04-07,-13.64
2022-04-08,-13.64
2022-04-11,-13.64
2022-04-12,-16.57
2022-04-13,-16.57
2022-04-14,-16.57
2022-04-18,-16.57
2022-04-19,-17.37
2022-04-20,-17.37
2022-04-21,-17.37
2022-04-22,-17.37
2022-04-25,-17.37
2022-04-26,-17.37
2022-04-27,-17.37
2022-04-28,-17.37
2022-04-29,-16.16
2022-05-02,-16.16
2022-05-03,-5.76
2022-05-04,-5.76
2022-05-05,-5.76
2022-05-06,-10.4
2022-05-09,-10.4
2022-05-10,-10.4
2022-05-11,-10.4
2022-05-12,-10.4
2022-05-13,-9.09
2022-05-16,-9.09
2022-05-17,-9.09
2022-05-18,-9.09
2022-05-19,-9.09
2022-05-20,-9.09
2022-05-23,-9.09
2022-05-24,-8.38
2022-05-25,-8.38
2022-05-26,-8.38
2022-05-27,-6.36
2022-05-31,-6.36
2022-06-01,-6.36
2022-06-02,-6.36
2022-06-03,-6.36
2022-06-06,-6.36
2022-06-07,-8.18
2022-06-08,-8.28
2022-06-09,-9.09
2022-06-10,-9.09
2022-06-13,-18.08
2022-06-14,-18.08
2022-06-15,-18.08
2022-06-16,-18.89
