date,pct_chg
2022-02-04,2.33
2022-02-07,3.12
2022-02-08,7.07
2022-02-09,10.14
2022-02-10,7.95
2022-02-11,1.02
2022-02-14,0.05
2022-02-15,5.3
2022-02-16,5.35
2022-02-17,-0.7
2022-02-18,0.51
2022-02-22,-5.81
2022-02-23,-9.02
2022-02-24,-4.84
2022-02-25,-2.88
2022-02-28,-3.53
2022-03-01,-9.12
2022-03-02,25.26
2022-03-03,19.44
2022-03-04,12.84
2022-03-07,8.98
2022-03-08,13.3
2022-03-09,11.72
2022-03-10,11.44
2022-03-11,6.93
2022-03-14,12.7
2022-03-15,14.93
2022-03-16,18.74
2022-03-17,21.44
2022-03-18,24.98
2022-03-21,22.88
2022-03-22,26.42
2022-03-23,21.81
2022-03-24,25.58
2022-03-25,25.81
2022-03-28,26.79
2022-03-29,31.77
2022-03-30,26.09
2022-03-31,26.09
2022-04-01,28.14
2022-04-04,31.77
2022-04-05,33.3
2022-04-06,31.35
2022-04-07,29.02
2022-04-08,28.14
2022-04-11,29.49
2022-04-12,32.0
2022-04-13,35.44
2022-04-14,34.19
2022-04-18,32.88
2022-04-19,34.0
2022-04-20,33.72
2022-04-21,29.35
2022-04-22,22.56
2022-04-25,25.4
2022-04-26,22.05
2022-04-27,21.4
2022-04-28,25.35
2022-04-29,19.53
2022-05-02,24.65
2022-05-03,24.05
2022-05-04,28.51
2022-05-05,19.72
2022-05-06,12.47
2022-05-09,8.47
2022-05-10,7.77
2022-05-11,1.07
2022-05-12,6.65
2022-05-13,11.58
2022-05-16,13.44
2022-05-17,15.44
2022-05-18,4.65
2022-05-19,5.26
2022-05-20,-1.49
2022-05-23,-0.23
2022-05-24,-3.81
2022-05-25,9.67
2022-05-26,15.44
2022-05-27,23.53
2022-05-31,22.93
2022-06-01,19.07
2022-06-02,20.93
2022-06-03,19.63
2022-06-06,21.77
2022-06-07,24.79
2022-06-08,27.02
2022-06-09,28.05
2022-06-10,24.37
2022-06-13,15.95
2022-06-14,20.33
2022-06-15,24.09
2022-06-16,12.33
2022-06-17,13.72
2022-06-21,11.77
2022-06-22,8.56
2022-06-23,7.16
2022-06-24,12.98
2022-06-27,14.84
2022-06-28,8.23
2022-06-29,3.16
2022-06-30,-1.72
2022-07-01,-3.44
2022-07-05,-2.98
2022-07-06,-5.67
2022-07-07,-2.6
2022-07-08,-1.77
2022-07-11,-5.72
2022-07-12,-4.6
2022-07-13,-4.42
2022-07-14,-7.67
2022-07-15,-6.93
2022-07-18,-2.23
2022-07-19,1.86
2022-07-20,7.4
2022-07-21,13.86
2022-07-22,9.49
2022-07-25,9.35
2022-07-26,3.02
2022-07-27,4.42
2022-07-28,5.63
2022-07-29,9.35
2022-08-01,10.42
2022-08-02,10.05
2022-08-03,16.28
2022-08-04,9.95
2022-08-05,9.35
2022-08-08,10.7
2022-08-09,1.81
2022-08-10,7.35
2022-08-11,12.74
2022-08-12,13.35
2022-08-15,15.91
2022-08-16,24.74
2022-08-17,19.86
2022-08-18,14.14
2022-08-19,12.47
2022-08-22,6.84
2022-08-23,7.91
2022-08-24,-13.63
2022-08-25,-14.33
2022-08-26,-16.09
2022-08-29,-17.58
2022-08-30,-17.4
2022-08-31,-20.42
2022-09-01,-18.65
2022-09-02,-17.77
2022-09-06,-16.05
2022-09-07,-12.33
2022-09-08,-8.84
2022-09-09,-9.77
2022-09-12,-7.95
2022-09-13,-14.47
2022-09-14,-16.37
2022-09-15,-14.56
2022-09-16,-12.09
2022-09-19,-8.65
2022-09-20,-10.47
2022-09-21,-10.09
2022-09-22,-14.56
2022-09-23,-16.47
2022-09-26,-18.14
2022-09-27,-17.49
2022-09-28,-16.19
2022-09-29,-21.93
2022-09-30,-22.19
2022-10-03,-19.35
2022-10-04,-13.02
2022-10-05,-10.0
2022-10-06,-10.51
2022-10-07,-10.05
2022-10-10,-14.23
2022-10-11,-13.12
2022-10-12,-13.72
2022-10-13,-12.84
2022-10-14,-15.72
2022-10-17,-10.56
2022-10-18,-7.07
2022-10-19,-8.28
2022-10-20,-9.72
2022-10-21,-6.47
2022-10-24,-6.65
2022-10-25,-2.79
2022-10-26,-3.07
2022-10-27,-4.09
2022-10-28,-4.56
2022-10-31,-5.4
2022-11-01,-7.86
2022-11-02,-12.47
2022-11-03,-11.16
2022-11-04,-11.07
2022-11-07,-9.3
2022-11-08,-5.91
2022-11-09,-11.4
2022-11-10,-4.05
2022-11-11,0.42
2022-11-14,-1.53
2022-11-15,0.79
2022-11-16,-7.3
2022-11-17,-1.91
2022-11-18,-0.23
2022-11-21,-1.07
2022-11-22,5.35
2022-11-23,0.88
2022-11-25,2.93
2022-11-28,-4.6
2022-11-29,-3.58
2022-11-30,-2.47
2022-12-01,-6.98
2022-12-02,-6.05
2022-12-05,-9.67
2022-12-06,-14.42
2022-12-07,-17.53
2022-12-08,-18.37
2022-12-09,-18.98
2022-12-12,-16.7
2022-12-13,-18.56
2022-12-14,-18.23
2022-12-15,-21.95
2022-12-16,-24.0
2022-12-19,-23.77
2022-12-20,-23.35
2022-12-21,-22.7
2022-12-22,-23.3
2022-12-23,-20.42
2022-12-27,-22.47
2022-12-28,-26.93
2022-12-29,-25.16
2022-12-30,-24.93
2023-01-03,-26.7
2023-01-04,-22.7
2023-01-05,-22.7
2023-01-06,-21.95
2023-01-09,-23.21
2023-01-10,-21.77
2023-01-11,-19.3
2023-01-12,-18.51
2023-01-13,-17.49
2023-01-17,-17.35
2023-01-18,-18.23
2023-01-19,-18.84
2023-01-20,-18.74
2023-01-23,-12.88
2023-01-24,-14.88
2023-01-25,-14.28
2023-01-26,-14.28
2023-01-27,-14.33
2023-01-30,-12.65
2023-01-31,-9.12
2023-02-01,-7.12
2023-02-02,-1.67
2023-02-03,22.7
