date,pct_chg
2022-02-04,-1.54
2022-02-07,-1.36
2022-02-08,-0.51
2022-02-09,1.29
2022-02-10,-0.22
2022-02-11,-1.51
2022-02-14,-1.63
2022-02-15,-0.33
2022-02-16,-0.56
2022-02-17,-2.45
2022-02-18,-3.54
2022-02-22,2.43
2022-02-23,1.65
2022-02-24,6.99
2022-02-25,8.59
2022-02-28,10.51
2022-03-01,9.42
2022-03-02,12.04
2022-03-03,14.49
2022-03-04,22.93
2022-03-07,19.46
2022-03-08,16.32
2022-03-09,18.1
2022-03-10,20.3
2022-03-11,23.35
2022-03-14,19.63
2022-03-15,17.85
2022-03-16,16.85
2022-03-17,18.83
2022-03-18,16.99
2022-03-21,18.28
2022-03-22,16.12
2022-03-23,18.37
2022-03-24,22.2
2022-03-25,24.33
2022-03-28,22.86
2022-03-29,20.08
2022-03-30,20.86
2022-03-31,21.84
2022-04-01,21.73
2022-04-04,20.26
2022-04-05,20.57
2022-04-06,20.06
2022-04-07,22.42
2022-04-08,21.44
2022-04-11,18.72
2022-04-12,18.12
2022-04-13,19.43
2022-04-14,25.82
2022-04-18,23.42
2022-04-19,22.08
2022-04-20,21.3
2022-04-21,19.21
2022-04-22,16.74
2022-04-25,16.56
2022-04-26,14.47
2022-04-27,15.65
2022-04-28,10.86
2022-04-29,9.59
2022-05-02,6.99
2022-05-03,7.15
2022-05-04,7.88
2022-05-05,5.16
2022-05-06,3.34
2022-05-09,-0.09
2022-05-10,1.0
2022-05-11,-1.27
2022-05-12,-1.05
2022-05-13,0.65
2022-05-16,1.89
2022-05-17,3.36
2022-05-18,-0.04
2022-05-19,2.27
2022-05-20,3.38
2022-05-23,5.48
2022-05-24,7.01
2022-05-25,6.43
2022-05-26,7.64
2022-05-27,11.0
2022-05-31,10.77
2022-06-01,9.82
2022-06-02,11.78
2022-06-03,13.09
2022-06-06,13.25
2022-06-07,15.83
2022-06-08,12.58
2022-06-09,12.0
2022-06-10,10.04
2022-06-13,6.81
2022-06-14,5.43
2022-06-15,4.36
2022-06-16,-1.63
2022-06-17,-1.22
2022-06-21,1.34
2022-06-22,0.31
2022-06-23,-0.82
2022-06-24,7.17
2022-06-27,7.24
2022-06-28,6.19
2022-06-29,6.59
2022-06-30,7.72
2022-07-01,9.33
2022-07-05,6.08
2022-07-06,5.14
2022-07-07,7.24
2022-07-08,7.9
2022-07-11,7.72
2022-07-12,5.83
2022-07-13,4.96
2022-07-14,5.59
2022-07-15,6.46
2022-07-18,6.75
2022-07-19,11.09
2022-07-20,10.4
2022-07-21,12.2
2022-07-22,12.44
2022-07-25,13.6
2022-07-26,14.4
2022-07-27,14.09
2022-07-28,16.65
2022-07-29,18.5
2022-08-01,16.87
2022-08-02,16.67
2022-08-03,12.13
2022-08-04,12.76
2022-08-05,13.36
2022-08-08,12.82
2022-08-09,12.0
2022-08-10,14.96
2022-08-11,14.72
2022-08-12,17.39
2022-08-15,18.1
2022-08-16,17.48
2022-08-17,16.52
2022-08-18,16.36
2022-08-19,15.67
2022-08-22,13.6
2022-08-23,13.07
2022-08-24,13.54
2022-08-25,14.74
2022-08-26,11.46
2022-08-29,10.69
2022-08-30,8.19
2022-08-31,7.52
2022-09-01,7.44
2022-09-02,5.88
2022-09-06,6.17
2022-09-07,7.41
2022-09-08,7.15
2022-09-09,8.37
2022-09-12,10.15
2022-09-13,8.35
2022-09-14,9.75
2022-09-15,10.37
2022-09-16,9.57
2022-09-19,8.64
2022-09-20,5.83
2022-09-21,4.72
2022-09-22,1.54
2022-09-23,-0.47
2022-09-26,-2.09
2022-09-27,-2.72
2022-09-28,-2.23
2022-09-29,-4.56
2022-09-30,-3.78
2022-10-03,0.85
2022-10-04,5.92
2022-10-05,5.74
2022-10-06,4.34
2022-10-07,2.83
2022-10-10,2.0
2022-10-11,2.65
2022-10-12,0.04
2022-10-13,3.23
2022-10-14,0.11
2022-10-17,2.87
2022-10-18,5.1
2022-10-19,4.47
2022-10-20,4.32
2022-10-21,7.19
2022-10-24,8.01
2022-10-25,9.13
2022-10-26,3.56
2022-10-27,2.63
2022-10-28,9.06
2022-10-31,10.8
2022-11-01,10.15
2022-11-02,9.13
2022-11-03,9.51
2022-11-04,11.67
2022-11-07,13.09
2022-11-08,13.27
2022-11-09,11.11
2022-11-10,13.05
2022-11-11,9.8
2022-11-14,9.04
2022-11-15,9.46
2022-11-16,11.04
2022-11-17,10.66
2022-11-18,13.11
2022-11-21,12.73
2022-11-22,14.29
2022-11-23,15.49
2022-11-25,16.87
2022-11-28,14.8
2022-11-29,12.96
2022-11-30,15.03
2022-12-01,15.41
2022-12-02,18.83
2022-12-05,18.68
2022-12-06,17.63
2022-12-07,15.56
2022-12-08,14.51
2022-12-09,13.25
2022-12-12,14.65
2022-12-13,14.89
2022-12-14,15.36
2022-12-15,12.82
2022-12-16,13.87
2022-12-19,13.76
2022-12-20,13.98
2022-12-21,17.52
2022-12-22,15.47
2022-12-23,16.38
2022-12-27,17.21
2022-12-28,15.92
2022-12-29,16.61
2022-12-30,17.54
2023-01-03,16.34
2023-01-04,14.74
2023-01-05,14.16
2023-01-06,12.49
2023-01-09,10.64
2023-01-10,10.22
2023-01-11,11.55
2023-01-12,14.2
2023-01-13,14.0
2023-01-17,12.67
2023-01-18,10.64
2023-01-19,6.77
2023-01-20,9.22
2023-01-23,8.62
2023-01-24,10.08
2023-01-25,12.11
2023-01-26,13.18
2023-01-27,11.26
2023-01-30,11.58
2023-01-31,14.05
2023-02-01,14.09
2023-02-02,14.54
2023-02-03,13.71
