date,pct_chg
2022-02-04,0.56
2022-02-07,3.54
2022-02-08,6.88
2022-02-09,6.5
2022-02-10,2.93
2022-02-11,1.53
2022-02-14,1.32
2022-02-15,3.56
2022-02-16,5.6
2022-02-17,4.04
2022-02-18,2.35
2022-02-22,2.85
2022-02-23,-1.37
2022-02-24,-2.55
2022-02-25,-0.0
2022-02-28,2.2
2022-03-01,0.7
2022-03-02,5.31
2022-03-03,3.2
2022-03-04,1.16
2022-03-07,1.14
2022-03-08,1.61
2022-03-09,7.01
2022-03-10,10.04
2022-03-11,9.77
2022-03-14,12.86
2022-03-15,16.83
2022-03-16,21.27
2022-03-17,26.13
2022-03-18,27.75
2022-03-21,23.64
2022-03-22,29.11
2022-03-23,30.43
2022-03-24,23.37
2022-03-25,20.75
2022-03-28,23.24
2022-03-29,22.16
2022-03-30,19.18
2022-03-31,22.64
2022-04-01,20.04
2022-04-04,14.63
2022-04-05,6.95
2022-04-06,6.86
2022-04-07,5.67
2022-04-08,5.04
2022-04-11,2.69
2022-04-12,4.19
2022-04-13,6.16
2022-04-14,5.49
2022-04-18,4.66
2022-04-19,9.71
2022-04-20,11.05
2022-04-21,5.96
2022-04-22,4.88
2022-04-25,-0.69
2022-04-26,1.63
2022-04-27,4.46
2022-04-28,6.14
2022-04-29,3.29
2022-05-02,1.86
2022-05-03,5.33
2022-05-04,7.95
2022-05-05,4.89
2022-05-06,4.69
2022-05-09,-3.72
2022-05-10,-2.85
2022-05-11,-4.57
2022-05-12,-8.02
2022-05-13,-2.91
2022-05-16,0.4
2022-05-17,3.67
2022-05-18,-1.88
2022-05-19,-0.29
2022-05-20,-0.74
2022-05-23,4.1
2022-05-24,2.31
2022-05-25,2.33
2022-05-26,2.71
2022-05-27,4.84
2022-05-31,0.83
2022-06-01,1.21
2022-06-02,6.79
2022-06-03,4.46
2022-06-06,4.64
2022-06-07,5.67
2022-06-08,-2.02
2022-06-09,-5.74
2022-06-10,-7.64
2022-06-13,-12.6
2022-06-14,-8.34
2022-06-15,-4.39
2022-06-16,-5.96
2022-06-17,-6.52
2022-06-21,-0.72
2022-06-22,-3.65
2022-06-23,-3.29
2022-06-24,-21.09
2022-06-27,-22.39
2022-06-28,-26.45
2022-06-29,-23.96
2022-06-30,-28.06
2022-07-01,-30.12
2022-07-05,-33.24
2022-07-06,-32.59
2022-07-07,-30.07
2022-07-08,-28.78
2022-07-11,-28.33
2022-07-12,-25.68
2022-07-13,-25.57
2022-07-14,-26.42
2022-07-15,-26.47
2022-07-18,-25.91
2022-07-19,-23.33
2022-07-20,-23.64
2022-07-21,-24.68
2022-07-22,-27.41
2022-07-25,-25.66
2022-07-26,-29.16
2022-07-27,-25.59
2022-07-28,-22.37
2022-07-29,-21.83
2022-08-01,-22.34
2022-08-02,-22.21
2022-08-03,-21.25
2022-08-04,-21.04
2022-08-05,-21.79
2022-08-08,-18.31
2022-08-09,-18.31
2022-08-10,-14.5
2022-08-11,-13.98
2022-08-12,-13.76
2022-08-15,-17.57
2022-08-16,-17.1
2022-08-17,-21.27
2022-08-18,-17.55
2022-08-19,-20.1
2022-08-22,-19.05
2022-08-23,-19.74
2022-08-24,-17.32
2022-08-25,-20.75
2022-08-26,-22.9
2022-08-29,-24.4
2022-08-30,-25.98
2022-08-31,-26.53
2022-09-01,-29.18
2022-09-02,-28.76
2022-09-06,-28.3
2022-09-07,-28.49
2022-09-08,-28.17
2022-09-09,-27.59
2022-09-12,-23.89
2022-09-13,-26.25
2022-09-14,-26.96
2022-09-15,-28.67
2022-09-16,-29.13
2022-09-19,-30.7
2022-09-20,-29.04
2022-09-21,-32.68
2022-09-22,-35.32
2022-09-23,-36.93
2022-09-26,-37.94
2022-09-27,-37.04
2022-09-28,-35.3
2022-09-29,-38.15
2022-09-30,-38.12
2022-10-03,-37.5
2022-10-04,-35.66
2022-10-05,-35.9
2022-10-06,-36.44
2022-10-07,-37.7
2022-10-10,-37.61
2022-10-11,-36.98
2022-10-12,-35.39
2022-10-13,-31.92
2022-10-14,-34.0
2022-10-17,-33.5
2022-10-18,-33.12
2022-10-19,-34.06
2022-10-20,-34.47
2022-10-21,-32.03
2022-10-24,-31.47
2022-10-25,-31.17
2022-10-26,-30.7
2022-10-27,-31.65
2022-10-28,-31.29
2022-10-31,-30.84
2022-11-01,-29.65
2022-11-02,-32.52
2022-11-03,-34.38
2022-11-04,-32.52
2022-11-07,-31.83
2022-11-08,-33.04
2022-11-09,-33.53
2022-11-10,-28.49
2022-11-11,-26.2
2022-11-14,-29.04
2022-11-15,-29.58
2022-11-16,-30.61
2022-11-17,-32.79
2022-11-18,-32.81
2022-11-21,-32.86
2022-11-22,-32.58
2022-11-23,-31.33
2022-11-25,-30.86
2022-11-28,-31.96
2022-11-29,-35.1
2022-11-30,-35.16
2022-12-01,-34.02
2022-12-02,-34.07
2022-12-05,-36.31
2022-12-06,-37.69
2022-12-07,-38.99
2022-12-08,-39.69
2022-12-09,-38.66
2022-12-12,-38.44
2022-12-13,-38.61
2022-12-14,-40.07
2022-12-15,-39.22
2022-12-16,-41.06
2022-12-19,-40.57
2022-12-20,-39.85
2022-12-21,-38.99
2022-12-22,-41.1
2022-12-23,-41.08
2022-12-27,-40.95
2022-12-28,-41.98
2022-12-29,-40.47
2022-12-30,-40.41
2023-01-03,-44.15
2023-01-04,-43.2
2023-01-05,-44.01
2023-01-06,-43.48
2023-01-09,-41.51
2023-01-10,-41.85
2023-01-11,-41.75
2023-01-12,-40.85
2023-01-13,-40.66
2023-01-17,-39.04
2023-01-18,-38.59
2023-01-19,-39.78
2023-01-20,-38.66
2023-01-23,-37.88
2023-01-24,-40.59
2023-01-25,-41.75
2023-01-26,-43.37
2023-01-27,-44.29
2023-01-30,-45.25
2023-01-31,-43.93
2023-02-01,-41.53
2023-02-02,-39.91
2023-02-03,-40.75
