date,pct_chg
2022-02-02,-5.2
2022-02-03,-7.92
2022-02-04,-4.92
2022-02-07,-3.04
2022-02-08,-3.16
2022-02-09,-1.44
2022-02-10,-2.48
2022-02-11,-5.16
2022-02-14,-12.91
2022-02-15,-7.72
2022-02-16,-11.96
2022-02-17,-20.03
2022-02-18,-21.35
2022-02-22,-23.19
2022-02-23,-28.47
2022-02-24,-24.35
2022-02-25,-22.75
2022-02-28,-19.47
2022-03-01,-15.83
2022-03-02,-13.39
2022-03-03,-19.79
2022-03-04,-23.35
2022-03-07,-25.35
2022-03-08,-25.79
2022-03-09,-22.71
2022-03-10,-25.35
2022-03-11,-31.79
2022-03-14,-29.91
2022-03-15,-28.31
2022-03-16,-20.31
2022-03-17,-18.59
2022-03-18,-16.07
2022-03-21,-13.99
2022-03-22,-10.44
2022-03-23,-8.16
2022-03-24,-5.92
2022-03-25,-5.6
2022-03-28,-8.52
2022-03-29,-6.28
2022-03-30,-7.08
2022-03-31,-7.96
2022-04-01,-6.36
2022-04-04,-0.6
2022-04-05,-5.52
2022-04-06,-5.04
2022-04-07,-5.16
2022-04-08,-7.68
2022-04-11,-4.8
2022-04-12,-3.12
2022-04-13,-1.04
2022-04-14,-4.88
2022-04-18,-6.44
2022-04-19,-2.6
2022-04-20,-2.28
2022-04-21,-6.68
2022-04-22,-6.72
2022-04-25,-3.96
2022-04-26,-7.2
2022-04-27,-6.56
2022-04-28,-0.4
2022-04-29,-4.84
2022-05-02,-7.2
2022-05-03,-9.24
2022-05-04,-10.68
2022-05-05,-14.91
2022-05-06,-19.99
2022-05-09,-29.99
2022-05-10,-36.99
2022-05-11,-35.63
2022-05-12,-33.91
2022-05-13,-33.67
2022-05-16,-39.06
2022-05-17,-36.59
2022-05-18,-40.94
2022-05-19,-39.7
2022-05-20,-36.79
2022-05-23,-37.23
2022-05-24,-39.5
2022-05-25,-36.35
2022-05-26,-32.55
2022-05-27,-27.43
2022-05-31,-28.91
2022-06-01,-31.03
2022-06-02,-24.03
2022-06-03,-24.87
2022-06-06,-27.31
2022-06-07,-26.83
2022-06-08,-23.67
2022-06-09,-27.87
2022-06-10,-30.23
2022-06-13,-35.67
2022-06-14,-35.79
2022-06-15,-32.19
2022-06-16,-35.07
2022-06-17,-29.79
2022-06-21,-29.79
2022-06-22,-30.27
2022-06-23,-26.95
2022-06-24,-30.11
2022-06-27,-28.67
2022-06-28,-30.75
2022-06-29,-33.27
2022-06-30,-37.54
2022-07-01,-34.91
2022-07-05,-34.31
2022-07-06,-34.43
2022-07-07,-30.75
2022-07-08,-31.11
2022-07-11,-32.47
2022-07-12,-35.27
2022-07-13,-34.63
2022-07-14,-36.63
2022-07-15,-34.39
2022-07-18,-34.43
2022-07-19,-32.79
2022-07-20,-29.35
2022-07-21,-27.79
2022-07-22,-31.11
2022-07-25,-34.03
2022-07-26,-42.02
2022-07-27,-41.14
2022-07-28,-42.1
2022-07-29,-42.86
2022-08-01,-42.34
2022-08-02,-40.06
2022-08-03,-35.07
2022-08-04,-30.91
2022-08-05,-27.23
2022-08-08,-24.99
2022-08-09,-26.39
2022-08-10,-22.19
2022-08-11,-22.15
2022-08-12,-19.19
2022-08-15,-17.35
2022-08-16,-16.83
2022-08-17,-19.31
2022-08-18,-18.91
2022-08-19,-21.63
2022-08-22,-24.19
2022-08-23,-22.83
2022-08-24,-21.35
2022-08-25,-20.39
2022-08-26,-21.55
2022-08-29,-22.15
2022-08-30,-21.95
2022-08-31,-23.15
2022-09-01,-30.55
2022-09-02,-27.11
2022-09-06,-28.47
2022-09-07,-26.43
2022-09-08,-22.83
2022-09-09,-21.31
2022-09-12,-22.39
2022-09-13,-23.63
2022-09-14,-22.87
2022-09-15,-26.27
2022-09-16,-30.83
2022-09-19,-11.36
2022-09-20,-12.04
2022-09-21,-12.59
2022-09-22,-12.16
2022-09-23,-14.27
2022-09-26,-15.51
2022-09-27,-15.35
2022-09-28,-16.59
2022-09-29,-16.59
2022-09-30,-16.79
2022-10-03,-13.63
2022-10-04,-12.48
2022-10-05,-11.0
2022-10-06,-8.72
2022-10-07,-11.12
2022-10-10,-12.44
2022-10-11,-13.67
2022-10-12,-2.72
2022-10-13,-2.52
2022-10-14,-2.56
2022-10-17,-2.08
2022-10-18,-2.52
2022-10-19,-2.12
2022-10-20,-2.2
2022-10-21,-2.04
2022-10-24,-2.08
2022-10-25,-1.96
2022-10-26,-1.72
2022-10-27,-1.96
2022-10-28,-1.36
2022-10-31,-1.72
2022-11-01,-1.4
2022-11-02,-1.72
2022-11-03,-1.32
2022-11-04,-1.8
2022-11-07,-1.68
2022-11-08,-1.72
2022-11-09,-1.6
2022-11-10,-1.6
2022-11-11,-1.68
2022-11-14,-1.72
2022-11-15,-1.64
2022-11-16,-1.72
2022-11-17,-1.72
2022-11-18,-1.32
2022-11-21,-1.32
2022-11-22,-1.32
2022-11-23,-1.28
2022-11-25,-1.2
2022-11-28,-1.28
2022-11-29,-1.32
2022-11-30,-1.28
2022-12-01,-1.56
2022-12-02,-1.48
2022-12-05,-1.44
2022-12-06,-1.48
2022-12-07,-1.4
2022-12-08,-1.36
2022-12-09,-0.96
2022-12-12,-1.04
2022-12-13,-0.92
2022-12-14,-1.04
2022-12-15,-1.16
2022-12-16,-0.88
2022-12-19,-1.04
2022-12-20,-1.04
2022-12-21,-1.0
2022-12-22,-1.04
2022-12-23,-0.88
2022-12-27,-0.92
2022-12-28,-0.96
2022-12-29,-0.96
2022-12-30,-0.92
2023-01-03,-0.92
2023-01-04,-0.96
2023-01-05,-0.84
2023-01-06,-0.8
2023-01-09,-1.04
2023-01-10,-0.68
2023-01-11,-0.8
2023-01-12,-0.76
2023-01-13,-0.72
2023-01-17,-0.68
2023-01-18,-0.72
2023-01-19,-0.68
2023-01-20,-0.72
2023-01-23,-0.68
2023-01-24,-0.72
2023-01-25,-0.64
2023-01-26,-0.56
2023-01-27,-0.6
2023-01-30,-0.48
2023-01-31,-0.48
2023-02-01,-0.48
