date,pct_chg
2022-02-04,3.89
2022-02-07,14.6
2022-02-08,15.49
2022-02-09,19.06
2022-02-10,19.63
2022-02-11,18.57
2022-02-14,15.09
2022-02-15,23.52
2022-02-16,24.17
2022-02-17,16.95
2022-02-18,16.22
2022-02-22,13.71
2022-02-23,5.76
2022-02-24,11.76
2022-02-25,16.87
2022-02-28,20.44
2022-03-01,18.17
2022-03-02,15.25
2022-03-03,12.0
2022-03-04,7.87
2022-03-07,8.76
2022-03-08,13.87
2022-03-09,17.11
2022-03-10,17.19
2022-03-11,15.41
2022-03-14,14.44
2022-03-15,13.54
2022-03-16,19.3
2022-03-17,24.17
2022-03-18,26.44
2022-03-21,19.95
2022-03-22,30.01
2022-03-23,42.34
2022-03-24,48.66
2022-03-25,46.47
2022-03-28,39.74
2022-03-29,41.85
2022-03-30,37.06
2022-03-31,34.79
2022-04-01,37.63
2022-04-04,38.93
2022-04-05,33.9
2022-04-06,34.23
2022-04-07,34.47
2022-04-08,32.68
2022-04-11,27.58
2022-04-12,20.52
2022-04-13,25.22
2022-04-14,21.57
2022-04-18,18.09
2022-04-19,18.57
2022-04-20,20.92
2022-04-21,13.06
2022-04-22,10.3
2022-04-25,13.06
2022-04-26,3.33
2022-04-27,0.08
2022-04-28,-1.87
2022-04-29,-3.65
2022-05-02,1.7
2022-05-03,-0.08
2022-05-04,-43.55
2022-05-05,-47.69
2022-05-06,-48.82
2022-05-09,-53.69
2022-05-10,-54.91
2022-05-11,-54.91
2022-05-12,-55.23
2022-05-13,-53.37
2022-05-16,-51.18
2022-05-17,-46.23
2022-05-18,-52.15
2022-05-19,-55.47
2022-05-20,-55.07
2022-05-23,-55.31
2022-05-24,-59.61
2022-05-25,-59.29
2022-05-26,-59.53
2022-05-27,-57.5
2022-05-31,-59.04
2022-06-01,-60.58
2022-06-02,-60.1
2022-06-03,-59.12
2022-06-06,-58.64
2022-06-07,-55.88
2022-06-08,-57.18
2022-06-09,-60.02
2022-06-10,-62.85
2022-06-13,-62.77
2022-06-14,-61.72
2022-06-15,-61.23
2022-06-16,-61.07
2022-06-17,-57.1
2022-06-21,-52.88
2022-06-22,-53.61
2022-06-23,-51.99
2022-06-24,-51.01
2022-06-27,-53.12
2022-06-28,-32.77
2022-06-29,-35.69
2022-06-30,-32.93
2022-07-01,-24.66
2022-07-05,-22.63
2022-07-06,-20.19
2022-07-07,-16.87
2022-07-08,-16.06
2022-07-11,-18.73
2022-07-12,-17.92
2022-07-13,-17.27
2022-07-14,-18.17
2022-07-15,-16.71
2022-07-18,-21.25
2022-07-19,-16.79
2022-07-20,-15.41
2022-07-21,-15.98
2022-07-22,-19.79
2022-07-25,-21.17
2022-07-26,-21.33
2022-07-27,-19.38
2022-07-28,-20.36
2022-07-29,-20.76
2022-08-01,-24.17
2022-08-02,-21.33
2022-08-03,-19.79
2022-08-04,-18.9
2022-08-05,-15.9
2022-08-08,-14.92
2022-08-09,-18.49
2022-08-10,-18.57
2022-08-11,-20.84
2022-08-12,-16.06
2022-08-15,-12.81
2022-08-16,-13.38
2022-08-17,-19.63
2022-08-18,-19.3
2022-08-19,-17.84
2022-08-22,-19.38
2022-08-23,-18.49
2022-08-24,-14.03
2022-08-25,-19.14
2022-08-26,-21.41
2022-08-29,-19.87
2022-08-30,-20.19
2022-08-31,-16.63
2022-09-01,-18.09
2022-09-02,-20.11
2022-09-06,-23.52
2022-09-07,-21.57
2022-09-08,-22.3
2022-09-09,-20.6
2022-09-12,-20.68
2022-09-13,-23.76
2022-09-14,-15.73
2022-09-15,-20.28
2022-09-16,-25.55
2022-09-19,-29.76
2022-09-20,-31.39
2022-09-21,-34.71
2022-09-22,-35.04
2022-09-23,-34.96
2022-09-26,-35.2
2022-09-27,-31.79
2022-09-28,-29.28
2022-09-29,-30.09
2022-09-30,-30.17
2022-10-03,-28.63
2022-10-04,-30.98
2022-10-05,-32.85
2022-10-06,-36.98
2022-10-07,-37.79
2022-10-10,-37.96
2022-10-11,-35.36
2022-10-12,-36.5
2022-10-13,-32.52
2022-10-14,-32.28
2022-10-17,-33.41
2022-10-18,-39.9
2022-10-19,-40.15
2022-10-20,-41.12
2022-10-21,-40.88
2022-10-24,-39.42
2022-10-25,-38.2
2022-10-26,-38.61
2022-10-27,-40.79
2022-10-28,-37.96
2022-10-31,-39.05
2022-11-01,-39.09
2022-11-02,-40.31
2022-11-03,-42.17
2022-11-04,-41.77
2022-11-07,-42.74
2022-11-08,-43.23
2022-11-09,-48.18
2022-11-10,-41.36
2022-11-11,-38.2
2022-11-14,-35.36
2022-11-15,-34.96
2022-11-16,-38.69
2022-11-17,-39.9
2022-11-18,-39.17
2022-11-21,-39.25
2022-11-22,-38.28
2022-11-23,-37.71
2022-11-25,-39.5
2022-11-28,-39.98
2022-11-29,-38.44
2022-11-30,-36.66
2022-12-01,-39.33
2022-12-02,-39.74
2022-12-05,-42.66
2022-12-06,-41.69
2022-12-07,-42.98
2022-12-08,-42.9
2022-12-09,-43.31
2022-12-12,-40.06
2022-12-13,-41.93
2022-12-14,-41.52
2022-12-15,-45.01
2022-12-16,-42.9
2022-12-19,-46.39
2022-12-20,-44.28
2022-12-21,-44.12
2022-12-22,-42.5
2022-12-23,-44.53
2022-12-27,-46.47
2022-12-28,-46.47
2022-12-29,-42.98
2022-12-30,-42.9
2023-01-03,-43.8
2023-01-04,-41.69
2023-01-05,-44.04
2023-01-06,-44.53
2023-01-09,-48.5
2023-01-10,-51.18
2023-01-11,-50.2
2023-01-12,-44.04
2023-01-13,-44.53
2023-01-17,-46.8
2023-01-18,-48.42
2023-01-19,-49.31
2023-01-20,-47.93
