date,pct_chg
2022-02-04,4.67
2022-02-07,7.41
2022-02-08,10.42
2022-02-09,13.26
2022-02-10,12.17
2022-02-11,9.19
2022-02-14,8.09
2022-02-15,12.48
2022-02-16,17.61
2022-02-17,17.09
2022-02-18,14.72
2022-02-22,12.61
2022-02-23,10.48
2022-02-24,14.54
2022-02-25,17.41
2022-02-28,14.46
2022-03-01,12.53
2022-03-02,17.26
2022-03-03,14.5
2022-03-04,8.06
2022-03-07,7.66
2022-03-08,4.89
2022-03-09,9.6
2022-03-10,8.21
2022-03-11,5.87
2022-03-14,-1.57
2022-03-15,2.51
2022-03-16,5.93
2022-03-17,6.83
2022-03-18,9.99
2022-03-21,7.53
2022-03-22,9.01
2022-03-23,7.8
2022-03-24,13.29
2022-03-25,14.43
2022-03-28,12.76
2022-03-29,15.47
2022-03-30,13.23
2022-03-31,13.0
2022-04-01,10.57
2022-04-04,10.52
2022-04-05,7.76
2022-04-06,5.11
2022-04-07,4.48
2022-04-08,2.72
2022-04-11,0.69
2022-04-12,0.27
2022-04-13,4.2
2022-04-14,-0.83
2022-04-18,-1.01
2022-04-19,0.67
2022-04-20,1.83
2022-04-21,-0.89
2022-04-22,-2.21
2022-04-25,-0.3
2022-04-26,-4.08
2022-04-27,-6.39
2022-04-28,-3.6
2022-04-29,-5.97
2022-05-02,-3.81
2022-05-03,-4.9
2022-05-04,3.62
2022-05-05,2.84
2022-05-06,3.06
2022-05-09,0.75
2022-05-10,3.43
2022-05-11,3.3
2022-05-12,0.97
2022-05-13,4.3
2022-05-16,0.94
2022-05-17,4.82
2022-05-18,1.83
2022-05-19,0.44
2022-05-20,0.82
2022-05-23,0.82
2022-05-24,-3.15
2022-05-25,-2.04
2022-05-26,-0.68
2022-05-27,1.88
2022-05-31,-0.34
2022-06-01,0.5
2022-06-02,1.92
2022-06-03,-2.74
2022-06-06,-0.54
2022-06-07,2.19
2022-06-08,1.17
2022-06-09,-2.1
2022-06-10,-3.99
2022-06-13,-8.14
2022-06-14,-8.2
2022-06-15,-7.0
2022-06-16,-12.92
2022-06-17,-11.23
2022-06-21,-8.92
2022-06-22,-9.59
2022-06-23,-9.46
2022-06-24,-4.85
2022-06-27,-4.74
2022-06-28,-6.9
2022-06-29,-6.67
2022-06-30,-8.05
2022-07-01,-9.9
2022-07-05,-11.32
2022-07-06,-10.93
2022-07-07,-9.58
2022-07-08,-7.21
2022-07-11,-9.1
2022-07-12,-10.13
2022-07-13,-9.62
2022-07-14,-8.44
2022-07-15,-5.11
2022-07-18,-6.22
2022-07-19,-3.22
2022-07-20,-1.03
2022-07-21,0.06
2022-07-22,-1.56
2022-07-25,-2.21
2022-07-26,-1.1
2022-07-27,0.8
2022-07-28,2.06
2022-07-29,4.74
2022-08-01,4.97
2022-08-02,5.06
2022-08-03,8.17
2022-08-04,5.45
2022-08-05,5.35
2022-08-08,6.74
2022-08-09,3.27
2022-08-10,6.72
2022-08-11,7.1
2022-08-12,9.15
2022-08-15,11.37
2022-08-16,3.74
2022-08-17,3.4
2022-08-18,7.34
2022-08-19,7.0
2022-08-22,6.02
2022-08-23,6.23
2022-08-24,5.48
2022-08-25,3.51
2022-08-26,0.42
2022-08-29,-0.74
2022-08-30,-1.79
2022-08-31,-3.27
2022-09-01,-7.18
2022-09-02,-7.85
2022-09-06,-9.18
2022-09-07,-8.43
2022-09-08,-6.68
2022-09-09,-5.96
2022-09-12,-4.98
2022-09-13,-8.02
2022-09-14,-8.71
2022-09-15,-12.1
2022-09-16,-13.18
2022-09-19,-14.07
2022-09-20,-15.76
2022-09-21,-15.95
2022-09-22,-17.48
2022-09-23,-18.49
2022-09-26,-20.5
2022-09-27,-18.93
2022-09-28,-17.99
2022-09-29,-19.54
2022-09-30,-20.61
2022-10-03,-17.87
2022-10-04,-14.29
2022-10-05,-14.0
2022-10-06,-14.36
2022-10-07,-15.83
2022-10-10,-16.51
2022-10-11,-17.36
2022-10-12,-19.56
2022-10-13,-19.93
2022-10-14,-23.93
2022-10-17,-19.24
2022-10-18,-17.77
2022-10-19,-18.39
2022-10-20,-18.57
2022-10-21,-16.75
2022-10-24,-16.16
2022-10-25,-14.41
2022-10-26,-15.17
2022-10-27,-15.62
2022-10-28,-13.34
2022-10-31,-13.8
2022-11-01,-12.68
2022-11-02,-15.23
2022-11-03,-16.11
2022-11-04,-17.15
2022-11-07,-18.51
2022-11-08,-31.69
2022-11-09,-36.03
2022-11-10,-34.53
2022-11-11,-33.16
2022-11-14,-34.48
2022-11-15,-33.18
2022-11-16,-35.35
2022-11-17,-35.78
2022-11-18,-34.93
2022-11-21,-36.51
2022-11-22,-36.32
2022-11-23,-35.95
2022-11-25,-35.36
2022-11-28,-37.03
2022-11-29,-38.02
2022-11-30,-36.39
2022-12-01,-37.07
2022-12-02,-36.32
2022-12-05,-36.96
2022-12-06,-38.96
2022-12-07,-40.14
2022-12-08,-35.5
2022-12-09,-37.0
2022-12-12,-36.96
2022-12-13,-35.87
2022-12-14,-36.95
2022-12-15,-39.03
2022-12-16,-39.69
2022-12-19,-41.18
2022-12-20,-41.59
2022-12-21,-41.7
2022-12-22,-41.41
2022-12-23,-41.46
2022-12-27,-41.19
2022-12-28,-42.79
2022-12-29,-40.5
2022-12-30,-39.6
2023-01-03,-38.94
2023-01-04,-38.5
2023-01-05,-38.39
