date,pct_chg
2022-02-04,-0.09
2022-02-07,0.68
2022-02-08,1.63
2022-02-09,1.24
2022-02-10,-1.1
2022-02-11,1.67
2022-02-14,-0.7
2022-02-15,-1.92
2022-02-16,-0.72
2022-02-17,-0.24
2022-02-18,-0.83
2022-02-22,-0.9
2022-02-23,-0.21
2022-02-24,1.54
2022-02-25,5.08
2022-02-28,11.32
2022-03-01,17.17
2022-03-02,15.47
2022-03-03,14.91
2022-03-04,17.56
2022-03-07,19.62
2022-03-08,15.21
2022-03-09,15.14
2022-03-10,14.03
2022-03-11,12.66
2022-03-14,14.05
2022-03-15,15.13
2022-03-16,8.12
2022-03-17,9.98
2022-03-18,9.36
2022-03-21,12.91
2022-03-22,13.06
2022-03-23,14.25
2022-03-24,15.4
2022-03-25,16.41
2022-03-28,14.19
2022-03-29,12.18
2022-03-30,14.43
2022-03-31,13.27
2022-04-01,14.44
2022-04-04,13.94
2022-04-05,14.77
2022-04-06,16.65
2022-04-07,19.45
2022-04-08,18.43
2022-04-11,19.13
2022-04-12,19.98
2022-04-13,20.4
2022-04-14,20.01
2022-04-18,19.95
2022-04-19,18.01
2022-04-20,16.47
2022-04-21,12.79
2022-04-22,14.39
2022-04-25,13.65
2022-04-26,14.47
2022-04-27,14.19
2022-04-28,13.35
2022-04-29,10.89
2022-05-02,10.55
2022-05-03,11.57
2022-05-04,14.38
2022-05-05,13.72
2022-05-06,15.33
2022-05-09,12.61
2022-05-10,12.68
2022-05-11,13.01
2022-05-12,11.52
2022-05-13,11.67
2022-05-16,12.28
2022-05-17,13.16
2022-05-18,11.45
2022-05-19,9.22
2022-05-20,8.84
2022-05-23,11.12
2022-05-24,13.62
2022-05-25,14.84
2022-05-26,14.96
2022-05-27,15.62
2022-05-31,12.94
2022-06-01,12.73
2022-06-02,13.19
2022-06-03,13.6
2022-06-06,13.78
2022-06-07,17.09
2022-06-08,13.78
2022-06-09,11.04
2022-06-10,10.39
2022-06-13,8.78
2022-06-14,6.79
2022-06-15,6.26
2022-06-16,3.87
2022-06-17,3.67
2022-06-21,7.51
2022-06-22,6.61
2022-06-23,5.37
2022-06-24,7.53
2022-06-27,7.58
2022-06-28,7.96
2022-06-29,7.49
2022-06-30,10.33
2022-07-01,11.24
2022-07-05,6.56
2022-07-06,9.29
2022-07-07,8.34
2022-07-08,7.87
2022-07-11,7.54
2022-07-12,6.23
2022-07-13,4.7
2022-07-14,2.72
2022-07-15,2.23
2022-07-18,-0.62
2022-07-19,0.17
2022-07-20,1.42
2022-07-21,1.41
2022-07-22,1.29
2022-07-25,2.59
2022-07-26,1.82
2022-07-27,2.27
2022-07-28,4.2
2022-07-29,6.19
2022-08-01,7.59
2022-08-02,10.03
2022-08-03,10.16
2022-08-04,9.86
2022-08-05,9.42
2022-08-08,8.77
2022-08-09,9.97
2022-08-10,10.34
2022-08-11,10.05
2022-08-12,11.43
2022-08-15,12.4
2022-08-16,12.95
2022-08-17,13.32
2022-08-18,12.74
2022-08-19,12.92
2022-08-22,10.94
2022-08-23,11.14
2022-08-24,11.29
2022-08-25,12.56
2022-08-26,10.63
2022-08-29,10.26
2022-08-30,9.09
2022-08-31,7.8
2022-09-01,8.44
2022-09-02,7.41
2022-09-06,7.21
2022-09-07,7.81
2022-09-08,7.69
2022-09-09,8.17
2022-09-12,7.43
2022-09-13,5.04
2022-09-14,6.91
2022-09-15,6.13
2022-09-16,6.31
2022-09-19,6.88
2022-09-20,7.92
2022-09-21,7.83
2022-09-22,8.31
2022-09-23,6.0
2022-09-26,4.61
2022-09-27,2.58
2022-09-28,2.64
2022-09-29,-0.6
2022-09-30,-0.88
2022-10-03,2.58
2022-10-04,4.21
2022-10-05,3.29
2022-10-06,2.54
2022-10-07,3.66
2022-10-10,5.21
2022-10-11,5.48
2022-10-12,1.98
2022-10-13,4.17
2022-10-14,-0.07
2022-10-17,1.95
2022-10-18,10.81
2022-10-19,12.9
2022-10-20,14.02
2022-10-21,16.66
2022-10-24,17.39
2022-10-25,18.08
2022-10-26,18.7
2022-10-27,21.1
2022-10-28,24.42
2022-10-31,24.89
2022-11-01,24.62
2022-11-02,23.7
2022-11-03,24.41
2022-11-04,23.6
2022-11-07,25.39
2022-11-08,26.79
2022-11-09,24.5
2022-11-10,25.94
2022-11-11,19.03
2022-11-14,18.56
2022-11-15,19.9
2022-11-16,19.64
2022-11-17,21.32
2022-11-18,22.36
2022-11-21,23.41
2022-11-22,23.04
2022-11-23,23.45
2022-11-25,24.06
2022-11-28,24.0
2022-11-29,24.22
2022-11-30,24.5
2022-12-01,24.12
2022-12-02,27.34
2022-12-05,25.91
2022-12-06,24.2
2022-12-07,23.48
2022-12-08,24.55
2022-12-09,24.09
2022-12-12,24.79
2022-12-13,23.23
2022-12-14,24.5
2022-12-15,22.86
2022-12-16,23.63
2022-12-19,23.63
2022-12-20,24.75
2022-12-21,25.13
2022-12-22,22.99
2022-12-23,24.02
2022-12-27,24.58
2022-12-28,24.0
2022-12-29,24.98
2022-12-30,24.84
2023-01-03,22.54
2023-01-04,22.27
2023-01-05,22.42
2023-01-06,21.44
2023-01-09,17.78
2023-01-10,18.63
2023-01-11,18.81
2023-01-12,18.49
2023-01-13,15.43
2023-01-17,14.74
2023-01-18,13.23
2023-01-19,12.73
2023-01-20,13.75
2023-01-23,13.24
2023-01-24,15.28
2023-01-25,16.54
2023-01-26,17.99
2023-01-27,17.94
2023-01-30,18.19
2023-01-31,18.88
2023-02-01,18.62
2023-02-02,17.32
2023-02-03,17.8
