date,pct_chg
2021-08-05,5.26
2021-08-06,5.26
2021-08-09,11.28
2021-08-10,8.27
2021-08-11,11.28
2021-08-12,9.02
2021-08-13,9.02
2021-08-16,9.77
2021-08-17,-9.77
2021-08-18,-18.05
2021-08-19,-27.26
2021-08-20,-22.56
2021-08-23,-23.31
2021-08-24,-23.31
2021-08-25,-21.05
2021-08-26,-18.05
2021-08-27,-21.05
2021-08-30,-25.74
2021-08-31,-24.81
2021-09-01,-24.06
2021-09-02,-24.81
2021-09-03,-23.31
2021-09-07,-26.14
2021-09-08,-28.68
2021-09-09,-30.77
2021-09-10,-32.33
2021-09-13,-32.44
2021-09-14,-32.56
2021-09-15,-37.68
2021-09-16,-36.39
2021-09-17,-33.92
2021-09-20,-37.59
2021-09-21,-38.35
2021-09-22,-33.08
2021-09-23,-23.31
2021-09-24,-25.64
2021-09-27,-26.32
2021-09-28,-28.79
2021-09-29,-30.65
2021-09-30,-32.26
2021-10-01,-26.9
2021-10-04,-27.39
2021-10-05,-31.56
2021-10-06,-32.33
2021-10-07,-30.83
2021-10-08,-29.95
2021-10-11,-30.83
2021-10-12,-28.05
2021-10-13,-29.7
2021-10-14,-30.15
2021-10-15,-33.74
2021-10-18,-32.02
2021-10-19,-32.33
2021-10-20,-32.53
2021-10-21,-32.43
2021-10-22,-32.7
2021-10-25,-33.08
2021-10-26,-33.47
2021-10-27,-33.56
2021-10-28,-36.09
2021-10-29,-34.13
2021-11-01,-33.18
2021-11-02,-33.83
2021-11-03,-32.71
2021-11-04,-31.74
2021-11-05,-31.18
2021-11-08,-33.19
2021-11-09,-32.05
2021-11-10,-34.59
2021-11-11,-33.83
2021-11-12,-34.77
2021-11-15,-36.09
2021-11-16,-36.85
2021-11-17,-39.46
2021-11-18,-39.16
2021-11-19,-40.63
2021-11-22,-44.92
2021-11-23,-45.11
2021-11-24,-45.53
2021-11-26,-47.67
2021-11-29,-48.87
2021-11-30,-46.95
2021-12-01,-50.57
2021-12-02,-45.5
2021-12-03,-47.92
2021-12-06,-48.59
2021-12-07,-47.92
2021-12-08,-45.11
2021-12-09,-45.89
2021-12-10,-47.74
2021-12-13,-47.92
2021-12-14,-50.38
2021-12-15,-48.12
2021-12-16,-46.33
2021-12-17,-43.61
2021-12-20,-46.78
2021-12-21,-46.0
2021-12-22,-46.68
2021-12-23,-48.15
2021-12-27,-48.13
2021-12-28,-51.35
2021-12-29,-46.62
2021-12-30,-46.02
2021-12-31,-45.85
2022-01-03,-42.11
2022-01-04,-42.86
2022-01-05,-44.32
2022-01-06,-43.61
2022-01-07,-42.86
2022-01-10,-44.1
2022-01-11,-45.86
2022-01-12,-47.26
2022-01-13,-38.87
2022-01-14,-39.87
2022-01-18,-44.86
2022-01-19,-47.37
2022-01-20,-51.65
2022-01-21,-56.39
2022-01-24,-50.64
2022-01-25,-52.21
2022-01-26,-54.56
2022-01-27,-55.9
2022-01-28,-52.19
2022-01-31,-44.36
2022-02-01,-46.01
2022-02-02,-48.12
2022-02-03,-52.26
2022-02-04,-50.77
2022-02-07,-52.63
2022-02-08,-54.05
2022-02-09,-53.38
2022-02-10,-53.29
2022-02-11,-54.14
2022-02-14,-55.64
2022-02-15,-48.44
2022-02-16,-50.38
2022-02-17,-49.79
2022-02-18,-51.13
2022-02-22,-52.02
2022-02-23,-53.1
2022-02-24,-53.32
2022-02-25,-50.89
