date,pct_chg
2020-06-08,-0.1
2020-06-09,-0.1
2020-06-10,0.3
2020-06-11,-0.3
2020-06-12,-0.2
2020-06-15,-0.2
2020-06-16,-0.1
2020-06-17,-0.1
2020-06-18,1.1
2020-06-19,1.2
2020-06-22,1.0
2020-06-23,1.1
2020-06-24,0.0
2020-06-25,0.3
2020-06-26,0.1
2020-06-29,0.2
2020-06-30,0.0
2020-07-01,0.6
2020-07-02,0.6
2020-07-06,0.4
2020-07-07,0.2
2020-07-08,0.6
2020-07-09,0.6
2020-07-10,0.1
2020-07-13,1.1
2020-07-14,1.1
2020-07-15,1.0
2020-07-16,1.0
2020-07-17,0.8
2020-07-20,1.2
2020-07-21,1.2
2020-07-22,1.2
2020-07-23,0.3
2020-07-24,0.3
2020-07-27,1.0
2020-07-28,1.2
2020-07-29,0.3
2020-07-30,0.3
2020-07-31,0.6
2020-08-03,-0.4
2020-08-04,-0.0
2020-08-05,-0.2
2020-08-06,0.1
2020-08-07,-0.2
2020-08-10,-0.2
2020-08-11,0.3
2020-08-12,0.6
2020-08-13,0.4
2020-08-14,0.4
2020-08-17,0.2
2020-08-18,-0.3
2020-08-19,-0.2
2020-08-21,-0.2
2020-08-24,0.5
2020-08-25,1.1
2020-08-26,0.6
2020-08-27,2.19
2020-08-28,1.99
2020-08-31,2.09
2020-09-01,1.89
2020-09-02,2.59
2020-09-03,3.09
2020-09-04,4.18
2020-09-08,4.08
2020-09-09,4.58
2020-09-10,4.88
2020-09-11,4.58
2020-09-14,4.98
2020-09-15,5.58
2020-09-16,6.37
2020-09-17,5.68
2020-09-18,8.57
2020-09-21,9.26
2020-09-22,8.07
2020-09-23,5.88
2020-09-24,5.88
2020-09-25,5.38
2020-09-28,4.98
2020-09-29,5.08
2020-09-30,6.47
2020-10-01,7.57
2020-10-02,7.17
2020-10-05,6.57
2020-10-06,7.37
2020-10-07,6.57
2020-10-08,8.47
2020-10-09,5.18
2020-10-12,6.37
2020-10-13,6.37
2020-10-14,6.37
2020-10-15,4.98
2020-10-16,4.98
2020-10-19,6.37
2020-10-20,5.48
2020-10-21,5.48
2020-10-22,3.59
2020-10-23,3.59
2020-10-26,6.77
2020-10-27,6.67
2020-10-28,4.48
2020-10-29,4.48
2020-10-30,4.48
2020-11-02,5.88
2020-11-03,9.46
2020-11-04,3.78
2020-11-05,3.78
2020-11-06,3.78
2020-11-09,7.57
2020-11-10,7.57
2020-11-11,7.57
2020-11-12,7.57
2020-11-13,7.57
2020-11-16,7.57
2020-11-17,7.57
2020-11-18,7.57
2020-11-19,7.57
2020-11-20,7.47
2020-11-23,7.27
2020-11-24,9.46
2020-11-25,9.46
2020-11-27,9.46
2020-11-30,7.07
2020-12-01,9.06
2020-12-02,9.06
2020-12-03,17.33
2020-12-04,9.56
2020-12-07,10.06
2020-12-08,10.66
2020-12-09,8.17
2020-12-10,15.54
2020-12-11,15.14
2020-12-14,11.35
2020-12-15,14.54
2020-12-16,12.05
2020-12-17,12.05
2020-12-18,21.51
2020-12-21,11.55
2020-12-22,12.55
2020-12-23,16.73
2020-12-24,15.74
2020-12-28,16.04
2020-12-29,12.85
2020-12-30,12.55
2020-12-31,13.05
2021-01-04,19.72
2021-01-05,16.04
2021-01-06,12.85
2021-01-07,20.72
2021-01-08,20.72
2021-01-11,26.39
2021-01-12,26.39
2021-01-13,22.01
2021-01-14,21.41
2021-01-15,21.41
2021-01-19,24.7
2021-01-20,25.0
2021-01-21,27.99
2021-01-22,24.5
2021-01-25,20.52
2021-01-26,37.75
2021-01-27,29.48
2021-01-28,34.26
2021-01-29,34.26
2021-02-01,38.45
2021-02-02,42.93
2021-02-03,50.8
2021-02-04,50.8
2021-02-05,25.5
2021-02-08,57.87
2021-02-09,58.07
2021-02-10,58.57
2022-05-12,-0.9
2022-05-13,-1.1
2022-05-16,-1.29
2022-05-17,-1.0
2022-05-20,-1.1
2022-05-23,-0.9
2022-05-24,-0.8
2022-05-25,-0.9
2022-06-02,-0.8
2022-06-08,-0.7
2022-06-09,-0.6
2022-06-30,-0.8
2022-07-01,-0.7
2022-07-05,-0.8
2022-07-12,-0.4
2022-07-14,-0.5
2022-07-18,-0.4
2022-07-20,0.4
2022-08-02,-0.1
2022-08-03,0.2
2022-08-05,-0.6
2022-08-08,-0.3
2022-08-15,-0.1
2022-08-19,0.1
2022-08-30,0.0
2022-10-07,-0.3
2022-10-11,-0.4
2022-10-13,0.0
2022-10-31,0.4
2022-11-11,-0.3
2022-11-25,0.0
2022-11-29,0.3
2022-11-30,0.2
2022-12-02,-0.1
2022-12-06,0.2
2022-12-07,1.69
2022-12-12,0.2
