date,pct_chg
2022-02-04,0.21
2022-02-07,-0.07
2022-02-08,3.65
2022-02-09,2.5
2022-02-10,1.93
2022-02-11,3.65
2022-02-14,1.79
2022-02-15,5.36
2022-02-16,6.65
2022-02-17,7.08
2022-02-18,7.08
2022-02-22,5.08
2022-02-23,7.36
2022-02-24,6.65
2022-02-25,9.08
2022-02-28,7.65
2022-03-01,8.08
2022-03-02,12.94
2022-03-03,10.51
2022-03-04,15.23
2022-03-07,11.22
2022-03-08,11.79
2022-03-09,11.08
2022-03-10,12.65
2022-03-11,10.22
2022-03-14,8.65
2022-03-15,10.36
2022-03-16,12.51
2022-03-17,12.94
2022-03-18,12.94
2022-03-21,10.79
2022-03-22,10.65
2022-03-23,8.93
2022-03-24,6.93
2022-03-25,5.81
2022-03-28,4.36
2022-03-29,5.5
2022-03-30,5.36
2022-03-31,4.07
2022-04-01,7.51
2022-04-04,8.93
2022-04-05,7.93
2022-04-06,7.22
2022-04-07,5.79
2022-04-08,6.08
2022-04-11,5.65
2022-04-12,4.5
2022-04-13,7.08
2022-04-14,9.94
2022-04-18,6.93
2022-04-19,8.65
2022-04-20,10.08
2022-04-21,9.94
2022-04-22,10.94
2022-04-25,9.36
2022-04-26,9.51
2022-04-27,7.86
2022-04-28,8.93
2022-04-29,10.36
2022-05-02,7.36
2022-05-03,8.65
2022-05-04,11.22
2022-05-05,9.79
2022-05-06,7.36
2022-05-09,7.36
2022-05-10,6.65
2022-05-11,5.65
2022-05-12,5.36
2022-05-13,1.79
2022-05-16,3.36
2022-05-17,7.65
2022-05-18,6.5
2022-05-19,7.15
2022-05-20,5.08
2022-05-23,1.5
2022-05-24,0.79
2022-05-25,0.79
2022-05-26,-0.64
2022-05-27,-2.64
2022-05-31,-1.5
2022-06-01,-1.36
2022-06-02,1.07
2022-06-03,0.36
2022-06-06,1.86
2022-06-07,0.79
2022-06-08,2.07
2022-06-09,2.22
2022-06-10,10.36
2022-06-13,4.07
2022-06-14,5.43
2022-06-15,3.79
2022-06-16,1.07
2022-06-17,-0.5
2022-06-21,-0.79
2022-06-22,-1.07
2022-06-23,-5.5
2022-06-24,-5.65
2022-06-27,-6.5
2022-06-28,-8.36
2022-06-29,-8.79
2022-06-30,-7.22
2022-07-01,-8.65
2022-07-05,-10.36
2022-07-06,-14.22
2022-07-07,-12.65
2022-07-08,-12.79
2022-07-11,-13.08
2022-07-12,-12.79
2022-07-13,-11.79
2022-07-14,-11.37
2022-07-15,-8.93
2022-07-18,-9.22
2022-07-19,-8.51
2022-07-20,-7.51
