date,pct_chg
2022-02-04,2.5
2022-02-07,9.17
2022-02-08,5.83
2022-02-09,12.5
2022-02-10,5.0
2022-02-11,-1.67
2022-02-14,0.0
2022-02-15,13.33
2022-02-16,15.0
2022-02-17,14.17
2022-02-18,10.0
2022-02-22,10.0
2022-02-23,-4.17
2022-02-24,2.5
2022-02-25,-2.5
2022-02-28,3.33
2022-03-01,2.5
2022-03-02,-0.83
2022-03-03,-0.83
2022-03-04,-4.17
2022-03-07,6.67
2022-03-08,21.67
2022-03-09,21.67
2022-03-10,15.0
2022-03-11,12.5
2022-03-14,0.83
2022-03-15,8.33
2022-03-16,9.17
2022-03-17,10.83
2022-03-18,10.83
2022-03-21,0.83
2022-03-22,0.0
2022-03-23,-0.83
2022-03-24,3.33
2022-03-25,18.33
2022-03-28,7.5
2022-03-29,10.0
2022-03-30,-13.33
2022-03-31,-6.67
2022-04-01,-8.33
2022-04-04,-10.83
2022-04-05,-13.33
2022-04-06,-17.58
2022-04-07,-15.0
2022-04-08,-17.5
2022-04-11,-22.83
2022-04-12,-26.5
2022-04-13,-22.5
2022-04-14,-23.75
2022-04-18,-25.75
2022-04-19,-26.25
2022-04-20,-32.33
2022-04-21,-36.67
2022-04-22,-38.33
2022-04-25,-40.42
2022-04-26,-42.25
2022-04-27,-43.08
2022-04-28,-44.33
2022-04-29,-48.33
2022-05-02,-47.25
2022-05-03,-47.5
2022-05-04,-49.83
2022-05-05,-50.5
2022-05-06,-51.5
2022-05-09,-66.67
2022-05-10,-64.25
2022-05-11,-72.5
2022-05-12,-70.0
2022-05-13,-67.5
2022-05-16,-63.58
2022-05-17,-64.17
2022-05-18,-59.67
2022-05-19,-59.17
2022-05-20,-55.58
2022-05-23,-56.58
2022-05-24,-60.5
2022-05-25,-59.42
2022-05-26,-60.08
2022-05-27,-56.58
2022-05-31,-57.92
2022-06-01,-56.08
2022-06-02,-58.33
2022-06-03,-52.5
2022-06-06,-53.83
2022-06-07,-47.92
2022-06-08,-46.67
2022-06-09,-42.5
2022-06-10,-45.25
2022-06-13,-50.08
2022-06-14,-47.0
2022-06-15,-42.5
2022-06-16,-33.33
2022-06-17,8.33
2022-06-21,40.83
2022-06-22,20.83
2022-06-23,17.5
2022-06-24,27.5
2022-06-27,29.17
2022-06-28,25.83
2022-06-29,12.5
2022-06-30,-6.67
2022-07-01,15.83
2022-07-05,15.0
2022-07-06,7.5
2022-07-07,10.0
2022-07-08,14.17
2022-07-11,29.17
2022-07-12,29.17
2022-07-13,28.33
2022-07-14,27.5
2022-07-15,44.17
2022-07-18,39.17
2022-07-19,41.67
2022-07-20,40.0
2022-07-21,32.5
2022-07-22,30.0
2022-07-25,18.33
2022-07-26,17.5
2022-07-27,10.83
2022-07-28,7.5
2022-07-29,0.83
2022-08-01,-1.67
2022-08-02,-1.67
2022-08-03,-5.0
2022-08-04,-1.67
2022-08-05,7.5
2022-08-08,-1.67
2022-08-09,-2.5
2022-08-10,0.83
2022-08-11,-4.17
2022-08-12,12.5
2022-08-15,8.33
2022-08-16,0.0
2022-08-17,-1.67
2022-08-18,-2.5
2022-08-19,0.83
2022-08-22,-3.33
2022-08-23,4.17
2022-08-24,15.0
2022-08-25,15.0
2022-08-26,10.0
2022-08-29,10.83
2022-08-30,0.0
2022-08-31,0.0
