date,pct_chg
2021-09-23,0.33
2021-09-24,0.59
2021-09-27,0.69
2021-09-28,0.69
2021-09-29,0.69
2021-09-30,0.69
2021-10-01,0.69
2021-10-04,0.69
2021-10-05,0.69
2021-10-06,0.59
2021-10-07,0.39
2021-10-08,0.39
2021-10-11,0.69
2021-10-12,0.89
2021-10-13,0.69
2021-10-14,0.2
2021-10-15,0.39
2021-10-18,1.08
2021-10-19,1.08
2021-10-20,1.08
2021-10-21,0.3
2021-10-22,0.3
2021-10-25,0.3
2021-10-26,0.2
2021-10-27,1.77
2021-10-28,1.77
2021-10-29,2.28
2021-11-01,1.97
2021-11-02,1.97
2021-11-03,1.97
2021-11-04,1.97
2021-11-05,1.38
2021-11-08,1.38
2021-11-09,1.38
2021-11-10,-0.1
2021-11-11,1.28
2021-11-12,1.28
2021-11-15,1.28
2021-11-16,1.28
2021-11-17,1.28
2021-11-18,1.28
2021-11-19,1.64
2021-11-22,1.64
2021-11-23,1.64
2021-11-24,1.64
2021-11-26,1.64
2021-11-29,1.64
2021-11-30,1.64
2021-12-01,1.67
2021-12-02,1.38
2021-12-03,1.38
2021-12-06,1.38
2021-12-07,1.28
2021-12-08,1.28
2021-12-09,1.28
2021-12-10,0.59
2021-12-13,0.89
2021-12-14,-0.33
2021-12-15,-0.33
2021-12-16,-0.33
2021-12-17,1.18
2021-12-20,0.89
2021-12-21,0.89
2021-12-22,1.38
2021-12-23,1.38
2021-12-27,1.08
2021-12-28,-0.49
2021-12-29,-0.49
2021-12-30,1.38
2021-12-31,1.38
2022-01-03,1.38
2022-01-04,1.38
2022-01-05,1.38
2022-01-06,1.38
2022-01-07,1.38
2022-01-10,2.11
2022-01-11,2.11
2022-01-12,2.11
2022-01-13,2.11
2022-01-14,2.11
2022-01-18,2.11
2022-01-19,2.11
2022-01-20,2.11
2022-01-21,0.79
2022-01-24,0.89
2022-01-25,0.98
2022-01-26,0.98
2022-01-27,0.98
2022-01-28,0.59
2022-01-31,0.59
2022-02-01,0.59
2022-02-02,0.59
2022-02-03,1.48
2022-02-04,1.48
2022-02-07,1.48
2022-02-08,3.05
2022-02-09,3.05
2022-02-10,3.05
2022-02-11,3.05
2022-02-14,3.05
2022-02-15,3.05
2022-02-16,0.59
2022-02-17,0.59
2022-02-18,0.59
2022-02-22,0.59
2022-02-23,0.69
2022-02-24,0.39
2022-02-25,0.39
2022-02-28,0.39
2022-03-01,0.39
2022-03-02,0.3
2022-03-03,0.3
2022-03-04,0.3
2022-03-07,0.3
2022-03-08,0.3
2022-03-09,0.3
2022-03-10,0.39
2022-03-11,0.39
2022-03-14,0.39
2022-03-15,0.2
2022-03-16,0.2
2022-03-17,0.2
2022-03-18,0.2
2022-03-21,0.2
2022-03-22,0.2
2022-03-23,0.2
2022-03-24,0.2
2022-03-25,0.2
2022-03-28,0.2
2022-03-29,0.2
2022-03-30,0.2
