date,pct_chg
2022-02-04,1.38
2022-02-07,2.44
2022-02-08,0.32
2022-02-09,-2.44
2022-02-10,-0.64
2022-02-11,1.49
2022-02-14,1.28
2022-02-15,0.96
2022-02-16,3.83
2022-02-17,2.34
2022-02-18,3.93
2022-02-22,9.56
2022-02-23,9.99
2022-02-24,8.93
2022-02-25,10.95
2022-02-28,13.71
2022-03-01,16.05
2022-03-02,20.62
2022-03-03,22.53
2022-03-04,26.25
2022-03-07,41.34
2022-03-08,54.94
2022-03-09,24.12
2022-03-10,30.18
2022-03-11,28.37
2022-03-14,4.14
2022-03-15,3.29
2022-03-16,6.38
2022-03-17,15.73
2022-03-18,13.71
2022-03-21,27.52
2022-03-22,25.93
2022-03-23,31.56
2022-03-24,29.86
2022-03-25,29.86
2022-03-28,23.17
2022-03-29,23.8
2022-03-30,25.82
2022-03-31,25.19
2022-04-01,27.84
2022-04-04,27.84
2022-04-05,25.93
2022-04-06,22.0
2022-04-07,22.85
2022-04-08,23.7
2022-04-11,20.94
2022-04-12,22.0
2022-04-13,22.85
2022-04-14,16.9
2022-04-18,19.23
2022-04-19,19.02
2022-04-20,20.3
2022-04-21,19.34
2022-04-22,14.77
2022-04-25,14.77
2022-04-26,17.96
2022-04-27,14.45
2022-04-28,17.11
2022-04-29,14.67
2022-05-02,11.8
2022-05-03,13.18
2022-05-04,13.71
2022-05-05,9.99
2022-05-06,16.47
2022-05-09,6.27
2022-05-10,3.08
2022-05-11,6.27
2022-05-12,4.89
2022-05-13,8.29
2022-05-16,16.37
2022-05-17,14.88
2022-05-18,10.52
2022-05-19,14.24
2022-05-20,10.2
2022-05-23,14.45
2022-05-24,15.83
2022-05-25,22.21
2022-05-26,21.47
2022-05-27,24.44
2022-05-31,25.19
2022-06-01,28.37
2022-06-02,27.31
2022-06-03,25.5
2022-06-06,25.19
2022-06-07,27.63
2022-06-08,31.88
2022-06-09,30.39
2022-06-10,31.35
2022-06-13,19.34
2022-06-14,18.92
2022-06-15,15.73
2022-06-16,9.46
2022-06-17,-0.96
2022-06-21,12.11
2022-06-22,10.63
2022-06-23,5.74
2022-06-24,12.11
2022-06-27,19.98
2022-06-28,23.8
2022-06-29,24.55
2022-06-30,19.55
2022-07-01,26.14
2022-07-05,22.74
2022-07-06,26.89
2022-07-07,31.14
2022-07-08,34.43
2022-07-11,33.26
2022-07-12,31.56
2022-07-13,21.15
2022-07-14,12.75
2022-07-15,15.2
2022-07-18,15.09
2022-07-19,14.24
2022-07-20,14.88
2022-07-21,15.41
2022-07-22,16.79
2022-07-25,20.09
2022-07-26,21.68
2022-07-27,24.76
2022-07-28,26.04
2022-07-29,25.93
2022-08-01,23.91
2022-08-02,20.19
2022-08-03,17.22
2022-08-04,14.88
2022-08-05,17.22
2022-08-08,19.02
2022-08-09,20.19
2022-08-10,19.87
2022-08-11,23.8
2022-08-12,26.14
2022-08-15,21.47
2022-08-16,22.64
2022-08-17,26.25
2022-08-18,27.74
2022-08-19,27.52
2022-08-22,29.12
2022-08-23,32.41
2022-08-24,32.84
2022-08-25,29.01
2022-08-26,29.86
2022-08-29,35.92
2022-08-30,28.91
2022-08-31,29.54
2022-09-01,28.37
2022-09-02,28.27
2022-09-06,34.75
2022-09-07,29.54
2022-09-08,29.54
2022-09-09,31.03
2022-09-12,36.24
2022-09-13,39.74
2022-09-14,48.57
2022-09-15,52.39
2022-09-16,36.77
2022-09-19,43.89
2022-09-20,39.0
2022-09-21,41.55
2022-09-22,44.42
2022-09-23,20.3
2022-09-26,19.55
2022-09-27,27.74
2022-09-28,33.26
2022-09-29,28.59
2022-09-30,32.41
2022-10-03,36.45
2022-10-04,45.48
2022-10-05,51.33
2022-10-06,56.22
2022-10-07,55.15
2022-10-10,40.6
2022-10-11,46.23
2022-10-12,46.44
2022-10-13,52.71
2022-10-14,45.7
2022-10-17,41.55
2022-10-18,31.88
2022-10-19,34.86
2022-10-20,32.73
2022-10-21,42.3
2022-10-24,37.19
2022-10-25,38.15
2022-10-26,43.15
2022-10-27,40.28
2022-10-28,34.96
2022-10-31,34.54
2022-11-01,37.73
2022-11-02,38.15
2022-11-03,41.87
2022-11-04,44.63
2022-11-07,47.4
2022-11-08,41.34
2022-11-09,36.88
2022-11-10,38.15
2022-11-11,38.68
2022-11-14,43.46
2022-11-15,46.55
2022-11-16,39.0
2022-11-17,39.0
2022-11-18,39.32
2022-11-21,36.77
2022-11-22,40.38
2022-11-23,39.0
2022-11-25,39.21
2022-11-28,39.43
2022-11-29,41.66
2022-11-30,44.1
2022-12-01,50.48
2022-12-02,49.1
2022-12-05,46.44
2022-12-06,37.09
2022-12-07,40.91
2022-12-08,44.31
2022-12-09,42.3
2022-12-12,42.08
2022-12-13,45.91
2022-12-14,43.68
2022-12-15,45.06
2022-12-16,44.53
2022-12-19,45.91
2022-12-20,49.73
2022-12-21,54.2
2022-12-22,48.99
2022-12-23,58.13
2022-12-27,54.52
2022-12-28,59.4
2022-12-29,63.34
2022-12-30,73.54
2023-01-03,67.38
2023-01-04,54.52
2023-01-05,68.23
2023-01-06,57.39
2023-01-09,56.54
2023-01-10,63.66
2023-01-11,66.21
2023-01-12,68.23
2023-01-13,61.11
2023-01-17,63.02
2023-01-18,58.87
2023-01-19,64.29
2023-01-20,66.95
2023-01-23,67.69
2023-01-24,64.93
2023-01-25,67.27
2023-01-26,65.04
2023-01-27,66.42
2023-01-30,63.97
2023-01-31,61.74
2023-02-01,55.05
2023-02-02,41.34
2023-02-03,45.16
