date,pct_chg
2022-02-04,1.82
2022-02-07,1.41
2022-02-08,3.54
2022-02-09,1.09
2022-02-10,0.76
2022-02-11,1.12
2022-02-14,0.65
2022-02-15,2.37
2022-02-16,2.87
2022-02-17,0.91
2022-02-18,1.8
2022-02-22,1.3
2022-02-23,-0.29
2022-02-24,-1.93
2022-02-25,0.21
2022-02-28,-0.05
2022-03-01,-3.07
2022-03-02,0.05
2022-03-03,0.23
2022-03-04,-0.23
2022-03-07,-1.75
2022-03-08,-2.4
2022-03-09,-1.77
2022-03-10,-1.07
2022-03-11,-0.23
2022-03-14,0.89
2022-03-15,0.16
2022-03-16,1.69
2022-03-17,0.55
2022-03-18,-1.3
2022-03-21,-1.17
2022-03-22,-1.07
2022-03-23,-4.32
2022-03-24,-4.19
2022-03-25,-2.71
2022-03-28,-3.59
2022-03-29,-2.24
2022-03-30,-5.13
2022-03-31,-5.89
2022-04-01,-4.51
2022-04-04,-5.63
2022-04-05,-6.51
2022-04-06,-6.69
2022-04-07,-7.01
2022-04-08,-7.48
2022-04-11,-7.84
2022-04-12,-8.31
2022-04-13,-6.98
2022-04-14,-8.02
2022-04-18,-8.6
2022-04-19,-5.83
2022-04-20,-5.03
2022-04-21,-5.94
2022-04-22,-7.61
2022-04-25,-8.15
2022-04-26,-7.55
2022-04-27,-7.97
2022-04-28,-6.46
2022-04-29,-8.31
2022-05-02,-7.37
2022-05-03,-6.8
2022-05-04,-3.96
2022-05-05,-5.63
2022-05-06,-6.41
2022-05-09,-5.73
2022-05-10,-6.36
2022-05-11,-6.28
2022-05-12,-6.46
2022-05-13,-7.87
2022-05-16,-8.44
2022-05-17,-5.78
2022-05-18,-6.49
2022-05-19,-8.44
2022-05-20,-6.38
2022-05-23,-5.03
2022-05-24,-4.74
2022-05-25,-4.32
2022-05-26,-3.39
2022-05-27,-2.27
2022-05-31,-3.67
2022-06-01,-3.36
2022-06-02,-2.11
2022-06-03,-2.94
2022-06-06,-2.21
2022-06-07,-1.98
2022-06-08,-3.28
2022-06-09,-4.85
2022-06-10,-6.62
2022-06-13,-7.71
2022-06-14,-6.72
2022-06-15,-6.1
2022-06-16,-7.55
2022-06-17,-6.28
2022-06-21,-4.22
2022-06-22,-3.62
2022-06-23,-4.64
2022-06-24,-2.47
2022-06-27,-1.2
2022-06-28,-0.7
2022-06-29,-2.4
2022-06-30,-2.08
2022-07-01,-0.6
2022-07-05,-0.23
2022-07-06,-1.17
2022-07-07,-2.11
2022-07-08,-1.12
2022-07-11,-1.04
2022-07-12,-0.52
2022-07-13,-1.43
2022-07-14,-2.47
2022-07-15,-0.1
2022-07-18,-0.55
2022-07-19,1.69
2022-07-20,1.93
2022-07-21,2.16
2022-07-22,2.6
2022-07-25,4.17
2022-07-26,2.5
2022-07-27,4.77
2022-07-28,4.87
2022-07-29,5.6
2022-08-01,6.59
2022-08-02,4.9
2022-08-03,6.04
2022-08-04,4.95
2022-08-05,5.31
2022-08-08,5.39
2022-08-09,5.78
2022-08-10,6.59
2022-08-11,7.66
2022-08-12,9.38
2022-08-15,9.92
2022-08-16,10.76
2022-08-17,9.64
2022-08-18,10.21
2022-08-19,9.04
2022-08-22,6.54
2022-08-23,4.92
2022-08-24,3.96
2022-08-25,5.26
2022-08-26,3.65
2022-08-29,1.98
2022-08-30,2.14
2022-08-31,1.02
2022-09-01,0.78
2022-09-02,0.29
2022-09-06,-1.3
2022-09-07,-0.81
2022-09-08,0.47
2022-09-09,1.33
2022-09-12,2.14
2022-09-13,0.26
2022-09-14,-0.36
2022-09-15,1.46
2022-09-16,2.76
2022-09-19,3.46
2022-09-20,4.19
2022-09-21,3.49
2022-09-22,2.47
2022-09-23,1.93
2022-09-26,1.54
2022-09-27,0.08
2022-09-28,0.34
2022-09-29,-1.01
2022-09-30,-1.15
2022-10-03,1.22
2022-10-04,3.91
2022-10-05,3.75
2022-10-06,3.83
2022-10-07,3.41
2022-10-10,3.83
2022-10-11,5.91
2022-10-12,6.2
2022-10-13,10.97
2022-10-14,9.64
2022-10-17,11.46
2022-10-18,11.83
2022-10-19,12.06
2022-10-20,8.96
2022-10-21,10.91
2022-10-24,12.61
2022-10-25,13.05
2022-10-26,12.19
2022-10-27,17.22
2022-10-28,21.31
2022-10-31,23.44
2022-11-01,24.28
2022-11-02,21.72
2022-11-03,20.71
2022-11-04,24.51
2022-11-07,22.77
2022-11-08,22.22
2022-11-09,21.96
2022-11-10,24.67
2022-11-11,21.39
2022-11-14,22.56
2022-11-15,24.17
2022-11-16,22.66
2022-11-17,21.39
2022-11-18,21.44
2022-11-21,22.25
2022-11-22,23.31
2022-11-23,22.09
2022-11-25,23.63
2022-11-28,20.84
2022-11-29,21.39
2022-11-30,20.24
2022-12-01,20.73
2022-12-02,20.53
2022-12-05,13.0
2022-12-06,12.56
2022-12-07,11.93
2022-12-08,10.73
2022-12-09,10.0
2022-12-12,10.6
2022-12-13,11.12
2022-12-14,9.33
2022-12-15,9.59
2022-12-16,8.78
2022-12-19,10.24
2022-12-20,9.33
2022-12-21,13.1
2022-12-22,12.76
2022-12-23,13.05
2022-12-27,14.74
2022-12-28,12.5
2022-12-29,13.86
2022-12-30,13.1
2023-01-03,11.59
2023-01-04,10.55
2023-01-05,9.59
2023-01-06,11.54
2023-01-09,10.16
2023-01-10,11.54
2023-01-11,12.01
2023-01-12,13.83
2023-01-13,14.64
2023-01-17,13.96
2023-01-18,10.34
2023-01-19,9.35
2023-01-20,10.63
2023-01-23,10.34
2023-01-24,-2.06
2023-01-25,-3.41
2023-01-26,-3.39
2023-01-27,-1.56
2023-01-30,-0.39
2023-01-31,2.4
2023-02-01,3.83
2023-02-02,7.01
2023-02-03,7.68
