date,pct_chg
2021-02-16,0.46
2021-02-17,1.37
2021-02-18,1.46
2021-02-19,1.83
2021-02-22,0.64
2021-02-23,0.27
2021-02-24,1.55
2021-02-25,1.46
2021-02-26,2.19
2021-03-01,3.11
2021-03-02,2.65
2021-03-03,2.74
2021-03-04,1.28
2021-03-05,0.91
2021-03-08,0.55
2021-03-09,-1.1
2021-03-10,3.65
2021-03-11,4.93
2021-03-12,4.84
2021-03-15,3.74
2021-03-16,4.11
2021-03-17,4.57
2021-03-18,3.93
2021-03-19,3.56
2021-03-22,3.93
2021-03-23,4.11
2021-03-24,2.74
2021-03-25,2.65
2021-03-26,3.84
2021-03-29,1.83
2021-03-30,2.83
2021-03-31,3.2
2021-04-01,2.28
2021-04-05,3.65
2021-04-06,3.84
2021-04-07,3.01
2021-04-08,2.37
2021-04-09,1.92
2021-04-12,1.19
2021-04-13,2.47
2021-04-14,2.74
2021-04-15,3.01
2021-04-16,3.74
2021-04-19,3.74
2021-04-20,2.28
2021-04-21,2.1
2021-04-22,2.65
2021-04-23,2.47
2021-04-26,2.19
2021-04-27,2.28
2021-04-28,1.83
2021-04-29,2.56
2021-04-30,1.83
2021-05-03,2.19
2021-05-04,2.37
2021-05-05,1.74
2021-05-06,1.64
2021-05-07,1.37
2021-05-10,1.46
2021-05-11,2.01
2021-05-12,1.83
2021-05-13,2.37
2021-05-14,2.01
2021-05-17,2.1
2021-05-18,1.46
2021-05-19,2.1
2021-05-20,2.19
2021-05-21,2.01
2021-05-24,2.19
2021-05-25,2.28
2021-05-26,2.74
2021-05-27,3.01
2021-05-28,3.65
2021-06-01,3.2
2021-06-02,2.92
2021-06-03,2.56
2021-06-04,1.92
2021-06-07,1.74
2021-06-08,2.1
2021-06-09,3.74
2021-06-10,4.02
2021-06-11,3.84
2021-06-14,3.56
2021-06-15,3.2
2021-06-16,2.83
2021-06-17,2.19
2021-06-18,1.55
2021-06-21,1.37
2021-06-22,1.55
2021-06-23,1.37
2021-06-24,1.46
2021-06-25,2.28
2021-06-28,2.19
2021-06-29,2.65
2021-06-30,2.01
2021-07-01,2.83
2021-07-02,3.01
2021-07-06,3.11
2021-07-07,2.65
2021-07-08,1.74
2021-07-09,1.74
2021-07-12,0.91
2021-07-13,1.28
2021-07-14,1.0
2021-07-15,1.83
2021-07-16,1.37
2021-07-19,1.28
2021-07-20,1.28
2021-07-21,1.37
2021-07-22,1.74
2021-07-23,1.46
2021-07-26,-0.37
2021-07-27,-7.76
2021-07-28,-3.93
2021-07-29,-4.66
2021-07-30,-4.57
2021-08-02,-1.37
2021-08-03,-0.64
2021-08-04,1.1
2021-08-05,2.01
2021-08-06,2.19
2021-08-09,2.19
2021-08-10,2.56
2021-08-11,2.65
2021-08-12,2.47
2021-08-13,2.56
2021-08-16,2.37
2021-08-17,2.65
2021-08-18,2.56
2021-08-19,2.74
2021-08-20,2.74
2021-08-23,2.74
2021-08-24,3.01
2021-08-25,2.74
2021-08-26,2.47
2021-08-27,2.74
2021-08-30,2.92
2021-08-31,2.65
2021-09-01,2.83
2021-09-02,2.65
2021-09-03,2.92
2021-09-07,2.83
2021-09-08,2.83
2021-09-09,2.92
2021-09-10,2.74
2021-09-13,2.74
2021-09-14,2.74
2021-09-15,3.01
2021-09-16,2.37
2021-09-17,3.56
2021-09-20,2.74
2021-09-21,2.65
2021-09-22,2.47
2021-09-23,2.65
2021-09-24,3.74
2021-09-27,3.65
2021-09-28,2.65
2021-09-29,2.56
2021-09-30,2.56
2021-10-01,2.56
2021-10-04,2.65
2021-10-05,3.47
2021-10-06,3.65
2021-10-07,4.75
2021-10-08,5.02
2021-10-11,3.65
2021-10-12,3.93
2021-10-13,4.47
2021-10-14,3.84
2021-10-15,3.65
2021-10-18,3.47
2021-10-19,3.38
2021-10-20,3.47
2021-10-21,3.01
2021-10-22,1.83
2021-10-25,2.37
2021-10-26,2.65
2021-10-27,1.92
2021-10-28,1.83
2021-10-29,2.74
2021-11-01,2.47
2021-11-02,2.37
2021-11-03,2.56
2021-11-04,2.74
2021-11-05,2.65
2021-11-08,1.46
2021-11-09,1.46
2021-11-10,1.19
2021-11-11,1.64
2021-11-12,1.0
2021-11-15,1.28
2021-11-16,2.01
2021-11-17,1.92
2021-11-18,0.55
2021-11-19,0.73
2021-11-22,0.64
2021-11-23,-6.21
2021-11-24,-4.02
2021-11-26,0.18
2021-11-29,0.46
2021-11-30,-0.27
2021-12-01,-0.46
2021-12-02,0.55
2021-12-03,4.11
2021-12-06,4.02
2021-12-07,4.57
2021-12-08,6.21
2021-12-09,5.75
2021-12-10,6.03
2021-12-13,6.03
2021-12-14,6.21
2021-12-15,6.21
2021-12-16,5.94
2021-12-17,6.12
2021-12-20,3.93
2021-12-21,3.56
2021-12-22,4.02
2021-12-23,5.75
2021-12-27,5.75
2021-12-28,5.75
2021-12-29,4.93
2021-12-30,4.2
2021-12-31,4.66
2022-01-03,4.29
2022-01-04,4.47
2022-01-05,4.47
2022-01-06,4.75
2022-01-07,1.74
2022-01-10,1.83
2022-01-11,1.83
2022-01-12,1.83
2022-01-13,1.83
2022-01-14,1.55
2022-01-18,4.75
2022-01-19,3.2
2022-01-20,5.02
2022-01-21,5.84
2022-01-24,8.31
2022-01-25,8.86
2022-01-26,9.13
2022-01-31,9.13
2022-02-01,9.13
2022-02-02,9.13
2022-02-03,9.13
2022-02-04,9.13
2022-02-07,-100.0
