date,pct_chg
2020-10-08,0.2
2020-10-09,0.1
2020-10-12,0.0
2020-10-13,-0.1
2020-10-14,0.2
2020-10-15,0.2
2020-10-16,0.3
2020-10-19,0.2
2020-10-20,0.3
2020-10-21,0.41
2020-10-22,0.61
2020-10-23,0.51
2020-10-26,0.2
2020-10-27,0.3
2020-10-28,0.1
2020-10-29,0.3
2020-10-30,0.61
2020-11-02,0.51
2020-11-03,0.2
2020-11-04,0.2
2020-11-05,0.71
2020-11-06,0.71
2020-11-09,0.41
2020-11-10,0.61
2020-11-11,0.51
2020-11-12,0.3
2020-11-13,0.71
2020-11-16,0.3
2020-11-17,0.91
2020-11-18,1.01
2020-11-19,1.01
2020-11-20,0.81
2020-11-23,0.91
2020-11-24,0.61
2020-11-25,0.97
2020-11-27,1.32
2020-11-30,1.42
2020-12-01,1.82
2020-12-02,1.62
2020-12-03,1.82
2020-12-04,1.57
2020-12-07,2.33
2020-12-08,3.34
2020-12-09,4.26
2020-12-10,3.55
2020-12-11,3.65
2020-12-14,4.86
2020-12-15,4.05
2020-12-16,4.05
2020-12-17,3.34
2020-12-18,3.85
2020-12-21,4.36
2020-12-22,4.05
2020-12-23,5.37
2020-12-24,6.28
2020-12-28,7.7
2020-12-29,6.38
2020-12-30,7.09
2020-12-31,4.26
2021-01-04,6.79
2021-01-05,7.6
2021-01-06,6.89
2021-01-07,8.61
2021-01-08,8.41
2021-01-11,9.02
2021-01-12,10.64
2021-01-13,10.94
2021-01-14,10.74
2021-01-15,9.02
2021-01-19,9.83
2021-01-20,9.63
2021-01-21,10.94
2021-01-22,10.94
2021-01-25,10.84
2021-01-26,9.93
2021-01-27,6.38
2021-01-28,8.92
2021-01-29,8.71
2021-02-01,9.93
2021-02-02,12.46
2021-02-03,11.85
2021-02-04,11.45
2021-02-05,12.06
2021-02-08,50.96
2021-02-09,44.48
2021-02-10,45.29
2021-02-11,38.7
2021-02-12,36.78
2021-02-16,38.7
2021-02-17,41.64
2021-02-18,36.58
2021-02-19,46.3
2021-02-22,53.19
2021-02-23,39.61
2021-02-24,30.09
2021-02-25,19.96
2021-02-26,22.19
2021-03-01,21.78
2021-03-02,18.74
2021-03-03,12.46
2021-03-04,9.63
2021-03-05,11.75
2021-03-08,10.74
2021-03-09,13.19
2021-03-10,11.55
2021-03-11,16.62
2021-03-12,15.55
2021-03-15,15.81
2021-03-16,12.46
2021-03-17,13.37
2021-03-18,12.75
2021-03-19,12.06
2021-03-22,12.77
2021-03-23,10.44
2021-03-24,7.55
2021-03-25,7.7
2021-03-26,8.31
2021-03-29,9.02
2021-03-30,7.75
2021-03-31,6.79
2021-04-01,7.09
2021-04-05,6.38
2021-04-06,6.48
2021-04-07,6.59
2021-04-08,8.92
2021-04-09,6.79
2021-04-12,8.31
2021-04-13,8.31
2021-04-14,7.75
2021-04-15,5.27
2021-04-16,7.6
2021-04-19,7.8
2021-04-20,5.98
2021-04-21,6.08
2021-04-22,5.88
2021-04-23,6.38
2021-04-26,6.41
2021-04-27,6.59
2021-04-28,6.38
2021-04-29,5.88
2021-04-30,5.37
2021-05-03,5.22
2021-05-04,5.98
2021-05-05,6.33
2021-05-06,4.86
2021-05-07,5.07
2021-05-10,5.67
2021-05-11,4.66
2021-05-12,4.0
2021-05-13,4.96
2021-05-14,4.56
2021-05-17,4.81
2021-05-18,4.26
2021-05-19,4.26
2021-05-20,4.76
2021-05-21,3.44
2021-05-24,4.15
2021-05-25,4.26
2021-05-26,4.26
2021-05-27,5.01
2021-05-28,4.86
2021-06-01,4.86
2021-06-02,4.56
2021-06-03,4.86
2021-06-04,4.56
2021-06-07,4.94
2021-06-08,5.88
2021-06-09,5.88
2021-06-10,5.88
2021-06-11,7.69
2021-06-14,8.51
2021-06-15,8.21
2021-06-16,6.89
2021-06-17,7.8
2021-06-18,7.8
2021-06-21,7.8
2021-06-22,6.38
2021-06-23,6.38
2021-06-24,9.34
2021-06-25,6.99
2021-06-28,11.45
2021-06-29,8.87
2021-06-30,6.38
2021-07-01,6.38
2021-07-02,5.78
2021-07-06,6.08
2021-07-07,6.18
2021-07-08,6.89
2021-07-09,6.89
2021-07-12,6.89
2021-07-13,5.88
2021-07-14,5.88
2021-07-15,6.01
2021-07-16,6.38
2021-07-19,5.88
2021-07-20,6.69
2021-07-21,6.69
2021-07-22,7.4
2021-07-23,4.46
2021-07-26,4.46
2021-07-27,6.13
2021-07-28,5.37
2021-07-29,5.27
2021-07-30,5.27
2021-08-02,6.38
2021-08-03,4.96
2021-08-04,5.27
2021-08-05,5.27
2021-08-06,5.27
2021-08-09,5.27
2021-08-10,5.27
2021-08-11,4.36
2021-08-12,2.63
2021-08-13,2.84
2021-08-16,0.51
2021-08-17,-6.48
2021-08-18,-3.24
2021-08-19,-6.18
