date,pct_chg
2022-02-04,0.06
2022-02-07,-0.12
2022-02-08,-1.22
2022-02-09,0.65
2022-02-10,-0.34
2022-02-11,-3.53
2022-02-14,-2.56
2022-02-15,0.19
2022-02-16,0.81
2022-02-17,-1.73
2022-02-18,-1.62
2022-02-22,-4.9
2022-02-23,-5.84
2022-02-24,-5.6
2022-02-25,-4.48
2022-02-28,-6.03
2022-03-01,-9.01
2022-03-02,-6.63
2022-03-03,-7.8
2022-03-04,-9.72
2022-03-07,-14.36
2022-03-08,-16.59
2022-03-09,-12.64
2022-03-10,-13.27
2022-03-11,-15.61
2022-03-14,-19.09
2022-03-15,-17.83
2022-03-16,-13.85
2022-03-17,-12.32
2022-03-18,-9.68
2022-03-21,-10.41
2022-03-22,-8.41
2022-03-23,-8.47
2022-03-24,-9.1
2022-03-25,-7.99
2022-03-28,-7.23
2022-03-29,-4.25
2022-03-30,-4.66
2022-03-31,-7.4
2022-04-01,-8.11
2022-04-04,-7.55
2022-04-05,-8.95
2022-04-06,-11.66
2022-04-07,-10.96
2022-04-08,-11.81
2022-04-11,-13.99
2022-04-12,-13.95
2022-04-13,-12.26
2022-04-14,-8.15
2022-04-18,-9.41
2022-04-19,-5.68
2022-04-20,-6.5
2022-04-21,-6.78
2022-04-22,-11.18
2022-04-25,-11.95
2022-04-26,-17.06
2022-04-27,-16.56
2022-04-28,-12.57
2022-04-29,-14.18
2022-05-02,-13.23
2022-05-03,-15.45
2022-05-04,-13.25
2022-05-05,-18.36
2022-05-06,-21.21
2022-05-09,-23.47
2022-05-10,-24.65
2022-05-11,-25.73
2022-05-12,-25.74
2022-05-13,-22.23
2022-05-16,-22.51
2022-05-17,-20.24
2022-05-18,-24.73
2022-05-19,-26.75
2022-05-20,-25.68
2022-05-23,-25.24
2022-05-24,-26.16
2022-05-25,-25.54
2022-05-26,-22.28
2022-05-27,-20.18
2022-05-31,-18.21
2022-06-01,-18.33
2022-06-02,-15.07
2022-06-03,-16.76
2022-06-06,-17.26
2022-06-07,-16.27
2022-06-08,-15.77
2022-06-09,-18.38
2022-06-10,-21.04
2022-06-13,-24.0
2022-06-14,-23.8
2022-06-15,-21.93
2022-06-16,-26.28
2022-06-17,-26.13
2022-06-21,-25.21
2022-06-22,-27.8
2022-06-23,-25.68
2022-06-24,-22.3
2022-06-27,-23.96
2022-06-28,-29.27
2022-06-29,-28.95
2022-06-30,-29.67
2022-07-01,-30.37
2022-07-05,-28.21
2022-07-06,-28.27
2022-07-07,-25.59
2022-07-08,-25.72
2022-07-11,-27.66
2022-07-12,-28.59
2022-07-13,-27.66
2022-07-14,-28.97
2022-07-15,-27.95
2022-07-18,-28.47
2022-07-19,-24.86
2022-07-20,-23.54
2022-07-21,-23.18
2022-07-22,-24.91
2022-07-25,-24.8
2022-07-26,-27.6
2022-07-27,-25.77
2022-07-28,-22.77
2022-07-29,-20.91
2022-08-01,-21.34
2022-08-02,-23.08
2022-08-03,-21.35
2022-08-04,-21.22
2022-08-05,-21.64
2022-08-08,-21.55
2022-08-09,-24.22
2022-08-10,-22.14
2022-08-11,-21.48
2022-08-12,-20.12
2022-08-15,-19.95
2022-08-16,-18.75
2022-08-17,-19.45
2022-08-18,-20.16
2022-08-19,-22.13
2022-08-22,-24.07
2022-08-23,-23.83
2022-08-24,-23.33
2022-08-25,-22.08
2022-08-26,-25.48
2022-08-29,-25.76
2022-08-30,-25.77
2022-08-31,-26.74
2022-09-01,-26.72
2022-09-02,-27.23
2022-09-06,-27.64
2022-09-07,-25.35
2022-09-08,-25.17
2022-09-09,-23.63
2022-09-12,-22.66
2022-09-13,-27.25
2022-09-14,-26.36
2022-09-15,-27.4
2022-09-16,-28.35
2022-09-19,-26.22
2022-09-20,-29.52
2022-09-21,-31.33
2022-09-22,-32.18
2022-09-23,-33.23
2022-09-26,-33.89
2022-09-27,-33.73
2022-09-28,-32.08
2022-09-29,-34.6
2022-09-30,-42.8
2022-10-03,-41.23
2022-10-04,-39.0
2022-10-05,-37.31
2022-10-06,-37.95
2022-10-07,-40.02
2022-10-10,-40.34
2022-10-11,-39.45
2022-10-12,-39.09
2022-10-13,-38.37
2022-10-14,-39.75
2022-10-17,-38.08
2022-10-18,-38.28
2022-10-19,-39.05
2022-10-20,-40.24
2022-10-21,-39.1
2022-10-24,-39.43
2022-10-25,-36.88
2022-10-26,-36.42
2022-10-27,-37.69
2022-10-28,-35.43
2022-10-31,-36.22
2022-11-01,-35.47
2022-11-02,-37.86
2022-11-03,-37.79
2022-11-04,-34.08
2022-11-07,-35.7
2022-11-08,-35.48
2022-11-09,-36.62
2022-11-10,-31.53
2022-11-11,-26.99
2022-11-14,-28.16
2022-11-15,-26.56
2022-11-16,-27.58
2022-11-17,-27.49
2022-11-18,-27.45
2022-11-21,-28.55
2022-11-22,-27.07
2022-11-23,-26.61
2022-11-25,-27.08
2022-11-28,-27.77
2022-11-29,-26.88
2022-11-30,-24.51
2022-12-01,-23.54
2022-12-02,-22.79
2022-12-05,-24.56
2022-12-06,-25.72
2022-12-07,-25.45
2022-12-08,-23.36
2022-12-09,-24.7
2022-12-12,-22.88
2022-12-13,-22.34
2022-12-14,-23.3
2022-12-15,-25.33
2022-12-16,-27.09
2022-12-19,-29.08
2022-12-20,-28.97
2022-12-21,-20.32
2022-12-22,-19.68
2022-12-23,-20.0
2022-12-27,-19.1
2022-12-28,-20.87
2022-12-29,-19.24
2022-12-30,-19.48
2023-01-03,-18.28
2023-01-04,-16.59
2023-01-05,-16.99
2023-01-06,-14.3
2023-01-09,-14.08
2023-01-10,-13.4
2023-01-11,-11.95
2023-01-12,-11.99
2023-01-13,-11.33
2023-01-17,-11.82
2023-01-18,-12.99
2023-01-19,-14.3
2023-01-20,-12.86
2023-01-23,-11.71
2023-01-24,-12.72
2023-01-25,-12.72
2023-01-26,-12.24
2023-01-27,-12.24
2023-01-30,-13.03
2023-01-31,-12.37
2023-02-01,-10.88
2023-02-02,-11.18
2023-02-03,-12.18
