date,pct_chg
2021-08-17,-2.54
2021-08-18,-3.34
2021-08-19,-7.95
2021-08-20,-3.18
2021-08-23,3.18
2021-08-24,3.5
2021-08-25,4.61
2021-08-26,3.39
2021-08-27,10.65
2021-08-30,12.48
2021-08-31,12.08
2021-09-01,11.45
2021-09-02,11.76
2021-09-03,12.56
2021-09-07,10.97
2021-09-08,9.86
2021-09-09,10.83
2021-09-10,10.33
2021-09-13,9.86
2021-09-14,10.02
2021-09-15,7.79
2021-09-16,3.82
2021-09-17,3.97
2021-09-20,0.64
2021-09-21,2.54
2021-09-22,3.18
2021-09-23,3.82
2021-09-24,4.61
2021-09-27,1.75
2021-09-28,-2.07
2021-09-29,-3.97
2021-09-30,-3.82
2021-10-01,-6.04
2021-10-04,-3.97
2021-10-05,-2.38
2021-10-06,-3.34
2021-10-07,-0.16
2021-10-08,0.95
2021-10-11,1.91
2021-10-12,-3.78
2021-10-13,1.59
2021-10-14,8.27
2021-10-15,11.29
2021-10-18,19.24
2021-10-19,14.63
2021-10-20,17.17
2021-10-21,14.47
2021-10-22,16.06
2021-10-25,18.28
2021-10-26,18.17
2021-10-27,19.55
2021-10-28,21.07
2021-10-29,22.02
2021-11-01,23.31
2021-11-02,20.83
2021-11-03,22.1
2021-11-04,20.51
2021-11-05,14.31
2021-11-08,21.3
2021-11-09,19.87
2021-11-10,21.46
2021-11-11,23.37
2021-11-12,25.12
2021-11-15,25.44
2021-11-16,23.05
2021-11-17,24.48
2021-11-18,24.39
2021-11-19,22.58
2021-11-22,21.14
2021-11-23,18.6
2021-11-24,20.35
2021-11-26,14.31
2021-11-29,13.67
2021-11-30,7.95
2021-12-01,3.34
2021-12-02,5.56
2021-12-03,3.34
2021-12-06,14.63
2021-12-07,19.55
2021-12-08,23.53
2021-12-09,20.35
2021-12-10,16.85
2021-12-13,15.26
2021-12-14,13.99
2021-12-15,11.29
2021-12-16,11.29
2021-12-17,16.06
2021-12-20,11.92
2021-12-21,14.34
2021-12-22,19.08
2021-12-23,19.71
2021-12-27,17.97
2021-12-28,21.13
2021-12-29,19.0
2021-12-30,19.71
2021-12-31,21.62
2022-01-03,22.1
2022-01-04,24.01
2022-01-05,20.91
2022-01-06,19.4
2022-01-07,20.67
2022-01-10,20.03
2022-01-11,26.71
2022-01-12,18.28
2022-01-13,14.63
2022-01-14,13.99
2022-01-18,13.67
2022-01-19,15.74
2022-01-20,10.33
2022-01-21,8.43
2022-01-24,4.77
2022-01-25,3.02
2022-01-26,2.7
2022-01-27,0.64
2022-01-28,-0.32
2022-01-31,1.43
2022-02-01,6.52
2022-02-02,3.34
2022-02-03,2.07
2022-02-04,1.27
2022-02-07,2.54
2022-02-08,3.82
2022-02-09,4.61
2022-02-10,6.84
2022-02-11,9.86
2022-02-14,9.54
2022-02-15,8.9
2022-02-16,9.86
2022-02-17,11.92
2022-02-18,7.95
2022-02-22,4.34
2022-02-23,3.82
2022-02-24,0.79
2022-02-25,3.18
2022-02-28,3.5
2022-03-01,5.25
2022-03-02,8.11
2022-03-03,7.63
2022-03-04,10.02
2022-03-07,11.92
2022-03-08,11.45
2022-03-09,11.45
2022-03-10,8.74
2022-03-11,7.79
2022-03-14,3.34
2022-03-15,6.68
2022-03-16,12.24
2022-03-17,17.33
2022-03-18,16.52
2022-03-21,17.65
2022-03-22,17.65
2022-03-23,20.35
2022-03-24,19.55
2022-03-25,23.05
2022-03-28,17.49
2022-03-29,18.6
2022-03-30,15.58
2022-03-31,16.06
2022-04-01,19.71
2022-04-04,24.8
2022-04-05,21.94
2022-04-06,20.51
2022-04-07,20.03
2022-04-08,24.01
2022-04-11,21.46
2022-04-12,28.46
2022-04-13,29.25
2022-04-14,30.05
2022-04-18,27.82
2022-04-19,27.66
2022-04-20,29.89
2022-04-21,24.01
2022-04-22,22.89
2022-04-25,19.08
2022-04-26,18.28
2022-04-27,16.06
2022-04-28,17.33
2022-04-29,19.24
2022-05-02,27.19
2022-05-03,34.18
2022-05-04,34.34
2022-05-05,28.93
2022-05-06,25.76
2022-05-09,18.92
2022-05-10,17.49
2022-05-11,17.33
2022-05-12,12.4
2022-05-13,17.01
2022-05-16,16.53
2022-05-17,19.4
2022-05-18,15.9
2022-05-19,23.21
2022-05-20,21.94
2022-05-23,22.89
2022-05-24,26.23
2022-05-25,24.96
2022-05-26,23.85
2022-05-27,24.96
2022-05-31,24.17
2022-06-01,24.17
2022-06-02,32.91
2022-06-03,30.52
2022-06-06,27.66
2022-06-07,30.05
2022-06-08,30.21
2022-06-09,24.01
2022-06-10,30.37
2022-06-13,13.04
2022-06-14,16.06
2022-06-15,19.4
2022-06-16,20.99
2022-06-17,20.99
2022-06-21,21.46
2022-06-22,19.24
2022-06-23,15.1
2022-06-24,18.28
2022-06-27,21.3
2022-06-28,17.97
2022-06-29,16.69
2022-06-30,12.24
2022-07-01,14.15
2022-07-05,12.08
2022-07-06,7.47
2022-07-07,9.7
2022-07-08,9.54
2022-07-11,7.79
2022-07-12,5.72
2022-07-13,8.74
2022-07-14,5.72
2022-07-15,3.66
2022-07-18,6.04
2022-07-19,6.84
2022-07-20,3.34
2022-07-21,5.72
2022-07-22,5.41
2022-07-25,2.54
2022-07-26,5.72
2022-07-27,9.06
2022-07-28,12.56
2022-07-29,12.88
2022-08-01,11.76
2022-08-02,11.29
2022-08-03,7.63
2022-08-04,13.67
2022-08-05,11.61
2022-08-08,15.42
2022-08-09,16.38
2022-08-10,15.74
2022-08-11,15.72
2022-08-12,23.37
2022-08-15,23.37
