date,pct_chg
2022-02-04,0.24
2022-02-07,0.24
2022-02-08,0.4
2022-02-09,0.48
2022-02-10,0.8
2022-02-11,0.32
2022-02-14,0.4
2022-02-15,0.16
2022-02-16,0.2
2022-02-17,-0.68
2022-02-18,-0.2
2022-02-22,-0.4
2022-02-23,-0.48
2022-02-24,-1.04
2022-02-25,-0.44
2022-02-28,-0.72
2022-03-01,-0.76
2022-03-02,-0.8
2022-03-03,-1.39
2022-03-04,-1.59
2022-03-07,-2.63
2022-03-08,-1.59
2022-03-09,-0.84
2022-03-10,-2.07
2022-03-11,-3.19
2022-03-14,-4.34
2022-03-15,-3.9
2022-03-16,-2.51
2022-03-17,-0.4
2022-03-18,-0.2
2022-03-21,0.04
2022-03-22,-0.2
2022-03-23,0.08
2022-03-24,-0.2
2022-03-25,-0.4
2022-03-28,-0.4
2022-03-29,0.44
2022-03-30,0.52
2022-03-31,-0.36
2022-04-01,-0.88
2022-04-04,-0.84
2022-04-05,-1.35
2022-04-06,-1.83
2022-04-07,-1.39
2022-04-08,-1.35
2022-04-11,-2.19
2022-04-12,-1.24
2022-04-13,-2.71
2022-04-14,-1.83
2022-04-18,-1.39
2022-04-19,-0.92
2022-04-20,0.0
2022-04-21,0.2
2022-04-22,0.32
2022-04-25,0.0
2022-04-26,0.4
2022-04-27,-0.2
2022-04-28,0.48
2022-04-29,0.76
2022-05-02,0.28
2022-05-03,0.64
2022-05-04,-0.08
2022-05-05,-0.36
2022-05-06,-0.88
2022-05-09,-3.15
2022-05-10,-2.99
2022-05-11,-3.59
2022-05-12,-6.53
2022-05-13,-5.7
2022-05-16,-5.34
2022-05-17,-5.14
2022-05-18,-4.86
2022-05-19,-2.91
2022-05-20,-3.78
2022-05-23,-4.14
2022-05-24,-4.62
2022-05-25,-3.86
2022-05-26,-1.59
2022-05-27,-1.35
2022-05-31,0.16
2022-06-01,-0.36
2022-06-02,-0.32
2022-06-03,-0.36
2022-06-06,-0.28
2022-06-07,-0.2
2022-06-08,-0.2
2022-06-09,-0.68
2022-06-10,-1.59
2022-06-13,-2.35
2022-06-14,-2.63
2022-06-15,-2.19
2022-06-16,-2.99
2022-06-17,-2.19
2022-06-21,-2.39
2022-06-22,-2.47
2022-06-23,-3.07
2022-06-24,-2.43
2022-06-27,-2.07
2022-06-28,-1.95
2022-06-29,-1.91
2022-06-30,-4.58
2022-07-01,-4.42
2022-07-05,-5.1
2022-07-06,-5.82
2022-07-07,-5.66
2022-07-08,-5.9
2022-07-11,-5.98
2022-07-12,-5.38
2022-07-13,-5.38
2022-07-14,-6.41
2022-07-15,-4.82
2022-07-18,-2.91
2022-07-19,-3.03
2022-07-20,-1.83
2022-07-21,-0.76
2022-07-22,-0.84
2022-07-25,-0.64
2022-07-26,-0.56
2022-07-27,-0.64
2022-07-28,-0.68
2022-07-29,-0.48
2022-08-01,-0.68
2022-08-02,0.4
2022-08-03,-0.8
2022-08-04,0.2
2022-08-05,-0.64
2022-08-08,-0.6
2022-08-09,-0.6
2022-08-10,-0.64
2022-08-11,-0.64
2022-08-12,-0.4
2022-08-15,-0.24
2022-08-16,-0.4
2022-08-17,-0.6
2022-08-18,-0.4
2022-08-19,-0.24
2022-08-22,-0.64
2022-08-23,-1.95
2022-08-24,-1.71
2022-08-25,-0.6
2022-08-26,-0.8
2022-08-29,-0.88
2022-08-30,-0.8
2022-08-31,-1.0
2022-09-01,-1.59
2022-09-02,-1.39
2022-09-06,-1.67
2022-09-07,-1.16
2022-09-08,-0.76
2022-09-09,-0.28
2022-09-12,0.2
2022-09-13,-1.31
2022-09-14,-0.6
2022-09-15,-1.0
2022-09-16,-0.76
2022-09-19,-0.56
2022-09-20,-0.8
2022-09-21,-0.72
2022-09-22,-0.8
2022-09-23,-1.08
2022-09-26,-1.99
2022-09-27,-0.88
2022-09-28,-1.04
2022-09-29,-3.59
2022-09-30,-2.75
2022-10-03,-1.55
2022-10-04,-2.15
2022-10-05,-2.07
2022-10-06,-2.03
2022-10-07,-2.15
2022-10-10,-3.43
2022-10-11,-4.46
2022-10-12,-4.42
2022-10-13,-3.43
2022-10-14,-3.31
2022-10-17,-1.87
2022-10-18,-1.91
2022-10-19,-2.11
2022-10-20,-2.79
2022-10-21,-1.99
2022-10-24,-1.99
2022-10-25,-0.92
2022-10-26,-0.72
2022-10-27,-0.88
2022-10-28,-0.68
2022-10-31,-0.76
2022-11-01,-1.04
2022-11-02,-1.59
2022-11-03,-1.59
2022-11-04,-0.96
2022-11-07,-1.35
2022-11-08,-1.08
2022-11-09,-1.0
2022-11-10,0.84
2022-11-11,-0.08
2022-11-14,-0.44
2022-11-15,-0.36
2022-11-16,-1.63
2022-11-17,-2.83
2022-11-18,-3.07
2022-11-21,-1.79
2022-11-22,-0.8
2022-11-23,-0.52
2022-11-25,-0.16
2022-11-28,-0.2
2022-11-29,-0.36
2022-11-30,0.16
2022-12-01,0.08
2022-12-02,-0.04
2022-12-05,-0.56
2022-12-06,-0.32
2022-12-07,-0.16
2022-12-08,0.0
2022-12-09,-0.64
2022-12-12,-1.16
2022-12-13,-1.08
2022-12-14,-1.0
2022-12-15,-1.31
2022-12-16,-1.31
2022-12-19,-1.0
2022-12-20,-0.96
2022-12-21,-0.8
2022-12-22,-1.35
2022-12-23,-1.0
2022-12-27,-0.16
2022-12-28,-0.72
2022-12-29,-2.59
2022-12-30,-3.59
2023-01-03,-2.63
2023-01-04,-2.03
2023-01-05,-1.27
2023-01-06,-1.43
2023-01-09,-1.31
2023-01-10,-0.8
2023-01-11,-0.64
2023-01-12,-0.8
2023-01-13,-1.0
2023-01-17,-0.8
2023-01-18,-0.68
2023-01-19,-0.8
2023-01-20,-0.56
2023-01-23,-0.12
2023-01-24,-0.12
2023-01-25,-0.2
2023-01-26,-0.24
2023-01-27,-0.32
2023-01-30,-0.12
2023-01-31,-0.12
2023-02-01,0.92
2023-02-02,0.8
2023-02-03,0.64
