date,pct_chg
2022-02-04,1.98
2022-02-07,1.96
2022-02-08,4.45
2022-02-09,2.92
2022-02-10,3.56
2022-02-11,1.88
2022-02-14,0.4
2022-02-15,9.33
2022-02-16,10.27
2022-02-17,8.9
2022-02-18,8.63
2022-02-22,6.67
2022-02-23,3.99
2022-02-24,1.9
2022-02-25,4.18
2022-02-28,2.92
2022-03-01,-1.85
2022-03-02,1.21
2022-03-03,-0.03
2022-03-04,-2.73
2022-03-07,-6.46
2022-03-08,-7.24
2022-03-09,-4.07
2022-03-10,-3.67
2022-03-11,-4.15
2022-03-14,-2.92
2022-03-15,-2.92
2022-03-16,0.11
2022-03-17,-0.75
2022-03-18,-0.35
2022-03-21,-0.46
2022-03-22,-0.43
2022-03-23,-2.25
2022-03-24,-1.13
2022-03-25,1.47
2022-03-28,0.13
2022-03-29,0.72
2022-03-30,-2.41
2022-03-31,-3.83
2022-04-01,-4.4
2022-04-04,-5.71
2022-04-05,-7.4
2022-04-06,-8.09
2022-04-07,-8.87
2022-04-08,-8.09
2022-04-11,-5.87
2022-04-12,-7.13
2022-04-13,-7.48
2022-04-14,-8.74
2022-04-18,-9.49
2022-04-19,-6.78
2022-04-20,-5.92
2022-04-21,-7.72
2022-04-22,-9.46
2022-04-25,-10.27
2022-04-26,-12.49
2022-04-27,-12.3
2022-04-28,-11.28
2022-04-29,-14.15
2022-05-02,-12.49
2022-05-03,-10.77
2022-05-04,-9.81
2022-05-05,-12.17
2022-05-06,-13.7
2022-05-09,-13.99
2022-05-10,-16.03
2022-05-11,-17.88
2022-05-12,-17.82
2022-05-13,-19.38
2022-05-16,-20.21
2022-05-17,-18.06
2022-05-18,-20.77
2022-05-19,-22.22
2022-05-20,-21.84
2022-05-23,-20.34
2022-05-24,-20.88
2022-05-25,-18.52
2022-05-26,-17.39
2022-05-27,-15.76
2022-05-31,-15.36
2022-06-01,-16.19
2022-06-02,-15.06
2022-06-03,-15.38
2022-06-06,-14.63
2022-06-07,-15.04
2022-06-08,-16.72
2022-06-09,-18.28
2022-06-10,-19.73
2022-06-13,-21.39
2022-06-14,-20.75
2022-06-15,-19.46
2022-06-16,-20.24
2022-06-17,-18.41
2022-06-21,-17.72
2022-06-22,-18.01
2022-06-23,-18.09
2022-06-24,-15.65
2022-06-27,-15.3
2022-06-28,-16.89
2022-06-29,-16.11
2022-06-30,-16.4
2022-07-01,-15.76
2022-07-05,-16.32
2022-07-06,-17.07
2022-07-07,-13.91
2022-07-08,-13.64
2022-07-11,-14.26
2022-07-12,-14.04
2022-07-13,-14.79
2022-07-14,-14.9
2022-07-15,-11.9
2022-07-18,-11.47
2022-07-19,-9.06
2022-07-20,-9.22
2022-07-21,-8.5
2022-07-22,-9.7
2022-07-25,-7.45
2022-07-26,-9.46
2022-07-27,-7.93
2022-07-28,-8.74
2022-07-29,-9.17
2022-08-01,-9.89
2022-08-02,-10.75
2022-08-03,-11.53
2022-08-04,-11.02
2022-08-05,-12.25
2022-08-08,-12.09
2022-08-09,-12.22
2022-08-10,-10.18
2022-08-11,-9.22
2022-08-12,-7.18
2022-08-15,-6.75
2022-08-16,-6.06
2022-08-17,-7.37
2022-08-18,-6.27
2022-08-19,-6.54
2022-08-22,-9.7
2022-08-23,-11.02
2022-08-24,-11.28
2022-08-25,-9.6
2022-08-26,-11.69
2022-08-29,-12.17
2022-08-30,-11.87
2022-08-31,-12.57
2022-09-01,-13.27
2022-09-02,-13.56
2022-09-06,-15.06
2022-09-07,-14.07
2022-09-08,-13.21
2022-09-09,-10.4
2022-09-12,-8.9
2022-09-13,-12.03
2022-09-14,-12.11
2022-09-15,-10.43
2022-09-16,-11.71
2022-09-19,-9.7
2022-09-20,-9.84
2022-09-21,-7.99
2022-09-22,-9.97
2022-09-23,-11.58
2022-09-26,-10.51
2022-09-27,-11.71
2022-09-28,-9.62
2022-09-29,-12.37
2022-09-30,-13.0
2022-10-03,-11.47
2022-10-04,-7.72
2022-10-05,-7.29
2022-10-06,-8.55
2022-10-07,-10.8
2022-10-10,-10.32
2022-10-11,-11.2
2022-10-12,-9.94
2022-10-13,-6.06
2022-10-14,-6.57
2022-10-17,-4.07
2022-10-18,-4.58
2022-10-19,-5.66
2022-10-20,-8.93
2022-10-21,-8.47
2022-10-24,-7.69
2022-10-25,-7.02
2022-10-26,-7.26
2022-10-27,-10.18
2022-10-28,-7.93
2022-10-31,-7.42
2022-11-01,-7.77
2022-11-02,-12.52
2022-11-03,-16.32
2022-11-04,-15.38
2022-11-07,-14.82
2022-11-08,-15.06
2022-11-09,-16.51
2022-11-10,-14.02
2022-11-11,-15.09
2022-11-14,-13.29
2022-11-15,-12.2
2022-11-16,-10.72
2022-11-17,-11.02
2022-11-18,-11.58
2022-11-21,-10.69
2022-11-22,-9.46
2022-11-23,-9.81
2022-11-25,-9.14
2022-11-28,-9.27
2022-11-29,-6.19
2022-11-30,-6.73
2022-12-01,-7.48
2022-12-02,-7.91
2022-12-05,-10.91
2022-12-06,-9.65
2022-12-07,-9.19
2022-12-08,-8.87
2022-12-09,-9.46
2022-12-12,-8.47
2022-12-13,-9.94
2022-12-14,-11.79
2022-12-15,-14.74
2022-12-16,-15.22
2022-12-19,-16.51
2022-12-20,-20.21
2022-12-21,-20.13
2022-12-22,-20.72
2022-12-23,-19.67
2022-12-27,-20.16
2022-12-28,-20.8
2022-12-29,-19.06
2022-12-30,-20.1
2023-01-03,-19.11
2023-01-04,-18.01
2023-01-05,-19.99
