date,pct_chg
2022-02-04,0.25
2022-02-07,0.5
2022-02-08,2.0
2022-02-09,2.74
2022-02-10,3.49
2022-02-11,2.99
2022-02-14,1.25
2022-02-15,5.99
2022-02-16,7.23
2022-02-17,3.74
2022-02-18,3.99
2022-02-22,2.0
2022-02-23,0.25
2022-02-24,2.24
2022-02-25,2.0
2022-02-28,2.0
2022-03-01,0.75
2022-03-02,2.74
2022-03-03,1.0
2022-03-04,0.75
2022-03-07,-5.99
2022-03-08,-5.24
2022-03-09,-4.24
2022-03-10,-6.48
2022-03-11,-19.08
2022-03-14,-25.69
2022-03-15,-24.69
2022-03-16,-13.22
2022-03-17,-14.71
2022-03-18,-19.45
2022-03-21,8.23
2022-03-22,1.75
2022-03-23,3.99
2022-03-24,4.24
2022-03-25,-1.5
2022-03-28,-0.0
2022-03-29,4.99
2022-03-30,3.74
2022-03-31,3.49
2022-04-01,3.74
2022-04-04,1.25
2022-04-05,-2.49
2022-04-06,-4.24
2022-04-07,-5.49
2022-04-08,-7.98
2022-04-11,-8.98
2022-04-12,-9.48
2022-04-13,-12.22
2022-04-14,-12.72
2022-04-18,-10.97
2022-04-19,-7.98
2022-04-20,-9.23
2022-04-21,-12.72
2022-04-22,-14.71
2022-04-25,-14.96
2022-04-26,-15.71
2022-04-27,-20.45
2022-04-28,-17.21
2022-04-29,-18.2
2022-05-02,-18.45
2022-05-03,-18.95
2022-05-04,-15.71
2022-05-05,-20.95
2022-05-06,-20.2
2022-05-09,-25.69
2022-05-10,-25.94
2022-05-11,-27.18
2022-05-12,-27.18
2022-05-13,-23.94
2022-05-16,-23.69
2022-05-17,-22.94
2022-05-18,-24.69
2022-05-19,-24.44
2022-05-20,-26.68
2022-05-23,-5.74
2022-05-24,-5.99
2022-05-25,-1.25
2022-05-26,2.24
2022-05-27,1.0
2022-05-31,3.24
2022-06-01,2.24
2022-06-02,0.25
2022-06-03,4.74
2022-06-06,2.24
2022-06-07,8.48
2022-06-08,8.48
2022-06-09,3.24
2022-06-10,1.75
2022-06-13,-3.24
2022-06-14,-2.49
2022-06-15,2.24
2022-06-16,-2.99
2022-06-17,-1.75
2022-06-21,-0.75
2022-06-22,-2.24
2022-06-23,-2.0
2022-06-24,-1.0
2022-06-27,-1.25
2022-06-28,-4.99
2022-06-29,-7.23
2022-06-30,-7.23
2022-07-01,-8.48
2022-07-05,-7.48
2022-07-06,-8.48
2022-07-07,-5.24
2022-07-08,-5.24
2022-07-11,-8.73
2022-07-12,-8.73
2022-07-13,-7.23
2022-07-14,-7.98
2022-07-15,-6.48
2022-07-18,-5.74
2022-07-19,-7.98
2022-07-20,-6.73
2022-07-21,-3.99
2022-07-22,-4.99
2022-07-25,-6.23
2022-07-26,-5.74
2022-07-27,-4.24
2022-07-28,-5.24
2022-07-29,-8.48
2022-08-01,-14.21
2022-08-02,-15.21
2022-08-03,-15.96
2022-08-04,-15.46
2022-08-05,-16.21
2022-08-08,-16.21
2022-08-09,-16.21
2022-08-10,-15.71
2022-08-11,-16.21
2022-08-12,-12.97
2022-08-15,-10.22
2022-08-16,-12.72
2022-08-17,-10.97
2022-08-18,-9.48
2022-08-19,-12.72
2022-08-22,-14.96
2022-08-23,-14.21
2022-08-24,-11.72
2022-08-25,-11.47
2022-08-26,-13.97
2022-08-29,-13.97
2022-08-30,-16.21
2022-08-31,-16.46
2022-09-01,-23.19
2022-09-02,-20.2
2022-09-06,-19.7
2022-09-07,-21.45
2022-09-08,-21.07
2022-09-09,-18.95
2022-09-12,-20.7
2022-09-13,-23.69
2022-09-14,-23.69
2022-09-15,-24.44
2022-09-16,-24.44
2022-09-19,-26.16
2022-09-20,-18.2
2022-09-21,-16.46
2022-09-22,-13.97
2022-09-23,-15.71
2022-09-26,-19.95
2022-09-27,-18.45
2022-09-28,-18.95
2022-09-29,-18.95
2022-09-30,5.49
2022-10-03,6.73
2022-10-04,8.98
2022-10-05,8.73
2022-10-06,8.48
2022-10-07,7.98
2022-10-10,5.74
2022-10-11,4.24
2022-10-12,5.49
2022-10-13,5.99
2022-10-14,5.74
2022-10-17,5.91
2022-10-18,7.98
2022-10-19,6.48
2022-10-20,6.98
2022-10-21,5.99
2022-10-24,6.11
2022-10-25,5.49
2022-10-26,5.74
2022-10-27,4.74
2022-10-28,4.49
2022-10-31,3.24
2022-11-01,4.99
2022-11-02,4.24
2022-11-03,4.74
2022-11-04,4.74
2022-11-07,4.74
2022-11-08,4.74
2022-11-09,5.24
2022-11-10,6.48
2022-11-11,7.23
2022-11-14,9.73
2022-11-15,9.23
2022-11-16,8.73
2022-11-17,10.22
2022-11-18,10.47
2022-11-21,9.48
2022-11-22,11.47
2022-11-23,10.22
2022-11-25,10.47
2022-11-28,9.98
2022-11-29,9.73
2022-11-30,8.98
2022-12-01,10.72
2022-12-02,10.47
2022-12-05,9.48
2022-12-06,9.23
2022-12-07,9.98
2022-12-08,9.73
2022-12-09,9.73
2022-12-12,10.22
2022-12-13,8.98
2022-12-14,9.73
2022-12-15,9.48
2022-12-16,11.72
2022-12-19,9.73
2022-12-20,10.97
2022-12-21,11.72
2022-12-22,12.22
2022-12-23,11.97
2022-12-27,11.47
2022-12-28,9.98
2022-12-29,10.97
2022-12-30,11.47
2023-01-03,10.72
2023-01-04,10.47
2023-01-05,11.22
2023-01-06,11.22
2023-01-09,10.97
2023-01-10,11.72
2023-01-11,11.72
2023-01-12,11.97
2023-01-13,11.97
2023-01-17,11.72
2023-01-18,11.97
2023-01-19,11.97
2023-01-20,12.22
2023-01-23,16.71
2023-01-24,17.96
2023-01-25,15.46
2023-01-26,16.71
2023-01-27,15.71
2023-01-30,16.71
2023-01-31,16.96
2023-02-01,16.46
2023-02-02,17.46
2023-02-03,16.71
