date,pct_chg
2022-01-28,0.0
2022-01-31,-8.55
2022-02-01,-14.23
2022-02-02,-14.23
2022-02-03,16.89
2022-02-04,28.61
2022-02-07,2.89
2022-02-08,34.32
2022-02-09,34.32
2022-02-10,34.32
2022-02-11,34.32
2022-02-14,51.27
2022-02-15,51.24
2022-02-16,28.58
2022-02-17,-5.72
2022-02-18,0.03
2022-02-22,0.03
2022-02-23,-21.13
2022-02-24,-28.55
2022-02-25,0.0
2022-02-28,0.0
2022-03-01,19.69
2022-03-02,-14.26
2022-03-03,-25.69
2022-03-04,-14.26
2022-03-07,-25.69
2022-03-08,-25.69
2022-03-09,-25.69
2022-03-10,-28.55
2022-03-11,-8.83
2022-03-14,-8.83
2022-03-15,-8.83
2022-03-16,-8.83
2022-03-17,2.89
2022-03-18,2.89
2022-03-21,2.89
2022-03-22,2.89
2022-03-23,2.89
2022-03-24,2.89
2022-03-25,2.89
2022-03-28,2.89
2022-03-29,2.89
2022-03-30,11.46
2022-03-31,11.43
2022-04-01,11.43
2022-04-04,-37.12
2022-04-05,-28.55
2022-04-06,-28.55
2022-04-07,-28.55
2022-04-08,-28.55
2022-04-11,-28.55
2022-04-12,-28.55
2022-04-13,-28.55
2022-04-14,7.17
2022-04-18,7.17
2022-04-19,7.17
2022-04-20,7.17
2022-04-21,0.03
2022-04-22,0.03
2022-04-25,0.03
2022-04-26,-14.26
2022-04-27,-14.32
2022-04-28,-14.32
2022-04-29,-14.32
2022-05-02,-37.12
2022-05-03,-21.41
2022-05-04,-42.84
2022-05-05,-28.84
2022-05-06,-28.84
2022-05-09,-36.98
2022-05-10,-2.86
2022-05-11,-27.41
2022-05-12,-34.27
2022-05-13,-34.27
2022-05-16,-34.27
2022-05-17,-51.39
2022-05-18,-22.95
2022-05-19,-22.92
2022-05-20,-22.92
2022-05-23,-25.69
2022-05-24,-25.69
2022-05-25,-27.69
2022-05-26,-28.87
2022-05-27,0.03
2022-05-31,-0.86
2022-06-01,-11.4
2022-06-02,-11.4
2022-06-03,-11.4
2022-06-06,-34.27
2022-06-07,-34.27
2022-06-08,-8.55
2022-06-09,-8.55
2022-06-10,-2.83
2022-06-13,72.85
2022-06-14,72.85
2022-06-15,71.48
2022-06-16,71.48
2022-06-17,71.48
2022-06-21,57.19
2022-06-22,57.19
2022-06-23,57.16
2022-06-24,57.16
2022-06-27,57.16
2022-06-28,62.9
2022-06-29,62.9
2022-06-30,62.9
2022-07-01,62.9
2022-07-05,62.9
2022-07-06,62.9
2022-07-07,62.9
2022-07-08,62.9
2022-07-11,62.9
2022-07-12,62.9
2022-07-13,85.77
2022-07-14,85.77
2022-07-15,57.19
2022-07-18,57.19
2022-07-19,57.19
2022-07-20,57.19
2022-07-21,57.19
2022-07-22,57.19
2022-07-25,57.19
2022-07-26,57.19
2022-07-27,57.19
2022-07-28,57.19
2022-07-29,57.19
2022-08-01,0.31
2022-08-02,0.31
2022-08-03,57.19
2022-08-04,57.19
2022-08-05,57.19
2022-08-08,67.19
2022-08-09,70.05
2022-08-10,57.19
2022-08-11,57.19
2022-08-12,57.19
2022-08-15,71.48
2022-08-16,71.48
2022-08-17,71.48
2022-08-18,55.76
2022-08-19,55.76
2022-08-22,55.76
2022-08-23,52.9
2022-08-24,52.9
2022-08-25,50.04
2022-08-26,52.9
2022-08-29,52.9
2022-08-30,68.62
2022-08-31,52.9
2022-09-01,52.9
2022-09-02,48.61
2022-09-06,48.61
2022-09-07,48.61
2022-09-08,45.76
2022-09-09,71.48
2022-09-12,51.47
2022-09-13,80.05
2022-09-14,60.05
2022-09-15,114.35
2022-09-16,114.35
2022-09-19,77.19
2022-09-20,100.06
2022-09-21,60.05
2022-09-22,60.05
2022-09-23,51.47
2022-09-26,45.76
2022-09-27,54.33
2022-09-28,54.33
2022-09-29,38.87
2022-09-30,48.61
2022-10-03,34.35
2022-10-04,54.33
2022-10-05,54.33
2022-10-06,67.91
2022-10-07,54.33
2022-10-10,54.33
2022-10-11,57.19
2022-10-12,50.04
2022-10-13,48.61
2022-10-14,51.47
2022-10-17,45.76
2022-10-18,52.93
2022-10-19,45.81
2022-10-20,45.78
2022-10-21,45.81
2022-10-24,51.47
2022-10-25,51.5
2022-10-26,37.18
2022-10-27,51.47
2022-10-28,40.04
2022-10-31,37.18
2022-11-01,25.75
2022-11-02,40.01
2022-11-03,17.18
2022-11-04,28.61
2022-11-07,25.75
2022-11-08,28.61
2022-11-09,25.75
