date,pct_chg
2022-02-04,-4.38
2022-02-07,1.3
2022-02-08,-1.46
2022-02-09,-2.43
2022-02-10,-2.76
2022-02-11,-3.0
2022-02-14,-10.86
2022-02-15,-10.37
2022-02-16,-9.4
2022-02-17,-11.35
2022-02-18,-14.1
2022-02-22,-12.48
2022-02-23,-13.29
2022-02-24,-20.75
2022-02-25,-16.69
2022-02-28,-19.29
2022-03-01,-18.96
2022-03-02,-18.8
2022-03-03,-22.69
2022-03-04,-18.64
2022-03-07,-25.45
2022-03-08,-25.28
2022-03-09,-21.23
2022-03-10,-11.02
2022-03-11,-14.1
2022-03-14,-16.37
2022-03-15,-16.37
2022-03-16,-14.26
2022-03-17,0.32
2022-03-18,9.24
2022-03-21,8.59
2022-03-22,13.45
2022-03-23,11.18
2022-03-24,10.37
2022-03-25,12.64
2022-03-28,8.59
2022-03-29,6.48
2022-03-30,7.94
2022-03-31,9.08
2022-04-01,15.88
2022-04-04,13.53
2022-04-05,10.86
2022-04-06,10.37
2022-04-07,5.35
2022-04-08,2.92
2022-04-11,-2.76
2022-04-12,-9.24
2022-04-13,-3.24
2022-04-14,-2.76
2022-04-18,-8.32
2022-04-19,-9.24
2022-04-20,-1.05
2022-04-21,6.24
2022-04-22,16.21
2022-04-25,13.45
2022-04-26,1.94
2022-04-27,-2.76
2022-04-28,2.27
2022-04-29,9.97
2022-05-02,11.22
2022-05-03,9.64
2022-05-04,8.59
2022-05-05,11.02
2022-05-06,2.11
2022-05-09,-7.94
2022-05-10,-0.16
2022-05-11,-1.13
2022-05-12,-0.49
2022-05-13,6.48
2022-05-16,9.24
2022-05-17,3.73
2022-05-18,-4.21
2022-05-19,0.16
2022-05-20,-1.13
2022-05-23,3.4
2022-05-24,1.88
2022-05-25,2.11
2022-05-26,1.3
2022-05-27,-4.54
2022-05-31,-0.57
2022-06-01,-0.32
2022-06-02,-4.05
2022-06-03,-6.0
2022-06-06,-5.83
2022-06-07,-14.1
2022-06-08,-15.72
2022-06-09,-6.16
2022-06-10,-1.13
2022-06-13,0.57
2022-06-14,-4.38
2022-06-15,-2.11
2022-06-16,-3.08
2022-06-17,10.53
2022-06-21,7.78
2022-06-22,5.35
2022-06-23,3.57
2022-06-24,8.43
2022-06-27,-3.4
2022-06-28,-3.57
2022-06-29,-9.24
2022-06-30,-10.86
2022-07-01,-3.57
2022-07-05,-2.43
2022-07-06,-4.13
2022-07-07,-1.13
2022-07-08,-1.13
2022-07-11,-1.94
2022-07-12,-4.62
2022-07-13,-7.29
2022-07-14,-7.62
2022-07-15,-11.67
2022-07-18,0.97
2022-07-19,2.11
2022-07-20,1.3
2022-07-21,9.4
2022-07-22,8.91
2022-07-25,11.83
2022-07-26,14.59
2022-07-27,16.94
2022-07-28,20.26
2022-07-29,24.8
2022-08-01,19.92
2022-08-02,17.53
2022-08-03,29.5
2022-08-04,34.52
2022-08-05,34.04
2022-08-08,35.82
2022-08-09,34.52
2022-08-10,34.52
2022-08-11,39.38
2022-08-12,39.22
2022-08-15,28.04
2022-08-16,20.26
2022-08-17,20.26
2022-08-18,22.37
2022-08-19,17.5
2022-08-22,15.88
2022-08-23,6.16
2022-08-24,7.13
2022-08-25,2.11
2022-08-26,1.3
2022-08-29,6.48
2022-08-30,11.26
2022-08-31,8.02
2022-09-01,1.78
2022-09-02,0.6
2022-09-06,-1.13
2022-09-07,-0.32
2022-09-08,0.24
2022-09-09,2.76
2022-09-12,0.65
2022-09-13,-1.94
2022-09-14,-4.05
2022-09-15,3.57
2022-09-16,5.35
2022-09-19,2.59
2022-09-20,0.81
2022-09-21,-1.61
2022-09-22,-2.43
2022-09-23,-3.81
2022-09-26,-2.19
2022-09-27,-4.21
2022-09-28,-2.43
2022-09-29,-0.9
2022-09-30,-3.24
2022-10-03,-3.08
2022-10-04,-2.76
2022-10-05,-1.13
2022-10-06,-2.76
2022-10-07,-1.46
2022-10-10,-3.89
2022-10-11,-2.76
2022-10-12,-0.32
2022-10-13,-1.54
2022-10-14,-2.76
2022-10-17,-2.11
2022-10-18,-2.59
2022-10-19,-2.59
2022-10-20,-3.4
2022-10-21,-3.06
2022-10-24,-3.89
2022-10-25,-3.58
2022-10-26,-3.89
2022-10-27,0.16
2022-10-28,-2.92
2022-10-31,-3.08
2022-11-01,-2.59
2022-11-02,-3.08
2022-11-03,-5.67
2022-11-04,-4.21
2022-11-07,-3.89
2022-11-08,-4.82
2022-11-09,-5.19
2022-11-10,0.08
2022-11-11,1.46
2022-11-14,2.02
2022-11-15,-5.51
2022-11-16,-6.65
2022-11-17,-4.05
2022-11-18,-11.02
2022-11-21,-14.91
2022-11-22,-18.15
2022-11-23,-17.83
2022-11-25,-17.34
2022-11-28,-18.96
2022-11-29,-19.77
2022-11-30,-14.1
2022-12-01,-11.18
2022-12-02,-16.21
2022-12-05,-20.58
