date,pct_chg
2022-02-04,-0.76
2022-02-07,9.92
2022-02-08,9.01
2022-02-09,6.87
2022-02-10,3.21
2022-02-11,13.89
2022-02-14,16.03
2022-02-15,14.2
2022-02-16,18.17
2022-02-17,21.22
2022-02-18,20.31
2022-02-22,14.2
2022-02-23,20.31
2022-02-24,15.73
2022-02-25,18.17
2022-02-28,20.61
2022-03-01,28.24
2022-03-02,30.08
2022-03-03,31.15
2022-03-04,38.63
2022-03-07,38.32
2022-03-08,40.76
2022-03-09,41.98
2022-03-10,49.62
2022-03-11,43.82
2022-03-14,30.99
2022-03-15,30.69
2022-03-16,32.52
2022-03-17,41.37
2022-03-18,47.18
2022-03-21,45.34
2022-03-22,45.34
2022-03-23,46.26
2022-03-24,46.56
2022-03-25,48.7
2022-03-28,44.73
2022-03-29,49.01
2022-03-30,51.45
2022-03-31,46.26
2022-04-01,52.67
2022-04-04,52.06
2022-04-05,50.84
2022-04-06,50.84
2022-04-07,46.56
2022-04-08,51.15
2022-04-11,48.4
2022-04-12,49.92
2022-04-13,53.28
2022-04-14,57.25
2022-04-18,51.45
2022-04-19,49.31
2022-04-20,47.48
2022-04-21,42.29
2022-04-22,34.66
2022-04-25,27.94
2022-04-26,23.05
2022-04-27,23.66
2022-04-28,27.94
2022-04-29,29.77
2022-05-02,25.5
2022-05-03,30.38
2022-05-04,38.17
2022-05-05,35.27
2022-05-06,32.82
2022-05-09,22.14
2022-05-10,13.28
2022-05-11,22.75
2022-05-12,16.95
2022-05-13,18.78
2022-05-16,20.92
2022-05-17,25.5
2022-05-18,24.89
2022-05-19,28.24
2022-05-20,28.55
2022-05-23,25.5
2022-05-24,23.82
2022-05-25,23.05
2022-05-26,23.97
2022-05-27,22.14
2022-05-31,15.88
2022-06-01,16.95
2022-06-02,30.99
2022-06-03,33.74
2022-06-06,26.11
2022-06-07,26.41
2022-06-08,26.11
2022-06-09,23.36
2022-06-10,30.99
2022-06-13,8.4
2022-06-14,3.66
2022-06-15,7.48
2022-06-16,8.7
2022-06-17,3.51
2022-06-21,1.83
2022-06-22,-2.75
2022-06-23,-8.09
2022-06-24,-4.12
2022-06-27,-5.65
2022-06-28,-10.84
2022-06-29,-12.37
2022-06-30,-16.03
2022-07-01,-13.59
2022-07-05,-19.39
2022-07-06,-20.31
2022-07-07,-19.08
2022-07-08,-19.11
2022-07-11,-22.14
2022-07-12,-20.31
2022-07-13,-19.08
2022-07-14,-25.19
2022-07-15,-26.72
2022-07-18,-24.89
2022-07-19,-22.6
2022-07-20,-23.66
2022-07-21,-18.93
2022-07-22,-19.39
2022-07-25,-20.92
2022-07-26,-17.86
2022-07-27,-12.37
2022-07-28,-7.02
2022-07-29,-8.09
2022-08-01,-12.52
2022-08-02,-10.23
2022-08-03,-9.62
2022-08-04,-0.76
2022-08-05,-1.37
2022-08-08,3.82
2022-08-09,5.04
2022-08-10,4.12
2022-08-11,4.12
2022-08-12,11.76
2022-08-15,9.92
2022-08-16,10.53
2022-08-17,5.34
2022-08-18,3.21
2022-08-19,-0.04
2022-08-22,2.29
2022-08-23,7.18
2022-08-24,7.79
2022-08-25,2.9
2022-08-26,4.73
2022-08-29,5.95
2022-08-30,2.6
2022-08-31,2.29
2022-09-01,-3.51
2022-09-02,3.51
2022-09-06,-3.21
2022-09-07,0.76
2022-09-08,-0.46
2022-09-09,-1.07
2022-09-12,4.43
2022-09-13,-4.43
2022-09-14,-3.21
2022-09-15,-6.26
2022-09-16,-4.96
2022-09-19,-3.66
2022-09-20,-6.26
2022-09-21,-5.95
2022-09-22,-7.79
2022-09-23,-7.48
2022-09-26,-13.28
2022-09-27,-13.28
2022-09-28,-5.34
2022-09-29,-4.43
2022-09-30,-0.46
2022-10-03,6.26
2022-10-04,11.45
2022-10-05,11.15
2022-10-06,12.67
2022-10-07,6.26
2022-10-10,1.37
2022-10-11,1.98
2022-10-12,6.56
2022-10-13,6.87
2022-10-14,0.15
2022-10-17,3.51
2022-10-18,1.68
2022-10-19,-2.6
2022-10-20,-3.21
2022-10-21,0.76
2022-10-24,-1.07
2022-10-25,0.76
2022-10-26,3.21
2022-10-27,-0.76
2022-10-28,-3.21
2022-10-31,-4.12
2022-11-01,-1.98
2022-11-02,-6.56
2022-11-03,-7.18
2022-11-04,2.29
2022-11-07,4.43
2022-11-08,10.53
2022-11-09,5.04
2022-11-10,13.28
2022-11-11,11.15
2022-11-14,10.23
2022-11-15,6.56
2022-11-16,3.51
2022-11-17,4.43
2022-11-18,4.43
2022-11-21,6.87
2022-11-22,12.67
2022-11-23,22.14
2022-11-25,17.71
2022-11-28,8.4
2022-11-29,6.56
2022-11-30,12.98
2022-12-01,20.31
2022-12-02,18.78
2022-12-05,13.28
2022-12-06,10.23
2022-12-07,13.28
2022-12-08,11.6
2022-12-09,12.67
2022-12-12,13.28
2022-12-13,15.11
2022-12-14,17.71
2022-12-15,15.11
2022-12-16,16.34
2022-12-19,11.91
2022-12-20,20.92
2022-12-21,23.97
