date,pct_chg
2022-02-04,-0.71
2022-02-07,-0.2
2022-02-08,-0.59
2022-02-09,-0.65
2022-02-10,-0.24
2022-02-11,-0.95
2022-02-14,-0.95
2022-02-15,-0.87
2022-02-16,-0.93
2022-02-17,-0.99
2022-02-18,-0.71
2022-02-22,-0.63
2022-02-23,-1.19
2022-02-24,-1.1
2022-02-25,-0.79
2022-02-28,-0.2
2022-03-01,-0.96
2022-03-02,0.12
2022-03-03,-0.87
2022-03-04,-0.2
2022-03-07,-1.19
2022-03-08,-0.91
2022-03-09,-1.5
2022-03-10,-2.08
2022-03-11,-2.29
2022-03-14,-2.41
2022-03-15,-2.45
2022-03-16,-2.02
2022-03-17,-1.38
2022-03-18,-2.17
2022-03-21,-1.31
2022-03-22,-1.44
2022-03-23,-2.37
2022-03-24,-2.37
2022-03-25,-2.98
2022-03-28,-2.62
2022-03-29,-2.37
2022-03-30,-2.23
2022-03-31,-1.82
2022-04-01,-2.33
2022-04-04,-2.21
2022-04-05,-2.17
2022-04-06,-1.82
2022-04-07,-2.17
2022-04-08,-1.7
2022-04-11,-1.9
2022-04-12,-1.19
2022-04-13,-1.42
2022-04-14,-2.08
2022-04-18,-1.98
2022-04-19,-1.58
2022-04-20,-1.58
2022-04-21,-1.78
2022-04-22,-1.86
2022-04-25,-1.98
2022-04-26,-2.91
2022-04-27,-1.86
2022-04-28,-2.57
2022-04-29,-2.17
2022-05-02,-3.68
2022-05-03,-2.37
2022-05-04,-2.61
2022-05-05,-2.81
2022-05-06,-3.56
2022-05-09,-3.0
2022-05-10,-2.96
2022-05-11,-2.85
2022-05-12,-4.15
2022-05-13,-3.99
2022-05-16,-3.29
2022-05-17,-4.23
2022-05-18,-4.27
2022-05-19,-4.55
2022-05-20,-4.39
2022-05-23,-4.35
2022-05-24,-3.72
2022-05-25,-3.5
2022-05-26,-3.56
2022-05-27,-3.36
2022-05-31,-3.56
2022-06-01,-2.47
2022-06-02,-2.45
2022-06-03,-2.67
2022-06-06,-2.45
2022-06-07,-2.17
2022-06-08,-3.22
2022-06-09,-4.94
2022-06-10,-4.19
2022-06-13,-5.14
2022-06-14,-5.73
2022-06-15,-6.05
2022-06-16,-7.51
2022-06-17,-6.84
2022-06-21,-7.04
2022-06-22,-7.98
2022-06-23,-7.47
2022-06-24,-7.04
2022-06-27,-5.38
2022-06-28,-5.64
2022-06-29,-5.61
2022-06-30,-5.42
2022-07-01,-5.57
2022-07-05,-6.34
2022-07-06,-5.93
2022-07-07,-6.32
2022-07-08,-5.54
2022-07-11,-5.73
2022-07-12,-5.46
2022-07-13,-5.73
2022-07-14,-5.14
2022-07-15,-6.32
2022-07-18,-6.74
2022-07-19,-7.39
2022-07-20,-6.72
2022-07-21,-7.11
2022-07-22,-6.72
2022-07-25,-6.13
2022-07-26,-6.4
2022-07-27,-6.17
2022-07-28,-5.49
2022-07-29,-5.49
2022-08-01,-5.53
2022-08-02,-5.34
2022-08-03,-5.22
2022-08-04,-5.14
2022-08-05,-5.06
2022-08-08,-4.43
2022-08-09,-3.99
2022-08-10,-4.51
2022-08-11,-4.42
2022-08-12,-3.95
2022-08-15,-3.54
2022-08-16,-3.56
2022-08-17,-3.66
2022-08-18,-3.98
2022-08-19,-4.15
2022-08-22,-5.06
2022-08-23,-4.35
2022-08-24,-5.06
2022-08-25,-5.14
2022-08-26,-5.1
2022-08-29,-5.14
2022-08-30,-4.58
2022-08-31,-4.35
2022-09-01,-5.3
2022-09-02,-4.45
2022-09-06,-5.14
2022-09-07,-4.23
2022-09-08,-4.58
2022-09-09,-5.14
2022-09-12,-5.14
2022-09-13,-4.94
2022-09-14,-5.14
2022-09-15,-4.55
2022-09-16,-5.73
2022-09-19,-6.13
2022-09-20,-6.17
2022-09-21,-5.77
2022-09-22,-7.71
2022-09-23,-8.4
2022-09-26,-8.48
2022-09-27,-7.31
2022-09-28,-6.17
2022-09-29,-7.11
2022-09-30,-9.05
2022-10-03,-8.79
2022-10-04,-9.01
2022-10-05,-9.13
2022-10-06,-11.01
2022-10-07,-11.94
2022-10-10,-12.33
2022-10-11,-11.11
2022-10-12,-11.26
2022-10-13,-12.06
2022-10-14,-12.45
2022-10-17,-11.91
2022-10-18,-11.86
2022-10-19,-13.04
2022-10-20,-14.07
2022-10-21,-13.99
2022-10-24,-13.87
2022-10-25,-14.23
2022-10-26,-13.72
2022-10-27,-15.38
2022-10-28,-12.25
2022-10-31,-10.87
2022-11-01,-12.06
2022-11-02,-11.78
2022-11-03,-11.98
2022-11-04,-11.49
2022-11-07,-9.37
2022-11-08,-10.64
2022-11-09,-10.55
2022-11-10,-9.25
2022-11-11,-8.7
2022-11-14,-10.2
2022-11-15,-11.07
2022-11-16,-9.98
2022-11-17,-9.58
2022-11-18,-9.45
2022-11-21,-10.77
2022-11-22,-9.49
2022-11-23,-10.04
2022-11-25,-9.29
2022-11-28,-10.01
2022-11-29,-10.08
2022-11-30,-9.96
2022-12-01,-9.63
2022-12-02,-10.59
2022-12-05,-11.82
2022-12-06,-9.96
2022-12-07,-11.74
2022-12-08,-11.86
2022-12-09,-11.58
2022-12-12,-11.58
2022-12-13,-10.95
2022-12-14,-10.95
2022-12-15,-8.81
2022-12-16,-10.79
2022-12-19,-11.26
2022-12-20,-11.7
2022-12-21,-11.43
2022-12-22,-12.65
2022-12-23,-12.25
2022-12-27,-11.74
2022-12-28,-12.49
2022-12-29,-11.61
2022-12-30,-10.36
2023-01-03,-11.11
2023-01-04,-11.03
2023-01-05,-11.5
2023-01-06,-11.62
2023-01-09,-10.97
2023-01-10,-10.95
2023-01-11,-10.47
2023-01-12,-10.28
2023-01-13,-10.73
2023-01-17,-10.37
2023-01-18,-8.3
2023-01-19,-9.68
2023-01-20,-9.7
2023-01-23,-9.09
2023-01-24,-10.12
2023-01-25,-8.5
2023-01-26,-9.49
2023-01-27,-8.99
2023-01-30,-8.7
2023-01-31,-9.49
2023-02-01,-8.7
2023-02-02,-8.87
2023-02-03,-8.7
