date,pct_chg
2022-02-04,0.41
2022-02-07,0.46
2022-02-08,4.22
2022-02-09,5.8
2022-02-10,6.25
2022-02-11,5.22
2022-02-14,5.28
2022-02-15,8.51
2022-02-16,10.53
2022-02-17,9.88
2022-02-18,11.52
2022-02-22,9.71
2022-02-23,3.86
2022-02-24,1.4
2022-02-25,3.49
2022-02-28,5.27
2022-03-01,2.46
2022-03-02,1.97
2022-03-03,-1.99
2022-03-04,-3.95
2022-03-07,-10.68
2022-03-08,-13.36
2022-03-09,-7.45
2022-03-10,-8.06
2022-03-11,-9.19
2022-03-14,-7.53
2022-03-15,-4.1
2022-03-16,-2.78
2022-03-17,-2.88
2022-03-18,1.86
2022-03-21,2.96
2022-03-22,5.65
2022-03-23,5.81
2022-03-24,10.11
2022-03-25,9.42
2022-03-28,8.41
2022-03-29,11.61
2022-03-30,13.33
2022-03-31,16.03
2022-04-01,17.88
2022-04-04,18.2
2022-04-05,16.9
2022-04-06,13.69
2022-04-07,12.05
2022-04-08,9.2
2022-04-11,8.06
2022-04-12,9.57
2022-04-13,10.82
2022-04-14,9.23
2022-04-18,6.59
2022-04-19,8.69
2022-04-20,6.49
2022-04-21,4.94
2022-04-22,4.39
2022-04-25,3.55
2022-04-26,7.15
2022-04-27,10.16
2022-04-28,14.29
2022-04-29,10.67
2022-05-02,9.83
2022-05-03,6.67
2022-05-04,8.05
2022-05-05,5.66
2022-05-06,3.76
2022-05-09,-1.68
2022-05-10,-1.6
2022-05-11,-3.85
2022-05-12,-2.81
2022-05-13,0.3
2022-05-16,3.36
2022-05-17,9.73
2022-05-18,2.66
2022-05-19,4.67
2022-05-20,5.48
2022-05-23,6.17
2022-05-24,5.38
2022-05-25,3.71
2022-05-26,4.13
2022-05-27,6.44
2022-05-31,8.22
2022-06-01,4.21
2022-06-02,6.04
2022-06-03,5.68
2022-06-06,3.83
2022-06-07,5.53
2022-06-08,6.86
2022-06-09,4.02
2022-06-10,1.7
2022-06-13,-1.5
2022-06-14,-0.23
2022-06-15,2.68
2022-06-16,-3.02
2022-06-17,-1.17
2022-06-21,2.41
2022-06-22,-0.68
2022-06-23,0.08
2022-06-24,5.24
2022-06-27,5.23
2022-06-28,4.63
2022-06-29,3.62
2022-06-30,0.45
2022-07-01,-0.53
2022-07-05,-0.8
2022-07-06,2.17
2022-07-07,1.09
2022-07-08,2.86
2022-07-11,0.84
2022-07-12,-0.25
2022-07-13,-0.4
2022-07-14,-1.84
2022-07-15,0.44
2022-07-18,2.0
2022-07-19,1.7
2022-07-20,0.37
2022-07-21,-1.37
2022-07-22,-0.32
2022-07-25,-0.45
2022-07-26,-4.64
2022-07-27,-3.62
2022-07-28,-1.36
2022-07-29,-2.82
2022-08-01,-4.38
2022-08-02,-5.66
2022-08-03,-1.82
2022-08-04,1.23
2022-08-05,0.41
2022-08-08,3.01
2022-08-09,2.48
2022-08-10,5.21
2022-08-11,7.03
2022-08-12,8.8
2022-08-15,8.97
2022-08-16,9.4
2022-08-17,9.72
2022-08-18,9.92
2022-08-19,7.78
2022-08-22,3.72
2022-08-23,5.87
2022-08-24,6.12
2022-08-25,9.2
2022-08-26,9.33
2022-08-29,5.32
2022-08-30,3.43
2022-08-31,2.6
2022-09-01,2.24
2022-09-02,4.26
2022-09-06,3.34
2022-09-07,4.38
2022-09-08,4.94
2022-09-09,5.31
2022-09-12,7.35
2022-09-13,4.21
2022-09-14,4.4
2022-09-15,3.3
2022-09-16,3.61
2022-09-19,4.86
2022-09-20,4.5
2022-09-21,3.04
2022-09-22,0.02
2022-09-23,-4.3
2022-09-26,-8.34
2022-09-27,-4.61
2022-09-28,-2.62
2022-09-29,-7.25
