date,pct_chg
2022-02-04,1.81
2022-02-07,4.17
2022-02-08,5.81
2022-02-09,5.99
2022-02-10,4.9
2022-02-11,4.54
2022-02-14,0.91
2022-02-15,1.81
2022-02-16,2.18
2022-02-17,0.36
2022-02-18,0.54
2022-02-22,-2.9
2022-02-23,-6.35
2022-02-24,-5.99
2022-02-25,-0.91
2022-02-28,3.27
2022-03-01,-0.18
2022-03-02,1.81
2022-03-03,6.72
2022-03-04,8.71
2022-03-07,6.72
2022-03-08,1.81
2022-03-09,9.8
2022-03-10,10.53
2022-03-11,10.89
2022-03-14,10.34
2022-03-15,16.33
2022-03-16,20.69
2022-03-17,18.69
2022-03-18,11.98
2022-03-21,14.34
2022-03-22,16.15
2022-03-23,15.61
2022-03-24,16.88
2022-03-25,16.33
2022-03-28,16.88
2022-03-29,16.52
2022-03-30,18.51
2022-03-31,21.6
2022-04-01,19.06
2022-04-04,15.79
2022-04-05,15.25
2022-04-06,21.05
2022-04-07,17.97
2022-04-08,16.15
2022-04-11,15.97
2022-04-12,18.33
2022-04-13,17.79
2022-04-14,17.06
2022-04-18,18.15
2022-04-19,18.15
2022-04-20,19.33
2022-04-21,18.51
2022-04-22,16.88
2022-04-25,17.24
2022-04-26,18.15
2022-04-27,18.51
2022-04-28,17.97
2022-04-29,16.88
2022-05-02,14.34
2022-05-03,9.07
2022-05-04,15.25
2022-05-05,13.25
2022-05-06,9.07
2022-05-09,6.53
2022-05-10,4.9
2022-05-11,3.63
2022-05-12,-1.81
2022-05-13,2.72
2022-05-16,-0.18
2022-05-17,0.36
2022-05-18,-1.09
2022-05-19,0.73
2022-05-20,-3.45
2022-05-23,-1.81
2022-05-24,-7.44
2022-05-25,-6.17
2022-05-26,-6.9
2022-05-27,-4.9
2022-05-31,0.91
2022-06-01,1.27
2022-06-02,2.9
2022-06-03,2.36
2022-06-06,4.9
2022-06-07,1.63
2022-06-08,7.26
2022-06-09,4.9
2022-06-10,-0.91
2022-06-13,-4.54
2022-06-14,-3.99
2022-06-15,-0.91
2022-06-16,-6.17
2022-06-17,-5.81
