date,pct_chg
2022-02-04,1.36
2022-02-07,0.9
2022-02-08,-0.45
2022-02-09,4.07
2022-02-10,-0.9
2022-02-11,-2.71
2022-02-14,-5.88
2022-02-15,-0.0
2022-02-16,-2.26
2022-02-17,-7.24
2022-02-18,-7.69
2022-02-22,-8.14
2022-02-23,-9.05
2022-02-24,-0.45
2022-02-25,-0.0
2022-02-28,1.81
2022-03-01,-2.26
2022-03-02,0.45
2022-03-03,-7.24
2022-03-04,-8.6
2022-03-07,-8.6
2022-03-08,-2.71
2022-03-09,4.98
2022-03-10,-1.36
2022-03-11,-6.79
2022-03-14,-13.57
2022-03-15,-12.22
2022-03-16,-6.79
2022-03-17,-2.71
2022-03-18,-0.45
2022-03-21,-4.98
2022-03-22,-0.9
2022-03-23,-4.52
2022-03-24,-3.17
2022-03-25,-6.79
2022-03-28,-7.69
2022-03-29,-3.17
2022-03-30,-4.52
2022-03-31,-4.52
2022-04-01,2.71
2022-04-04,14.48
2022-04-05,8.6
2022-04-06,7.24
2022-04-07,3.62
2022-04-08,-3.62
2022-04-11,-7.69
2022-04-12,-13.12
2022-04-13,-12.67
2022-04-14,-19.46
2022-04-18,-25.79
2022-04-19,-26.24
2022-04-20,-28.05
2022-04-21,-33.03
2022-04-22,-27.6
2022-04-25,-28.05
2022-04-26,-34.39
2022-04-27,-37.56
2022-04-28,-36.65
2022-04-29,-39.82
2022-05-02,-36.65
2022-05-03,-37.56
2022-05-04,-36.2
2022-05-05,-41.18
2022-05-06,-43.44
2022-05-09,-47.96
2022-05-10,-41.63
2022-05-11,-46.15
2022-05-12,-43.44
2022-05-13,-38.91
2022-05-16,-42.08
2022-05-17,-42.08
2022-05-18,-43.44
2022-05-19,-43.44
2022-05-20,-43.89
2022-05-23,-43.44
2022-05-24,-43.44
2022-05-25,-43.89
2022-05-26,-39.82
2022-05-27,-37.56
2022-05-31,-39.37
2022-06-01,-44.8
2022-06-02,-45.25
2022-06-03,-43.44
2022-06-06,-38.91
2022-06-07,-30.77
2022-06-08,-30.32
2022-06-09,-32.58
2022-06-10,-39.37
2022-06-13,-44.8
2022-06-14,-44.8
2022-06-15,-41.18
2022-06-16,-44.34
2022-06-17,-38.91
2022-06-21,-41.18
2022-06-22,-41.63
2022-06-23,-36.65
2022-06-24,-36.65
2022-06-27,-37.1
2022-06-28,-34.84
2022-06-29,-38.46
2022-06-30,-39.37
2022-07-01,-36.2
2022-07-05,-26.7
2022-07-06,-33.94
2022-07-07,-29.86
2022-07-08,-26.7
2022-07-11,-29.86
2022-07-12,-27.6
2022-07-13,-19.0
2022-07-14,-23.53
2022-07-15,-23.53
2022-07-18,-23.08
2022-07-19,-20.81
2022-07-20,-13.57
2022-07-21,-13.57
2022-07-22,-17.19
2022-07-25,-17.65
2022-07-26,-18.55
2022-07-27,-25.79
2022-07-28,-27.15
2022-07-29,-28.96
2022-08-01,-30.32
2022-08-02,-23.98
2022-08-03,-19.0
2022-08-04,-4.07
2022-08-05,-6.33
2022-08-08,-7.24
2022-08-09,4.52
2022-08-10,9.5
2022-08-11,4.98
2022-08-12,7.24
2022-08-15,18.55
2022-08-16,9.05
2022-08-17,3.17
2022-08-18,2.26
2022-08-19,-3.17
2022-08-22,-7.24
2022-08-23,-4.07
2022-08-24,-0.9
2022-08-25,12.67
2022-08-26,11.76
2022-08-29,9.05
2022-08-30,1.36
2022-08-31,0.0
2022-09-01,3.62
2022-09-02,7.69
2022-09-06,3.17
2022-09-07,4.07
2022-09-08,11.31
2022-09-09,25.34
2022-09-12,26.24
2022-09-13,22.62
2022-09-14,24.89
2022-09-15,23.53
2022-09-16,23.08
2022-09-19,19.46
2022-09-20,21.27
2022-09-21,4.52
2022-09-22,6.79
2022-09-23,-1.36
2022-09-26,-5.88
2022-09-27,-4.98
2022-09-28,-2.26
2022-09-29,-7.24
2022-09-30,-4.07
2022-10-03,-8.6
2022-10-04,0.45
2022-10-05,2.26
2022-10-06,-6.79
2022-10-07,-20.36
2022-10-10,-18.55
2022-10-11,-16.74
2022-10-12,-18.1
2022-10-13,-18.1
2022-10-14,-22.17
2022-10-17,-15.84
2022-10-18,-15.84
2022-10-19,-23.08
2022-10-20,-22.17
2022-10-21,-22.17
2022-10-24,-22.62
2022-10-25,-21.27
2022-10-26,-24.89
2022-10-27,-28.96
2022-10-28,-27.15
2022-10-31,-26.7
2022-11-01,-23.53
