date,pct_chg
2022-02-04,1.78
2022-02-07,6.16
2022-02-08,8.62
2022-02-09,14.89
2022-02-10,13.79
2022-02-11,9.31
2022-02-14,7.08
2022-02-15,9.69
2022-02-16,6.13
2022-02-17,-1.27
2022-02-18,-5.78
2022-02-22,-5.44
2022-02-23,-9.72
2022-02-24,-2.91
2022-02-25,0.1
2022-02-28,5.37
2022-03-01,4.21
2022-03-02,3.46
2022-03-03,0.27
2022-03-04,-2.22
2022-03-07,-6.02
2022-03-08,-5.0
2022-03-09,4.69
2022-03-10,0.58
2022-03-11,-9.55
2022-03-14,-19.58
2022-03-15,-17.45
2022-03-16,-12.63
2022-03-17,-3.39
2022-03-18,-1.16
2022-03-21,-3.83
2022-03-22,-0.48
2022-03-23,-3.35
2022-03-24,-1.37
2022-03-25,-4.93
2022-03-28,-2.7
2022-03-29,2.43
2022-03-30,0.55
2022-03-31,-9.79
2022-04-01,2.74
2022-04-04,3.73
2022-04-05,-0.72
2022-04-06,-1.71
2022-04-07,-0.79
2022-04-08,-4.96
2022-04-11,-5.0
2022-04-12,-3.29
2022-04-13,-1.68
2022-04-14,-5.44
2022-04-18,-9.31
2022-04-19,-6.43
2022-04-20,-7.19
2022-04-21,-9.51
2022-04-22,-12.63
2022-04-25,-6.3
2022-04-26,-9.51
2022-04-27,-16.15
2022-04-28,-18.14
2022-04-29,-21.7
2022-05-02,-18.24
2022-05-03,-21.59
2022-05-04,-24.13
2022-05-05,-34.91
2022-05-06,-34.39
2022-05-09,-43.39
2022-05-10,-46.78
2022-05-11,-53.05
2022-05-12,-49.76
2022-05-13,-44.08
2022-05-16,-45.86
2022-05-17,-45.31
2022-05-18,-46.1
2022-05-19,-42.13
2022-05-20,-42.03
2022-05-23,-41.65
2022-05-24,-42.33
2022-05-25,-40.35
2022-05-26,-38.19
2022-05-27,-36.38
2022-05-31,-37.92
2022-06-01,-37.85
2022-06-02,-34.98
2022-06-03,-30.46
2022-06-06,-29.12
2022-06-07,-27.0
2022-06-08,-27.72
2022-06-09,-33.13
2022-06-10,-32.92
2022-06-13,-39.46
2022-06-14,-41.0
2022-06-15,-36.89
2022-06-16,-39.36
2022-06-17,-30.87
2022-06-21,-28.06
2022-06-22,-19.37
2022-06-23,-14.65
2022-06-24,-9.41
2022-06-27,-11.12
2022-06-28,-13.42
2022-06-29,-14.1
2022-06-30,-14.41
2022-07-01,-12.9
2022-07-05,-11.29
2022-07-06,-12.46
2022-07-07,-7.63
2022-07-08,-9.48
2022-07-11,-17.11
2022-07-12,-17.52
2022-07-13,-21.25
2022-07-14,-23.51
2022-07-15,-21.8
2022-07-18,-24.98
2022-07-19,-23.48
2022-07-20,-19.44
2022-07-21,-13.76
2022-07-22,-15.37
2022-07-25,-15.23
