date,pct_chg
2022-02-04,-0.71
2022-02-07,-0.19
2022-02-08,1.48
2022-02-09,3.59
2022-02-10,0.43
2022-02-11,-0.93
2022-02-14,-0.69
2022-02-15,1.32
2022-02-16,1.77
2022-02-17,1.81
2022-02-18,0.44
2022-02-22,-0.88
2022-02-23,-1.48
2022-02-24,-0.09
2022-02-25,2.79
2022-02-28,0.6
2022-03-01,-4.68
2022-03-02,-3.64
2022-03-03,-5.94
2022-03-04,-7.91
2022-03-07,-12.0
2022-03-08,-13.19
2022-03-09,-9.02
2022-03-10,-8.78
2022-03-11,-6.12
2022-03-14,-3.58
2022-03-15,-3.83
2022-03-16,-1.4
2022-03-17,-2.35
2022-03-18,2.96
2022-03-21,-1.13
2022-03-22,1.17
2022-03-23,-0.9
2022-03-24,0.63
2022-03-25,-0.69
2022-03-28,1.75
2022-03-29,4.19
2022-03-30,2.1
2022-03-31,-0.5
2022-04-01,0.69
2022-04-04,0.91
2022-04-05,-0.6
2022-04-06,-2.03
2022-04-07,-0.69
2022-04-08,-1.23
2022-04-11,-2.52
2022-04-12,-3.01
2022-04-13,-1.59
2022-04-14,-1.58
2022-04-18,-0.98
2022-04-19,2.76
2022-04-20,4.32
2022-04-21,3.66
2022-04-22,2.52
2022-04-25,2.99
2022-04-26,6.94
2022-04-27,7.09
2022-04-28,7.55
2022-04-29,4.02
2022-05-02,6.34
2022-05-03,4.71
2022-05-04,5.97
2022-05-05,4.81
2022-05-06,5.26
2022-05-09,5.47
2022-05-10,6.49
2022-05-11,7.58
2022-05-12,10.32
2022-05-13,11.77
2022-05-16,13.0
2022-05-17,16.2
2022-05-18,12.99
2022-05-19,14.11
2022-05-20,15.35
2022-05-23,15.23
2022-05-24,15.75
2022-05-25,15.78
2022-05-26,17.32
2022-05-27,19.45
2022-05-31,19.55
2022-06-01,19.88
2022-06-02,23.71
2022-06-03,21.64
2022-06-06,22.76
2022-06-07,23.63
2022-06-08,22.16
2022-06-09,17.17
2022-06-10,13.76
2022-06-13,12.06
2022-06-14,14.23
2022-06-15,15.01
2022-06-16,11.03
2022-06-17,10.17
2022-06-21,9.0
2022-06-22,11.37
2022-06-23,12.74
2022-06-24,13.48
2022-06-27,12.18
2022-06-28,12.45
2022-06-29,12.37
2022-06-30,10.78
2022-07-01,10.31
2022-07-05,11.0
2022-07-06,10.59
2022-07-07,10.59
2022-07-08,7.41
2022-07-11,6.24
2022-07-12,4.82
2022-07-13,2.63
2022-07-14,1.45
2022-07-15,4.73
2022-07-18,3.83
2022-07-19,6.32
2022-07-20,7.76
2022-07-21,7.28
2022-07-22,7.82
2022-07-25,7.38
2022-07-26,11.44
2022-07-27,10.55
2022-07-28,12.04
2022-07-29,12.67
2022-08-01,11.76
2022-08-02,11.54
2022-08-03,13.54
2022-08-04,14.33
