date,pct_chg
2022-02-04,1.34
2022-02-07,-0.13
2022-02-08,2.21
2022-02-09,2.28
2022-02-10,-0.92
2022-02-11,-0.22
2022-02-14,-0.2
2022-02-15,2.39
2022-02-16,2.21
2022-02-17,0.96
2022-02-18,1.88
2022-02-22,-1.36
2022-02-23,-2.41
2022-02-24,1.86
2022-02-25,3.16
2022-02-28,2.78
2022-03-01,4.03
2022-03-02,9.62
2022-03-03,10.32
2022-03-04,12.45
2022-03-07,11.51
2022-03-08,11.35
2022-03-09,14.16
2022-03-10,15.17
2022-03-11,15.3
2022-03-14,13.59
2022-03-15,15.95
2022-03-16,18.23
2022-03-17,18.19
2022-03-18,14.53
2022-03-21,19.5
2022-03-22,20.53
2022-03-23,18.67
2022-03-24,20.91
2022-03-25,22.79
2022-03-28,22.97
2022-03-29,26.32
2022-03-30,22.79
2022-03-31,22.86
2022-04-01,21.98
2022-04-04,22.79
2022-04-05,19.94
2022-04-06,20.75
2022-04-07,20.84
2022-04-08,20.58
2022-04-11,20.25
2022-04-12,22.38
2022-04-13,22.4
2022-04-14,21.46
2022-04-18,21.85
2022-04-19,22.29
2022-04-20,26.98
2022-04-21,28.23
2022-04-22,24.55
2022-04-25,26.3
2022-04-26,24.37
2022-04-27,24.06
2022-04-28,25.71
2022-04-29,23.78
2022-05-02,22.46
2022-05-03,20.49
2022-05-04,25.82
2022-05-05,25.05
2022-05-06,25.75
2022-05-09,23.73
2022-05-10,23.62
2022-05-11,20.64
2022-05-12,20.21
2022-05-13,21.85
2022-05-16,22.97
2022-05-17,28.03
2022-05-18,24.87
2022-05-19,19.96
2022-05-20,20.53
2022-05-23,23.1
2022-05-24,21.81
2022-05-25,22.46
2022-05-26,25.2
2022-05-27,24.74
2022-05-31,24.35
2022-06-01,25.64
2022-06-02,27.04
2022-06-03,28.45
2022-06-06,30.07
2022-06-07,30.09
2022-06-08,28.27
2022-06-09,25.6
2022-06-10,25.4
2022-06-13,22.86
2022-06-14,21.65
2022-06-15,24.37
2022-06-16,17.27
2022-06-17,15.3
2022-06-21,15.95
2022-06-22,12.25
2022-06-23,12.29
2022-06-24,20.43
2022-06-27,20.75
2022-06-28,16.63
2022-06-29,15.8
2022-06-30,16.41
2022-07-01,15.76
2022-07-05,15.43
2022-07-06,11.44
2022-07-07,12.71
2022-07-08,14.03
2022-07-11,13.54
2022-07-12,11.9
2022-07-13,11.64
2022-07-14,9.86
2022-07-15,11.92
2022-07-18,11.0
2022-07-19,15.82
2022-07-20,17.84
2022-07-21,17.49
2022-07-22,14.99
2022-07-25,16.0
2022-07-26,16.09
2022-07-27,18.12
2022-07-28,18.85
2022-07-29,21.78
2022-08-01,22.62
2022-08-02,21.85
2022-08-03,22.9
2022-08-04,5.37
2022-08-05,5.61
2022-08-08,5.74
2022-08-09,2.26
2022-08-10,5.41
2022-08-11,6.51
2022-08-12,9.69
2022-08-15,13.85
2022-08-16,15.8
2022-08-17,16.2
2022-08-18,18.01
2022-08-19,16.98
2022-08-22,15.08
2022-08-23,11.88
2022-08-24,8.09
2022-08-25,12.01
2022-08-26,7.69
2022-08-29,6.71
2022-08-30,4.51
2022-08-31,3.27
2022-09-01,1.47
2022-09-02,0.75
2022-09-06,-0.77
2022-09-07,0.28
2022-09-08,0.48
2022-09-09,2.72
2022-09-12,2.13
2022-09-13,-4.51
2022-09-14,-3.4
2022-09-15,-3.73
2022-09-16,-4.6
2022-09-19,-4.25
2022-09-20,-6.18
2022-09-21,-6.31
2022-09-22,-7.25
2022-09-23,-9.77
2022-09-26,-10.91
2022-09-27,-10.04
2022-09-28,-8.0
2022-09-29,-9.09
2022-09-30,-8.96
2022-10-03,-6.82
2022-10-04,-3.81
2022-10-05,-4.34
2022-10-06,-3.66
2022-10-07,-6.25
2022-10-10,-7.82
2022-10-11,-8.88
2022-10-12,-8.2
2022-10-13,-5.06
2022-10-14,-6.9
2022-10-17,-3.11
2022-10-18,-2.39
2022-10-19,-4.08
2022-10-20,-4.08
