date,pct_chg
2022-02-04,15.73
2022-02-07,22.47
2022-02-08,25.84
2022-02-09,14.61
2022-02-10,10.11
2022-02-11,4.49
2022-02-14,-2.25
2022-02-15,1.12
2022-02-16,-0.0
2022-02-17,-2.25
2022-02-18,-3.37
2022-02-22,-4.49
2022-02-23,-3.37
2022-02-24,-7.87
2022-02-25,-6.74
2022-02-28,-5.62
2022-03-01,-5.62
2022-03-02,-2.25
2022-03-03,4.49
2022-03-04,-1.12
2022-03-07,-4.48
2022-03-08,-5.62
2022-03-09,-5.49
2022-03-10,-4.49
2022-03-11,-2.25
2022-03-14,-2.25
2022-03-15,-2.25
2022-03-16,1.12
2022-03-17,4.51
2022-03-18,17.98
2022-03-21,21.35
2022-03-22,23.6
2022-03-23,28.09
2022-03-24,28.78
2022-03-25,30.9
2022-03-28,20.22
2022-03-29,19.1
2022-03-30,17.98
2022-03-31,19.1
2022-04-01,17.98
2022-04-04,67.42
2022-04-05,65.17
2022-04-06,75.28
2022-04-07,58.43
2022-04-08,68.54
2022-04-11,58.43
2022-04-12,52.81
2022-04-13,50.56
2022-04-14,47.19
2022-04-18,44.94
2022-04-19,49.44
2022-04-20,44.94
2022-04-21,40.45
2022-04-22,33.71
2022-04-25,30.34
2022-04-26,26.97
2022-04-27,25.84
2022-04-28,32.58
2022-04-29,30.34
2022-05-02,26.97
2022-05-03,30.34
2022-05-04,30.34
2022-05-05,28.65
2022-05-06,27.53
2022-05-09,17.98
2022-05-10,15.73
2022-05-11,16.85
2022-05-12,14.61
2022-05-13,19.1
2022-05-16,20.22
2022-05-17,20.22
2022-05-18,19.1
2022-05-19,22.47
2022-05-20,28.09
2022-05-23,23.6
2022-05-24,19.1
2022-05-25,21.35
2022-05-26,23.6
2022-05-27,28.09
2022-05-31,32.58
2022-06-01,34.83
2022-06-02,39.33
2022-06-03,39.33
2022-06-06,31.46
2022-06-07,28.09
2022-06-08,30.34
2022-06-09,25.84
2022-06-10,25.84
2022-06-13,22.47
2022-06-14,20.22
2022-06-15,21.35
2022-06-16,19.1
2022-06-17,22.47
2022-06-21,21.46
2022-06-22,22.47
2022-06-23,23.6
2022-06-24,22.47
2022-06-27,24.72
2022-06-28,20.22
2022-06-29,21.35
2022-06-30,22.47
2022-07-01,21.91
2022-07-05,22.47
2022-07-06,22.47
2022-07-07,25.84
2022-07-08,24.72
2022-07-11,24.16
2022-07-12,23.6
2022-07-13,22.47
2022-07-14,21.35
2022-07-15,21.35
2022-07-18,23.6
2022-07-19,23.03
2022-07-20,22.47
2022-07-21,21.35
2022-07-22,19.1
2022-07-25,23.6
2022-07-26,20.22
2022-07-27,20.22
2022-07-28,20.22
2022-07-29,19.1
2022-08-01,18.54
2022-08-02,17.98
2022-08-03,19.09
2022-08-04,23.6
2022-08-05,23.6
2022-08-08,24.72
2022-08-09,32.58
2022-08-10,35.96
2022-08-11,38.2
2022-08-12,37.64
2022-08-15,39.33
2022-08-16,37.08
2022-08-17,38.2
2022-08-18,38.2
2022-08-19,34.83
2022-08-22,26.97
2022-08-23,28.09
2022-08-24,31.46
2022-08-25,31.46
2022-08-26,32.58
2022-08-29,29.21
2022-08-30,25.84
2022-08-31,24.72
2022-09-01,21.91
2022-09-02,22.47
2022-09-06,17.98
2022-09-07,15.73
2022-09-08,16.85
2022-09-09,19.66
2022-09-12,19.1
2022-09-13,18.54
2022-09-14,21.91
2022-09-15,31.46
2022-09-16,28.09
2022-09-19,23.6
2022-09-20,23.6
2022-09-21,20.22
2022-09-22,19.48
2022-09-23,15.73
2022-09-26,16.29
2022-09-27,17.98
2022-09-28,20.45
2022-09-29,17.92
2022-09-30,17.01
2022-10-03,17.98
2022-10-04,17.98
2022-10-05,16.85
2022-10-06,17.98
2022-10-07,16.85
2022-10-10,15.17
2022-10-11,14.72
2022-10-12,15.73
2022-10-13,15.72
2022-10-14,14.61
2022-10-17,14.61
2022-10-18,16.85
2022-10-19,16.85
2022-10-20,15.66
2022-10-21,15.73
2022-10-24,14.61
2022-10-25,14.61
2022-10-26,14.61
2022-10-27,14.61
2022-10-28,15.73
2022-10-31,15.73
2022-11-01,16.85
2022-11-02,14.61
2022-11-03,12.36
2022-11-04,13.48
2022-11-07,15.73
2022-11-08,14.61
2022-11-09,14.6
2022-11-10,15.73
2022-11-11,17.98
2022-11-14,20.22
2022-11-15,18.99
2022-11-16,19.1
2022-11-17,17.98
2022-11-18,20.22
2022-11-21,19.1
2022-11-22,24.72
2022-11-23,31.46
2022-11-25,34.27
2022-11-28,24.72
2022-11-29,24.72
2022-11-30,23.6
2022-12-01,23.6
2022-12-02,26.97
2022-12-05,33.71
2022-12-06,31.46
2022-12-07,30.9
2022-12-08,31.46
2022-12-09,31.46
2022-12-12,28.09
2022-12-13,26.97
2022-12-14,30.34
2022-12-15,30.34
2022-12-16,30.34
2022-12-19,32.46
2022-12-20,46.07
2022-12-21,43.82
2022-12-22,32.58
2022-12-23,32.58
2022-12-27,34.83
2022-12-28,35.96
2022-12-29,46.07
2022-12-30,53.93
2023-01-03,53.93
2023-01-04,60.67
2023-01-05,60.67
2023-01-06,71.91
2023-01-09,68.54
2023-01-10,74.16
2023-01-11,78.65
2023-01-12,79.78
2023-01-13,82.02
2023-01-17,86.52
2023-01-18,92.13
2023-01-19,91.01
2023-01-20,87.64
2023-01-23,55.06
2023-01-24,60.67
2023-01-25,78.65
2023-01-26,70.79
2023-01-27,76.4
2023-01-30,77.53
2023-01-31,75.28
2023-02-01,82.02
2023-02-02,83.15
2023-02-03,82.02
