date,pct_chg
2022-02-04,-1.04
2022-02-07,-4.02
2022-02-08,-3.29
2022-02-09,-0.55
2022-02-10,-2.25
2022-02-11,-4.81
2022-02-14,-5.85
2022-02-15,-2.32
2022-02-16,1.34
2022-02-17,0.91
2022-02-18,-0.91
2022-02-22,-4.2
2022-02-23,-4.63
2022-02-24,-3.11
2022-02-25,0.79
2022-02-28,-0.3
2022-03-01,-2.01
2022-03-02,3.29
2022-03-03,-1.46
2022-03-04,-7.8
2022-03-07,-5.0
2022-03-08,-2.25
2022-03-09,4.94
2022-03-10,-2.62
2022-03-11,-2.32
2022-03-14,-0.43
2022-03-15,0.0
2022-03-16,2.86
2022-03-17,3.6
2022-03-18,4.69
2022-03-21,4.39
2022-03-22,4.88
2022-03-23,3.41
2022-03-24,2.86
2022-03-25,1.28
2022-03-28,3.72
2022-03-29,4.88
2022-03-30,5.73
2022-03-31,3.41
2022-04-01,5.73
2022-04-04,4.94
2022-04-05,2.32
2022-04-06,-0.43
2022-04-07,-3.9
2022-04-08,-2.93
2022-04-11,0.55
2022-04-12,0.91
2022-04-13,0.55
2022-04-14,-0.06
2022-04-18,-1.58
2022-04-19,-1.46
2022-04-20,0.3
2022-04-21,-0.49
2022-04-22,-1.16
2022-04-25,-1.22
2022-04-26,-1.58
2022-04-27,-2.01
2022-04-28,-0.43
2022-04-29,-1.52
2022-05-02,-3.6
2022-05-03,-3.05
2022-05-04,0.12
2022-05-05,-2.13
2022-05-06,-4.39
2022-05-09,-10.3
2022-05-10,-8.84
2022-05-11,-10.91
2022-05-12,-12.0
2022-05-13,-11.64
2022-05-16,-12.13
2022-05-17,-9.08
2022-05-18,-10.24
2022-05-19,-6.34
2022-05-20,-7.19
2022-05-23,-5.48
2022-05-24,-4.88
2022-05-25,-3.47
2022-05-26,-2.93
2022-05-27,-0.73
2022-05-31,-1.83
2022-06-01,-4.69
2022-06-02,-2.99
2022-06-03,-5.0
2022-06-06,-3.41
2022-06-07,-4.14
2022-06-08,-4.63
2022-06-09,-4.75
2022-06-10,-8.9
2022-06-13,-11.88
2022-06-14,-12.8
2022-06-15,-11.15
2022-06-16,-13.77
2022-06-17,-11.52
2022-06-21,-12.25
2022-06-22,-14.38
2022-06-23,-15.9
2022-06-24,-12.31
2022-06-27,-11.33
2022-06-28,-12.19
2022-06-29,-13.59
2022-06-30,-16.76
2022-07-01,-17.18
2022-07-05,-19.2
2022-07-06,-19.74
2022-07-07,-17.73
2022-07-08,-16.15
