date,pct_chg
2022-02-04,0.26
2022-02-07,-1.75
2022-02-08,-1.06
2022-02-09,1.86
2022-02-10,-2.19
2022-02-11,-4.95
2022-02-14,-4.93
2022-02-15,-2.3
2022-02-16,-2.38
2022-02-17,-3.73
2022-02-18,-3.99
2022-02-22,-5.71
2022-02-23,-6.2
2022-02-24,-6.09
2022-02-25,-7.02
2022-02-28,-6.2
2022-03-01,-9.17
2022-03-02,-8.48
2022-03-03,-11.24
2022-03-04,-13.56
2022-03-07,-20.16
2022-03-08,-20.93
2022-03-09,-13.86
2022-03-10,-15.93
2022-03-11,-17.03
2022-03-14,-15.95
2022-03-15,-14.96
2022-03-16,-8.99
2022-03-17,-8.71
2022-03-18,-8.68
2022-03-21,-9.58
2022-03-22,-7.47
2022-03-23,-9.43
2022-03-24,-7.15
2022-03-25,-7.05
2022-03-28,-6.57
2022-03-29,-2.89
2022-03-30,-3.63
2022-03-31,-4.98
2022-04-01,-3.68
2022-04-04,0.83
2022-04-05,-1.63
2022-04-06,-4.06
2022-04-07,-3.54
2022-04-08,-4.37
2022-04-11,-3.82
2022-04-12,-3.41
2022-04-13,-2.64
2022-04-14,-4.16
2022-04-18,-3.93
2022-04-19,-2.91
2022-04-20,-3.44
2022-04-21,-5.51
2022-04-22,-8.31
2022-04-25,-7.04
2022-04-26,-10.34
2022-04-27,-9.43
2022-04-28,-6.75
2022-04-29,-8.62
2022-05-02,-8.26
2022-05-03,-6.67
2022-05-04,-7.75
2022-05-05,-11.97
2022-05-06,-13.8
2022-05-09,-16.98
2022-05-10,-16.91
2022-05-11,-17.88
2022-05-12,-17.66
2022-05-13,-15.52
2022-05-16,-18.26
2022-05-17,-16.19
2022-05-18,-20.2
2022-05-19,-17.9
2022-05-20,-17.45
2022-05-23,-17.37
2022-05-24,-17.0
2022-05-25,-16.77
2022-05-26,-14.16
2022-05-27,-12.06
2022-05-31,-15.06
2022-06-01,-17.58
2022-06-02,-13.79
2022-06-03,-17.35
2022-06-06,-15.8
2022-06-07,-16.72
2022-06-08,-16.41
2022-06-09,-18.33
2022-06-10,-20.79
2022-06-13,-25.28
2022-06-14,-26.48
2022-06-15,-22.94
2022-06-16,-24.17
2022-06-17,-23.31
2022-06-21,-19.65
2022-06-22,-19.95
2022-06-23,-19.13
2022-06-24,-16.38
2022-06-27,-18.76
2022-06-28,-19.37
2022-06-29,-19.49
2022-06-30,-20.06
2022-07-01,-18.12
2022-07-05,-17.23
2022-07-06,-17.3
2022-07-07,-16.1
2022-07-08,-15.64
2022-07-11,-16.93
2022-07-12,-17.72
2022-07-13,-16.73
2022-07-14,-17.77
2022-07-15,-15.71
2022-07-18,-15.01
2022-07-19,-13.31
2022-07-20,-14.79
2022-07-21,-11.98
2022-07-22,-12.68
2022-07-25,-12.16
2022-07-26,-14.76
2022-07-27,-12.55
2022-07-28,-9.6
2022-07-29,-7.97
2022-08-01,-7.11
2022-08-02,-8.06
2022-08-03,-6.03
2022-08-04,-5.89
2022-08-05,-7.66
2022-08-08,-6.96
2022-08-09,-8.3
2022-08-10,-6.33
2022-08-11,-6.21
2022-08-12,-5.98
2022-08-15,-6.48
2022-08-16,-7.57
2022-08-17,-7.91
2022-08-18,-7.48
2022-08-19,-9.8
2022-08-22,-12.62
2022-08-23,-12.04
2022-08-24,-11.3
2022-08-25,-9.85
2022-08-26,-13.83
2022-08-29,-13.31
2022-08-30,-14.86
2022-08-31,-15.19
2022-09-01,-15.54
2022-09-02,-16.71
2022-09-06,-17.07
2022-09-07,-14.93
2022-09-08,-15.61
2022-09-09,-14.7
2022-09-12,-12.01
2022-09-13,-14.82
2022-09-14,-13.03
2022-09-15,-14.33
2022-09-16,-14.22
2022-09-19,-13.55
