date,pct_chg
2022-02-04,0.41
2022-02-07,3.45
2022-02-08,3.48
2022-02-09,10.14
2022-02-10,4.95
2022-02-11,0.14
2022-02-14,-1.23
2022-02-15,1.43
2022-02-16,-1.23
2022-02-17,0.34
2022-02-18,4.13
2022-02-22,1.98
2022-02-23,2.49
2022-02-24,21.55
2022-02-25,24.66
2022-02-28,27.05
2022-03-01,28.28
2022-03-02,25.1
2022-03-03,23.57
2022-03-04,15.71
2022-03-07,11.89
2022-03-08,12.81
2022-03-09,17.9
2022-03-10,17.96
2022-03-11,13.05
2022-03-14,7.04
2022-03-15,8.09
2022-03-16,13.97
2022-03-17,17.83
2022-03-18,22.78
2022-03-21,18.24
2022-03-22,17.79
2022-03-23,12.64
2022-03-24,18.58
2022-03-25,22.81
2022-03-28,24.66
2022-03-29,26.37
2022-03-30,14.07
2022-03-31,7.79
2022-04-01,9.26
2022-04-04,19.16
2022-04-05,28.86
2022-04-06,19.91
2022-04-07,16.36
2022-04-08,15.1
2022-04-11,7.07
2022-04-12,5.02
2022-04-13,8.85
2022-04-14,9.22
2022-04-18,6.63
2022-04-19,7.0
2022-04-20,6.73
2022-04-21,0.14
2022-04-22,-6.42
2022-04-25,-6.73
2022-04-26,-13.15
2022-04-27,-14.69
2022-04-28,-15.03
2022-04-29,-17.32
2022-05-02,-13.49
2022-05-03,-15.68
2022-05-04,-14.17
2022-05-05,-22.1
2022-05-06,-26.74
2022-05-09,-26.57
2022-05-10,-18.0
2022-05-11,-41.15
2022-05-12,-37.23
2022-05-13,-33.85
2022-05-16,-32.41
2022-05-17,-28.31
2022-05-18,-35.55
2022-05-19,-36.82
2022-05-20,-35.38
2022-05-23,-34.84
2022-05-24,-38.7
2022-05-25,-37.77
2022-05-26,-37.84
2022-05-27,-34.46
2022-05-31,-35.28
2022-06-01,-34.29
2022-06-02,-29.82
2022-06-03,-23.12
2022-06-06,-23.7
2022-06-07,-20.8
2022-06-08,-19.33
2022-06-09,-20.97
2022-06-10,-23.09
2022-06-13,-32.48
2022-06-14,-29.58
2022-06-15,-26.02
2022-06-16,-29.23
2022-06-17,-24.8
2022-06-21,-19.54
2022-06-22,-19.67
2022-06-23,-14.69
2022-06-24,-12.74
2022-06-27,-13.56
2022-06-28,-16.6
2022-06-29,-16.63
2022-06-30,-13.46
2022-07-01,-9.49
2022-07-05,-2.36
2022-07-06,-2.42
2022-07-07,-1.91
2022-07-08,-1.71
2022-07-11,-6.49
2022-07-12,-4.51
2022-07-13,2.7
2022-07-14,0.89
2022-07-15,-0.82
2022-07-18,-5.26
2022-07-19,-2.05
2022-07-20,-1.2
2022-07-21,-2.22
2022-07-22,-8.33
2022-07-25,-10.55
2022-07-26,-9.7
2022-07-27,-7.55
2022-07-28,-7.62
2022-07-29,-9.19
2022-08-01,-15.06
2022-08-02,-13.46
2022-08-03,-10.01
2022-08-04,-8.3
2022-08-05,-6.66
2022-08-08,-6.59
2022-08-09,-13.83
2022-08-10,-7.79
2022-08-11,-11.61
2022-08-12,-7.1
2022-08-15,-4.37
2022-08-16,-6.22
2022-08-17,-9.84
2022-08-18,-13.22
2022-08-19,-11.44
2022-08-22,-13.66
2022-08-23,-11.2
2022-08-24,-12.84
2022-08-25,-10.35
2022-08-26,-14.52
2022-08-29,-15.74
2022-08-30,-17.73
2022-08-31,-17.76
2022-09-01,-12.16
2022-09-02,-15.3
2022-09-06,-20.66
2022-09-07,-16.29
2022-09-08,-12.23
2022-09-09,-13.05
2022-09-12,-11.99
2022-09-13,-14.34
2022-09-14,-11.24
2022-09-15,-8.27
2022-09-16,-11.48
2022-09-19,-12.74
2022-09-20,-9.32
2022-09-21,-13.76
2022-09-22,-13.9
2022-09-23,-13.9
2022-09-26,-16.26
2022-09-27,-11.58
2022-09-28,-8.47
2022-09-29,-12.81
2022-09-30,-10.66
2022-10-03,-10.52
2022-10-04,-8.13
2022-10-05,-4.99
2022-10-06,-0.89
2022-10-07,-8.57
2022-10-10,-10.69
2022-10-11,-7.41
2022-10-12,-8.47
2022-10-13,-7.38
2022-10-14,-9.02
2022-10-17,-4.51
2022-10-18,-3.83
2022-10-19,-7.99
2022-10-20,-7.79
2022-10-21,-2.46
2022-10-24,-5.05
2022-10-25,-5.02
2022-10-26,-3.69
2022-10-27,-1.74
2022-10-28,-5.23
2022-10-31,-12.98
2022-11-01,-14.86
2022-11-02,-16.39
2022-11-03,-16.77
2022-11-04,-16.8
2022-11-07,-21.62
2022-11-08,-15.68
2022-11-09,-17.25
2022-11-10,-4.61
2022-11-11,-1.09
2022-11-14,3.14
2022-11-15,2.63
2022-11-16,-1.4
2022-11-17,-1.84
2022-11-18,-6.73
2022-11-21,-9.53
2022-11-22,-7.21
2022-11-23,-7.21
2022-11-25,-8.78
2022-11-28,-2.22
2022-11-29,4.2
2022-11-30,20.12
2022-12-01,17.69
2022-12-02,21.96
2022-12-05,15.98
2022-12-06,8.74
2022-12-07,7.38
2022-12-08,5.87
2022-12-09,3.79
2022-12-12,7.21
2022-12-13,13.05
2022-12-14,14.82
2022-12-15,5.87
2022-12-16,5.5
2022-12-19,4.2
2022-12-20,-29.68
2022-12-21,-24.35
2022-12-22,-26.98
2022-12-23,-30.29
2022-12-27,-30.84
2022-12-28,-32.72
2022-12-29,-30.84
2022-12-30,-29.37
2023-01-03,-31.01
2023-01-04,-30.36
2023-01-05,-36.54
2023-01-06,-36.89
2023-01-09,-40.2
2023-01-10,-37.84
2023-01-11,-37.09
2023-01-12,-36.54
2023-01-13,-30.4
2023-01-17,-30.64
2023-01-18,-33.54
2023-01-19,-28.65
2023-01-20,-27.39
2023-01-23,-24.8
2023-01-24,-22.06
2023-01-25,-20.94
2023-01-26,-21.14
2023-01-27,-21.0
2023-01-30,-23.67
2023-01-31,-26.13
2023-02-01,-23.6
2023-02-02,-27.73
2023-02-03,-29.95
