date,pct_chg
2021-12-21,4.28
2021-12-22,5.3
2021-12-23,5.58
2021-12-27,4.65
2021-12-28,13.3
2021-12-29,7.44
2021-12-30,4.93
2021-12-31,5.49
2022-01-03,8.47
2022-01-04,7.07
2022-01-05,1.86
2022-01-06,0.84
2022-01-07,2.14
2022-01-10,-0.09
2022-01-11,1.4
2022-01-12,-0.28
2022-01-13,-1.58
2022-01-14,-3.81
2022-01-18,-9.21
2022-01-19,-12.74
2022-01-20,-12.93
2022-01-21,-14.05
2022-01-24,-12.0
2022-01-25,-11.44
2022-01-26,-12.93
2022-01-27,-14.79
2022-01-28,-14.42
2022-01-31,-7.91
2022-02-01,-6.79
2022-02-02,-7.72
2022-02-03,-5.21
2022-02-04,-6.05
2022-02-07,-3.91
2022-02-08,0.19
2022-02-09,3.81
2022-02-10,1.02
2022-02-11,-0.65
2022-02-14,-8.84
2022-02-15,-3.16
2022-02-16,-2.79
2022-02-17,-5.77
2022-02-18,-4.74
2022-02-22,-8.84
2022-02-23,-13.21
2022-02-24,-9.3
2022-02-25,-7.81
2022-02-28,-9.86
2022-03-01,-9.3
2022-03-02,-8.93
2022-03-03,-16.28
2022-03-04,-18.51
2022-03-07,-28.0
2022-03-08,-24.28
2022-03-09,-19.63
2022-03-10,-20.65
2022-03-11,-23.16
2022-03-14,-24.28
2022-03-15,-21.77
2022-03-16,-18.7
2022-03-17,-20.74
2022-03-18,-18.23
2022-03-21,-19.53
2022-03-22,-19.44
2022-03-23,-24.56
2022-03-24,-23.91
2022-03-25,-24.84
2022-03-28,-24.56
2022-03-29,-20.28
2022-03-30,-23.35
2022-03-31,-24.93
2022-04-01,-24.28
2022-04-04,-21.21
2022-04-05,-24.37
2022-04-06,-25.86
2022-04-07,-26.33
2022-04-08,-27.63
2022-04-11,-26.88
2022-04-12,-27.81
2022-04-13,-26.98
2022-04-14,-28.28
2022-04-18,-31.44
2022-04-19,-30.51
2022-04-20,-34.7
2022-04-21,-38.51
