date,pct_chg
2022-02-04,0.7
2022-02-07,-0.35
2022-02-08,7.04
2022-02-09,9.67
2022-02-10,8.18
2022-02-11,6.16
2022-02-14,4.49
2022-02-15,6.24
2022-02-16,4.4
2022-02-17,1.93
2022-02-18,6.07
2022-02-22,5.89
2022-02-23,2.73
2022-02-24,7.3
2022-02-25,7.83
2022-02-28,9.67
2022-03-01,9.67
2022-03-02,12.75
2022-03-03,11.96
2022-03-04,11.17
2022-03-07,5.98
2022-03-08,7.12
2022-03-09,14.07
2022-03-10,19.88
2022-03-11,22.6
2022-03-14,20.23
2022-03-15,19.7
2022-03-16,21.46
2022-03-17,25.42
2022-03-18,29.55
2022-03-21,28.32
2022-03-22,25.42
2022-03-23,26.03
2022-03-24,24.19
2022-03-25,22.34
2022-03-28,19.35
2022-03-29,21.9
2022-03-30,17.85
2022-03-31,13.54
2022-04-01,10.55
2022-04-04,11.52
2022-04-05,11.08
2022-04-06,4.13
2022-04-07,4.57
2022-04-08,5.89
2022-04-11,7.83
2022-04-12,9.06
2022-04-13,11.17
2022-04-14,11.87
2022-04-18,14.95
2022-04-19,18.73
2022-04-20,27.35
2022-04-21,26.21
2022-04-22,22.34
2022-04-25,23.75
2022-04-26,19.09
2022-04-27,21.72
2022-04-28,24.98
2022-04-29,22.6
2022-05-02,23.83
2022-05-03,28.85
2022-05-04,31.66
2022-05-05,30.08
2022-05-06,31.05
2022-05-09,27.26
2022-05-10,22.43
2022-05-11,22.6
2022-05-12,24.45
2022-05-13,28.94
2022-05-16,27.53
2022-05-17,31.31
2022-05-18,24.27
2022-05-19,23.75
2022-05-20,16.01
2022-05-23,17.06
2022-05-24,15.3
2022-05-25,19.35
2022-05-26,24.19
2022-05-27,29.73
2022-05-31,27.18
2022-06-01,26.82
2022-06-02,27.79
2022-06-03,25.07
2022-06-06,43.89
2022-06-07,47.76
2022-06-08,45.65
2022-06-09,38.7
2022-06-10,32.45
2022-06-13,23.39
2022-06-14,26.21
2022-06-15,30.17
2022-06-16,20.49
2022-06-17,21.11
2022-06-21,19.79
2022-06-22,16.89
2022-06-23,8.36
2022-06-24,6.42
2022-06-27,8.88
2022-06-28,5.63
2022-06-29,7.39
2022-06-30,12.23
2022-07-01,28.06
2022-07-05,9.85
2022-07-06,79.07
2022-07-07,75.02
2022-07-08,76.78
2022-07-11,78.72
2022-07-12,74.32
2022-07-13,77.22
2022-07-14,76.61
2022-07-15,77.13
2022-07-18,76.69
2022-07-19,77.66
2022-07-20,78.36
2022-07-21,78.19
2022-07-22,77.92
2022-07-25,78.36
2022-07-26,76.78
2022-07-27,77.57
2022-07-28,78.8
2022-07-29,78.36
2022-08-01,78.36
2022-08-02,78.8
2022-08-03,79.95
2022-08-04,77.75
2022-08-05,77.31
2022-08-08,79.33
2022-08-09,81.09
2022-08-10,80.65
2022-08-11,80.3
2022-08-12,80.47
2022-08-15,81.09
2022-08-16,80.12
2022-08-17,80.12
2022-08-18,80.65
2022-08-19,80.3
2022-08-22,79.68
2022-08-23,79.6
2022-08-24,79.68
2022-08-25,79.68
2022-08-26,79.68
2022-08-29,79.77
2022-08-30,78.54
2022-08-31,78.19
2022-09-01,77.84
2022-09-02,77.57
2022-09-06,78.1
2022-09-07,78.28
2022-09-08,79.16
2022-09-09,79.24
2022-09-12,79.42
2022-09-13,78.63
2022-09-14,79.33
2022-09-15,78.98
2022-09-16,79.07
2022-09-19,79.07
2022-09-20,78.19
2022-09-21,78.28
2022-09-22,78.54
2022-09-23,77.66
2022-09-26,77.4
2022-09-27,76.08
2022-09-28,76.08
2022-09-29,75.99
2022-09-30,75.9
2022-10-03,78.72
2022-10-04,79.33
2022-10-05,79.33
2022-10-06,79.77
2022-10-07,80.3
2022-10-10,81.27
2022-10-11,81.27
2022-10-12,82.23
2022-10-13,82.85
2022-10-14,82.15
2022-10-17,83.47
2022-10-18,83.2
2022-10-19,80.74
2022-10-20,81.09
2022-10-21,80.91
2022-10-24,80.83
2022-10-25,80.3
2022-10-26,80.47
2022-10-27,83.11
2022-10-28,83.73
2022-10-31,83.03
2022-11-01,83.64
2022-11-02,83.38
2022-11-03,83.55
2022-11-04,84.17
2022-11-07,84.7
2022-11-08,84.7
2022-11-09,84.43
2022-11-10,84.87
2022-11-11,85.66
2022-11-14,85.49
2022-11-15,85.49
2022-11-16,85.22
2022-11-17,85.58
2022-11-18,86.37
2022-11-21,85.58
2022-11-22,86.1
2022-11-23,86.1
2022-11-25,86.28
2022-11-28,86.1
2022-11-29,86.1
2022-11-30,85.58
2022-12-01,85.49
2022-12-02,85.22
2022-12-05,84.34
2022-12-06,84.52
2022-12-07,85.58
2022-12-08,86.02
2022-12-09,84.78
2022-12-12,84.7
2022-12-13,84.87
2022-12-14,85.14
2022-12-15,85.14
2022-12-16,85.4
2022-12-19,85.22
2022-12-20,85.14
2022-12-21,84.43
2022-12-22,83.29
2022-12-23,83.82
2022-12-27,83.29
2022-12-28,92.61
2022-12-29,89.97
2022-12-30,89.89
2023-01-03,88.39
2023-01-04,89.09
2023-01-05,87.07
2023-01-06,89.09
2023-01-09,88.65
2023-01-10,88.74
2023-01-11,88.65
2023-01-12,88.83
2023-01-13,86.9
2023-01-17,89.18
2023-01-18,86.98
2023-01-19,87.07
2023-01-20,87.86
2023-01-23,88.57
2023-01-24,88.39
2023-01-25,88.39
2023-01-26,89.36
2023-01-27,87.77
2023-01-30,89.27
2023-01-31,90.94
2023-02-01,92.08
2023-02-02,91.47
2023-02-03,91.56
