date,pct_chg
2022-02-04,-0.41
2022-02-07,-1.14
2022-02-08,-2.14
2022-02-09,-2.32
2022-02-10,-3.18
2022-02-11,-2.41
2022-02-14,-3.04
2022-02-15,0.18
2022-02-16,1.23
2022-02-17,-1.32
2022-02-18,-1.27
2022-02-22,-2.86
2022-02-23,-5.82
2022-02-24,-6.95
2022-02-25,-1.86
2022-02-28,-0.18
2022-03-01,-0.59
2022-03-02,-1.59
2022-03-03,-1.41
2022-03-04,-0.73
2022-03-07,-1.41
2022-03-08,1.86
2022-03-09,0.32
2022-03-10,-0.36
2022-03-11,0.41
2022-03-14,-0.68
2022-03-15,-1.14
2022-03-16,0.05
2022-03-17,-1.41
2022-03-18,-0.45
2022-03-21,-0.64
2022-03-22,-1.0
2022-03-23,-2.64
2022-03-24,-3.13
2022-03-25,-5.45
2022-03-28,-4.04
2022-03-29,-4.09
2022-03-30,-3.36
2022-03-31,-1.82
2022-04-01,-1.18
2022-04-04,-1.59
2022-04-05,-2.86
2022-04-06,-1.18
2022-04-07,-0.05
2022-04-08,-0.23
2022-04-11,-1.09
2022-04-12,-3.0
2022-04-13,-2.18
2022-04-14,-3.5
2022-04-18,-4.86
2022-04-19,-4.32
2022-04-20,-1.54
2022-04-21,-2.41
2022-04-22,-3.91
2022-04-25,-6.0
2022-04-26,-5.63
2022-04-27,-6.18
2022-04-28,-4.63
2022-04-29,-5.72
2022-05-02,-4.68
2022-05-03,-5.18
2022-05-04,-6.82
2022-05-05,-8.0
2022-05-06,-4.86
2022-05-09,-7.45
2022-05-10,-6.91
2022-05-11,-8.54
2022-05-12,-11.4
2022-05-13,-10.13
2022-05-16,-8.68
2022-05-17,-9.13
2022-05-18,-9.36
2022-05-19,-8.36
2022-05-20,-8.45
2022-05-23,-8.91
2022-05-24,-10.27
2022-05-25,-8.95
2022-05-26,-7.54
2022-05-27,-8.09
2022-05-31,-7.5
2022-06-01,-5.18
2022-06-02,-5.45
2022-06-03,-4.63
2022-06-06,-4.82
2022-06-07,-5.91
2022-06-08,-6.09
2022-06-09,-5.95
2022-06-10,-6.63
2022-06-13,-6.86
2022-06-14,-10.0
2022-06-15,-11.59
2022-06-16,-13.63
2022-06-17,-17.86
2022-06-21,-18.13
2022-06-22,-17.9
2022-06-23,-15.95
2022-06-24,-15.04
2022-06-27,-12.95
2022-06-28,-12.4
2022-06-29,-13.72
2022-06-30,-13.36
2022-07-01,-7.63
2022-07-05,-11.36
2022-07-06,-11.4
2022-07-07,-10.27
2022-07-08,-9.59
2022-07-11,-11.22
2022-07-12,-6.22
2022-07-13,-8.13
2022-07-14,-7.09
2022-07-15,-6.82
2022-07-18,-9.0
2022-07-19,-9.13
2022-07-20,-9.18
2022-07-21,-10.5
2022-07-22,-9.81
2022-07-25,-9.59
2022-07-26,-8.72
2022-07-27,-10.72
2022-07-28,-9.36
2022-07-29,-9.31
2022-08-01,-10.31
2022-08-02,-9.13
2022-08-03,-6.82
2022-08-04,-7.22
2022-08-05,-8.0
2022-08-08,-7.81
2022-08-09,-7.81
2022-08-10,-7.72
2022-08-11,-7.04
2022-08-12,-5.32
2022-08-15,-4.59
2022-08-16,-3.63
2022-08-17,-2.14
2022-08-18,2.82
2022-08-19,1.0
2022-08-22,-1.73
2022-08-23,-1.73
2022-08-24,-3.23
2022-08-25,-2.82
2022-08-26,-3.18
2022-08-29,-3.18
2022-08-30,-3.23
2022-08-31,-2.91
2022-09-01,-3.54
2022-09-02,-3.04
2022-09-06,-3.63
2022-09-07,-3.54
2022-09-08,-3.54
2022-09-09,-3.45
2022-09-12,-3.23
2022-09-13,-3.54
2022-09-14,-2.86
2022-09-15,-2.91
2022-09-16,2.73
2022-09-19,1.23
2022-09-20,1.41
2022-09-21,0.68
2022-09-22,-1.64
2022-09-23,-3.63
2022-09-26,-3.82
2022-09-27,-4.04
2022-09-28,-4.27
2022-09-29,-4.0
2022-09-30,-4.32
2022-10-03,-4.09
2022-10-04,-4.09
2022-10-05,-3.59
2022-10-06,-4.04
2022-10-07,-5.95
2022-10-10,-5.86
2022-10-11,-5.09
2022-10-12,-2.77
2022-10-13,-2.36
2022-10-14,-1.09
2022-10-17,-2.54
2022-10-18,-3.68
2022-10-19,-2.36
2022-10-20,-0.59
2022-10-21,-1.95
2022-10-24,-1.95
2022-10-25,-3.27
2022-10-26,-5.09
2022-10-27,-4.23
2022-10-28,-2.91
2022-10-31,-3.36
2022-11-01,-4.0
2022-11-02,-0.86
2022-11-03,-3.09
2022-11-04,-1.91
2022-11-07,-2.36
2022-11-08,-4.41
2022-11-09,-0.27
2022-11-10,-0.45
2022-11-11,0.0
2022-11-14,-1.64
2022-11-15,4.68
2022-11-16,7.81
2022-11-17,6.32
2022-11-18,11.49
2022-11-21,11.22
2022-11-22,11.22
2022-11-23,9.77
2022-11-25,7.72
2022-11-28,9.09
2022-11-29,10.27
2022-11-30,10.31
2022-12-01,9.54
2022-12-02,10.63
2022-12-05,7.63
2022-12-06,4.04
2022-12-07,-0.05
2022-12-08,2.54
2022-12-09,2.23
2022-12-12,1.04
2022-12-13,0.09
2022-12-14,2.95
2022-12-15,4.04
2022-12-16,3.13
2022-12-19,1.04
2022-12-20,0.32
2022-12-21,0.41
2022-12-22,1.41
2022-12-23,2.54
2022-12-27,0.64
2022-12-28,-3.41
2022-12-29,-1.86
2022-12-30,0.18
2023-01-03,1.09
2023-01-04,1.14
2023-01-05,0.41
2023-01-06,2.45
2023-01-09,1.32
2023-01-10,1.04
2023-01-11,2.77
2023-01-12,3.41
2023-01-13,6.41
2023-01-17,4.5
2023-01-18,5.18
2023-01-19,2.27
2023-01-20,5.22
2023-01-23,4.91
2023-01-24,3.59
2023-01-25,3.5
2023-01-26,4.18
2023-01-27,5.41
2023-01-30,5.41
2023-01-31,6.77
2023-02-01,7.95
2023-02-02,8.29
2023-02-03,9.04
