date,pct_chg
2022-02-04,-2.39
2022-02-07,-2.17
2022-02-08,-2.73
2022-02-09,-1.53
2022-02-10,-2.47
2022-02-11,-3.33
2022-02-14,-5.46
2022-02-15,-5.99
2022-02-16,-5.8
2022-02-17,-8.34
2022-02-18,-8.75
2022-02-22,-11.71
2022-02-23,-12.61
2022-02-24,-9.8
2022-02-25,-7.41
2022-02-28,-7.89
2022-03-01,-8.12
2022-03-02,-7.82
2022-03-03,-6.96
2022-03-04,-7.0
2022-03-07,-9.05
2022-03-08,-9.43
2022-03-09,-8.45
2022-03-10,-8.42
2022-03-11,-9.02
2022-03-14,-10.1
2022-03-15,-9.47
2022-03-16,-7.78
2022-03-17,-6.58
2022-03-18,-5.95
2022-03-21,-7.26
2022-03-22,-5.61
2022-03-23,-6.36
2022-03-24,-7.22
2022-03-25,-6.14
2022-03-28,-4.68
2022-03-29,-1.53
2022-03-30,-2.1
2022-03-31,0.6
2022-04-01,2.1
2022-04-04,1.05
2022-04-05,-1.23
2022-04-06,-2.36
2022-04-07,-3.78
2022-04-08,-3.78
2022-04-11,-4.49
2022-04-12,-4.79
2022-04-13,-5.39
2022-04-14,-6.47
2022-04-18,-6.85
2022-04-19,-4.49
2022-04-20,-2.32
2022-04-21,-3.29
2022-04-22,-4.45
2022-04-25,-5.16
2022-04-26,-6.21
2022-04-27,-6.77
2022-04-28,-4.83
2022-04-29,-8.31
2022-05-02,-10.74
2022-05-03,-9.35
2022-05-04,-6.55
2022-05-05,-9.65
2022-05-06,-12.05
2022-05-09,-15.23
2022-05-10,-17.28
2022-05-11,-17.58
2022-05-12,-17.7
2022-05-13,-16.27
2022-05-16,-16.69
2022-05-17,-15.56
2022-05-18,-17.66
2022-05-19,-18.11
2022-05-20,-18.59
2022-05-23,-17.51
2022-05-24,-16.27
2022-05-25,-15.26
2022-05-26,-14.25
2022-05-27,-11.9
2022-05-31,-12.79
2022-06-01,-12.53
2022-06-02,-12.12
2022-06-03,-12.79
2022-06-06,-12.79
