date,pct_chg
2022-02-04,-2.26
2022-02-07,-3.57
2022-02-08,-0.46
2022-02-09,2.13
2022-02-10,0.7
2022-02-11,0.7
2022-02-14,1.31
2022-02-15,4.35
2022-02-16,5.29
2022-02-17,8.76
2022-02-18,9.51
2022-02-22,9.33
2022-02-23,8.09
2022-02-24,8.28
2022-02-25,14.82
2022-02-28,19.48
2022-03-01,17.17
2022-03-02,18.44
2022-03-03,18.95
2022-03-04,18.22
2022-03-07,15.61
2022-03-08,13.93
2022-03-09,18.32
2022-03-10,17.85
2022-03-11,17.83
2022-03-14,17.48
2022-03-15,18.96
2022-03-16,18.6
2022-03-17,19.58
2022-03-18,19.87
2022-03-21,21.88
2022-03-22,22.24
2022-03-23,21.65
2022-03-24,22.25
2022-03-25,22.02
2022-03-28,19.53
2022-03-29,15.96
2022-03-30,15.61
2022-03-31,14.77
2022-04-01,15.66
2022-04-04,14.05
2022-04-05,12.05
2022-04-06,11.94
2022-04-07,11.71
2022-04-08,12.28
2022-04-11,14.58
2022-04-12,15.41
2022-04-13,18.42
2022-04-14,21.6
2022-04-18,21.78
2022-04-19,24.26
2022-04-20,25.59
2022-04-21,23.46
2022-04-22,20.59
2022-04-25,19.17
2022-04-26,16.9
2022-04-27,18.46
2022-04-28,24.65
2022-04-29,24.1
2022-05-02,23.83
2022-05-03,28.09
2022-05-04,32.35
2022-05-05,23.66
2022-05-06,23.43
2022-05-09,20.8
2022-05-10,18.89
2022-05-11,17.38
2022-05-12,17.21
2022-05-13,16.74
2022-05-16,16.13
2022-05-17,20.11
2022-05-18,14.18
2022-05-19,11.91
2022-05-20,11.71
2022-05-23,12.71
2022-05-24,12.02
2022-05-25,17.0
2022-05-26,24.65
2022-05-27,28.31
2022-05-31,21.69
2022-06-01,22.31
2022-06-02,23.33
2022-06-03,21.13
2022-06-06,22.97
2022-06-07,25.58
2022-06-08,21.72
2022-06-09,17.78
2022-06-10,16.94
2022-06-13,11.87
2022-06-14,10.08
2022-06-15,12.53
2022-06-16,4.75
2022-06-17,6.48
2022-06-21,6.7
2022-06-22,3.93
2022-06-23,2.33
2022-06-24,8.16
2022-06-27,8.88
2022-06-28,8.2
2022-06-29,6.97
2022-06-30,6.33
2022-07-01,7.09
2022-07-05,6.25
2022-07-06,6.19
2022-07-07,9.12
2022-07-08,8.03
2022-07-11,8.44
2022-07-12,8.37
2022-07-13,9.92
2022-07-14,9.35
2022-07-15,10.46
2022-07-18,9.76
2022-07-19,12.98
2022-07-20,12.43
2022-07-21,14.97
2022-07-22,13.13
2022-07-25,15.93
2022-07-26,15.29
2022-07-27,16.88
2022-07-28,16.64
2022-07-29,19.09
2022-08-01,19.67
2022-08-02,16.71
2022-08-03,13.48
2022-08-04,16.21
2022-08-05,18.07
2022-08-08,17.63
2022-08-09,18.97
2022-08-10,21.4
2022-08-11,21.48
2022-08-12,23.44
2022-08-15,22.72
2022-08-16,23.59
2022-08-17,21.94
2022-08-18,22.12
2022-08-19,19.99
2022-08-22,17.87
2022-08-23,18.96
2022-08-24,18.92
2022-08-25,22.7
2022-08-26,21.82
2022-08-29,22.57
2022-08-30,18.65
2022-08-31,17.67
2022-09-01,14.7
2022-09-02,15.13
2022-09-06,15.49
2022-09-07,17.9
2022-09-08,19.15
2022-09-09,23.43
2022-09-12,21.15
2022-09-13,17.68
2022-09-14,11.49
2022-09-15,11.5
2022-09-16,9.83
2022-09-19,13.67
2022-09-20,12.32
2022-09-21,11.32
2022-09-22,9.62
2022-09-23,7.04
2022-09-26,5.8
2022-09-27,8.05
2022-09-28,10.58
2022-09-29,8.68
2022-09-30,9.18
2022-10-03,13.98
2022-10-04,18.69
2022-10-05,17.67
2022-10-06,13.85
2022-10-07,11.59
2022-10-10,14.49
2022-10-11,14.67
2022-10-12,13.55
2022-10-13,17.08
2022-10-14,13.77
2022-10-17,14.85
2022-10-18,15.57
2022-10-19,13.1
2022-10-20,12.84
2022-10-21,16.41
2022-10-24,17.49
2022-10-25,19.34
2022-10-26,21.52
2022-10-27,25.13
2022-10-28,24.9
2022-10-31,26.12
2022-11-01,28.37
2022-11-02,24.53
2022-11-03,24.89
2022-11-04,26.83
2022-11-07,27.34
2022-11-08,28.81
2022-11-09,25.83
2022-11-10,29.87
2022-11-11,21.47
2022-11-14,26.0
2022-11-15,27.17
2022-11-16,26.88
2022-11-17,28.52
2022-11-18,28.92
2022-11-21,30.42
2022-11-22,33.28
2022-11-23,32.44
2022-11-25,32.55
2022-11-28,30.13
2022-11-29,30.98
2022-11-30,32.26
2022-12-01,32.56
2022-12-02,33.46
2022-12-05,30.66
2022-12-06,30.51
2022-12-07,30.66
2022-12-08,30.86
2022-12-09,27.1
2022-12-12,28.14
2022-12-13,28.13
2022-12-14,27.72
2022-12-15,25.3
2022-12-16,25.93
2022-12-19,25.32
2022-12-20,26.89
2022-12-21,28.44
2022-12-22,26.99
2022-12-23,27.98
2022-12-27,28.91
2022-12-28,26.2
2022-12-29,26.98
2022-12-30,26.72
2023-01-03,26.07
2023-01-04,28.44
2023-01-05,29.56
2023-01-06,30.29
2023-01-09,28.76
2023-01-10,31.27
2023-01-11,31.81
2023-01-12,33.45
2023-01-13,35.71
2023-01-17,33.97
2023-01-18,31.89
2023-01-19,32.63
2023-01-20,35.0
2023-01-23,35.41
2023-01-24,35.08
2023-01-25,38.25
2023-01-26,42.63
2023-01-27,41.9
2023-01-30,39.12
2023-01-31,42.38
2023-02-01,44.79
2023-02-02,47.22
2023-02-03,47.47
