date,pct_chg
2022-02-04,-0.75
2022-02-07,-0.98
2022-02-08,-1.65
2022-02-09,-2.86
2022-02-10,-2.82
2022-02-11,-3.38
2022-02-14,-3.53
2022-02-15,-4.14
2022-02-16,-4.12
2022-02-17,-4.4
2022-02-18,-4.51
2022-02-22,-4.55
2022-02-23,-4.1
2022-02-24,-5.26
2022-02-25,-4.66
2022-02-28,-5.26
2022-03-01,-5.23
2022-03-02,-5.04
2022-03-03,-4.89
2022-03-04,-4.55
2022-03-07,-4.7
2022-03-08,-4.7
2022-03-09,-4.47
2022-03-10,-5.83
2022-03-11,-5.68
2022-03-14,-6.02
2022-03-15,-5.79
2022-03-16,-6.32
2022-03-17,-5.86
2022-03-18,-5.79
2022-03-21,-5.83
2022-03-22,-5.86
2022-03-23,-5.21
2022-03-24,-4.96
2022-03-25,-5.6
2022-03-28,-4.1
2022-03-29,-2.55
2022-03-30,-3.64
2022-03-31,-3.44
2022-04-01,-3.76
2022-04-04,-4.25
2022-04-05,-4.43
2022-04-06,-3.53
2022-04-07,-6.54
2022-04-08,-6.86
2022-04-11,-9.52
2022-04-12,-9.62
2022-04-13,-9.86
2022-04-14,-11.8
2022-04-18,-11.35
2022-04-19,-9.23
2022-04-20,-9.77
2022-04-21,-10.9
2022-04-22,-10.45
2022-04-25,-9.25
2022-04-26,-8.27
2022-04-27,-8.42
2022-04-28,-9.1
2022-04-29,-9.06
2022-05-02,-9.77
2022-05-03,-9.51
2022-05-04,-10.34
2022-05-05,-9.94
2022-05-06,-8.64
2022-05-09,-10.64
2022-05-10,-10.35
2022-05-11,-9.71
2022-05-12,-10.32
2022-05-13,-9.77
2022-05-16,-10.15
2022-05-17,-10.2
2022-05-18,-10.28
2022-05-19,-10.15
2022-05-20,-10.56
2022-05-23,-11.09
2022-05-24,-10.9
2022-05-25,-10.64
2022-05-26,-10.53
2022-05-27,-9.88
2022-05-31,-10.15
2022-06-01,-10.38
2022-06-02,-9.66
2022-06-03,-10.15
2022-06-06,-8.53
2022-06-07,-9.25
2022-06-08,-9.4
2022-06-09,-9.81
2022-06-10,-11.35
2022-06-13,-15.68
2022-06-14,-16.02
2022-06-15,-14.64
2022-06-16,-17.33
2022-06-17,-17.33
2022-06-21,-18.23
2022-06-22,-19.04
2022-06-23,-18.91
2022-06-24,-18.98
2022-06-27,-15.6
2022-06-28,-16.07
2022-06-29,-16.39
2022-06-30,-15.49
2022-07-01,-16.77
2022-07-05,-17.03
2022-07-06,-16.88
2022-07-07,-15.71
2022-07-08,-14.1
2022-07-11,-14.85
2022-07-12,-15.55
2022-07-13,-13.72
2022-07-14,-14.58
2022-07-15,-14.47
2022-07-18,-13.8
2022-07-19,-13.98
2022-07-20,-13.57
2022-07-21,-14.21
2022-07-22,-15.41
2022-07-25,-13.61
2022-07-26,-11.32
2022-07-27,-10.71
2022-07-28,-9.77
2022-07-29,-7.93
2022-08-01,-8.35
2022-08-02,-7.97
2022-08-03,-8.25
2022-08-04,-8.06
2022-08-05,-8.7
2022-08-08,-8.46
2022-08-09,-9.06
2022-08-10,-7.93
2022-08-11,-7.97
2022-08-12,-7.97
2022-08-15,-7.93
2022-08-16,-7.14
2022-08-17,-7.82
2022-08-18,-8.87
2022-08-19,-9.25
2022-08-22,-8.46
2022-08-23,-9.77
2022-08-24,-9.4
2022-08-25,-9.67
2022-08-26,-9.59
2022-08-29,-10.03
2022-08-30,-9.85
2022-08-31,-10.14
2022-09-01,-10.08
2022-09-02,-10.56
2022-09-06,-10.71
2022-09-07,-11.22
2022-09-08,-11.95
2022-09-09,-11.03
2022-09-12,-10.71
2022-09-13,-10.96
2022-09-14,-11.71
2022-09-15,-10.09
2022-09-16,-9.81
2022-09-19,-10.13
2022-09-20,-11.88
2022-09-21,-12.01
2022-09-22,-12.07
2022-09-23,-15.75
2022-09-26,-17.76
2022-09-27,-19.92
2022-09-28,-18.56
2022-09-29,-20.56
2022-09-30,-21.64
2022-10-03,-20.71
2022-10-04,-19.92
2022-10-05,-20.76
2022-10-06,-21.6
2022-10-07,-23.17
2022-10-10,-21.28
2022-10-11,-24.05
2022-10-12,-24.66
2022-10-13,-24.74
2022-10-14,-24.81
2022-10-17,-24.92
2022-10-18,-25.19
2022-10-19,-27.63
2022-10-20,-28.35
2022-10-21,-28.01
2022-10-24,-28.12
2022-10-25,-28.14
2022-10-26,-28.57
2022-10-27,-28.59
2022-10-28,-27.14
2022-10-31,-25.6
2022-11-01,-25.02
2022-11-02,-25.56
2022-11-03,-25.56
2022-11-04,-24.51
2022-11-07,-24.21
2022-11-08,-24.59
2022-11-09,-24.59
2022-11-10,-22.43
2022-11-11,-18.61
2022-11-14,-19.62
2022-11-15,-21.24
2022-11-16,-22.37
2022-11-17,-22.93
2022-11-18,-22.78
2022-11-21,-22.18
2022-11-22,-22.37
2022-11-23,-22.89
2022-11-25,-22.84
2022-11-28,-23.68
2022-11-29,-25.49
2022-11-30,-25.26
2022-12-01,-23.31
2022-12-02,-22.89
2022-12-05,-23.2
2022-12-06,-23.95
2022-12-07,-25.34
2022-12-08,-24.36
2022-12-09,-24.23
2022-12-12,-24.81
2022-12-13,-24.25
2022-12-14,-24.5
2022-12-15,-24.92
2022-12-16,-24.81
2022-12-19,-25.11
2022-12-20,-25.75
2022-12-21,-25.02
2022-12-22,-25.56
2022-12-23,-25.02
2022-12-27,-25.19
2022-12-28,-25.11
2022-12-29,-24.85
2022-12-30,-24.06
2023-01-03,-22.86
2023-01-04,-21.47
2023-01-05,-23.95
2023-01-06,-23.61
2023-01-09,-22.97
2023-01-10,-23.42
2023-01-11,-23.57
2023-01-12,-22.94
2023-01-13,-22.56
2023-01-17,-21.28
2023-01-18,-20.79
2023-01-19,-20.98
2023-01-20,-20.6
2023-01-23,-16.84
2023-01-24,-14.62
2023-01-25,-14.55
2023-01-26,-12.74
2023-01-27,-11.47
2023-01-30,-12.41
2023-01-31,-12.44
2023-02-01,-14.13
2023-02-02,-12.74
2023-02-03,-12.95
