date,pct_chg
2022-02-04,-0.32
2022-02-07,2.58
2022-02-08,1.29
2022-02-09,0.0
2022-02-10,0.32
2022-02-11,-0.0
2022-02-14,-0.0
2022-02-15,0.97
2022-02-16,3.55
2022-02-17,0.32
2022-02-18,0.97
2022-02-22,-3.87
2022-02-23,-2.58
2022-02-24,-1.61
2022-02-25,0.0
2022-02-28,0.0
2022-03-01,1.29
2022-03-02,6.45
2022-03-03,9.68
2022-03-04,9.35
2022-03-07,5.81
2022-03-08,5.81
2022-03-09,6.45
2022-03-10,11.29
2022-03-11,7.1
2022-03-14,7.1
2022-03-15,5.81
2022-03-16,3.87
2022-03-17,0.32
2022-03-18,3.23
2022-03-21,2.58
2022-03-22,2.26
2022-03-23,2.58
2022-03-24,3.23
2022-03-25,0.65
2022-03-28,0.97
2022-03-29,0.65
2022-03-30,0.0
2022-03-31,-1.29
2022-04-01,-0.97
2022-04-04,-1.61
2022-04-05,-6.45
2022-04-06,-3.23
2022-04-07,-2.58
2022-04-08,-2.26
2022-04-11,-3.23
2022-04-12,-2.26
2022-04-13,-2.58
2022-04-14,-1.61
2022-04-18,0.65
2022-04-19,1.61
2022-04-20,1.61
2022-04-21,2.58
2022-04-22,2.58
2022-04-25,2.9
2022-04-26,1.29
2022-04-27,0.65
2022-04-28,0.32
2022-04-29,1.29
2022-05-02,1.61
2022-05-03,2.58
2022-05-04,3.23
2022-05-05,3.23
2022-05-06,2.9
2022-05-09,2.26
2022-05-10,1.61
2022-05-11,-65.16
2022-05-12,-65.16
2022-05-13,-65.16
2022-05-16,-66.45
2022-05-17,-66.45
2022-05-18,-65.16
2022-05-19,-66.45
2022-05-20,-66.77
2022-05-23,-67.1
2022-05-24,-67.1
2022-05-25,-66.45
2022-05-26,-66.77
2022-05-27,-64.52
2022-05-31,-64.52
2022-06-01,-66.13
2022-06-02,-66.77
2022-06-03,-66.13
2022-06-06,-66.77
2022-06-07,-65.16
2022-06-08,-65.16
2022-06-09,-65.16
2022-06-10,-66.45
2022-06-13,-66.13
2022-06-14,-66.77
2022-06-15,-65.81
2022-06-16,-65.16
2022-06-17,-65.16
2022-06-21,-65.16
2022-06-22,-65.16
2022-06-23,-65.16
2022-06-24,-65.48
2022-06-27,-65.16
2022-06-28,-64.52
2022-06-29,-66.13
2022-06-30,-60.0
2022-07-01,-60.0
2022-07-05,-60.0
2022-07-06,-59.35
2022-07-07,-60.32
2022-07-08,-59.35
2022-07-11,-58.39
2022-07-12,-60.32
2022-07-13,-57.74
2022-07-14,-60.32
2022-07-15,-58.06
2022-07-18,-58.06
2022-07-19,-58.71
2022-07-20,-58.06
2022-07-21,-58.39
2022-07-22,-57.74
2022-07-25,-57.42
2022-07-26,-58.39
2022-07-27,-57.42
2022-07-28,-95.16
2022-07-29,-95.48
2022-08-01,-88.87
2022-08-02,-88.71
2022-08-03,-89.68
2022-08-04,-88.39
2022-08-05,-89.03
2022-08-08,-88.87
2022-08-09,-89.03
2022-08-10,-89.19
2022-08-11,-88.06
2022-08-12,-88.23
2022-08-15,-87.42
2022-08-16,-88.39
2022-08-17,-87.42
2022-08-18,-87.74
2022-08-19,-88.23
2022-08-22,-87.42
2022-08-23,-87.74
2022-08-24,-87.1
2022-08-25,-86.45
2022-08-26,-87.74
2022-08-29,-87.1
2022-08-30,-86.45
2022-08-31,-86.45
2022-09-01,-87.42
2022-09-02,-87.1
2022-09-06,-87.42
2022-09-07,-86.45
2022-09-08,-86.61
2022-09-09,-86.45
2022-09-12,-87.1
2022-09-13,-86.45
2022-09-14,-86.45
2022-09-15,-86.45
2022-09-16,-87.42
2022-09-19,-86.45
2022-09-20,-86.45
2022-09-21,-87.42
2022-09-22,-87.42
2022-09-23,-86.45
2022-09-26,-86.45
2022-09-27,-85.48
2022-09-28,-84.84
2022-09-29,-57.2
2022-09-30,-85.16
2022-10-03,-84.52
2022-10-04,-84.52
2022-10-05,-84.52
2022-10-06,-84.52
2022-10-07,-84.52
2022-10-10,-84.52
2022-10-11,-84.52
2022-10-12,-84.52
2022-10-13,-84.68
2022-10-14,-84.52
2022-10-17,-84.52
2022-10-18,-84.35
2022-10-19,-84.52
2022-10-20,-84.84
2022-10-21,-84.35
2022-10-24,-84.84
2022-10-25,-84.52
2022-10-26,-84.52
2022-10-27,-79.97
2022-10-28,-80.88
2022-10-31,-79.97
2022-11-01,-79.51
2022-11-02,-78.14
2022-11-03,-79.06
2022-11-04,-79.06
2022-11-07,-79.06
2022-11-08,-79.97
2022-11-09,-81.79
2022-11-10,-79.97
2022-11-11,-81.79
2022-11-14,-79.06
2022-11-15,-81.79
2022-11-16,-83.52
2022-11-17,-79.97
2022-11-18,-80.88
2022-11-21,-80.88
2022-11-22,-78.14
2022-11-23,-78.14
2022-11-25,-78.14
2022-11-28,-78.14
2022-11-29,-79.97
2022-11-30,-80.88
2022-12-01,-80.88
2022-12-02,-79.06
2022-12-05,-78.14
2022-12-06,-80.88
2022-12-07,-81.79
2022-12-08,-81.6
2022-12-09,-79.06
2022-12-12,-80.88
2022-12-13,-80.79
2022-12-14,-81.7
2022-12-15,-80.88
2022-12-16,-80.88
2022-12-19,-79.97
2022-12-20,-78.6
2022-12-21,-80.86
2022-12-22,-71.77
2022-12-23,-80.13
2022-12-27,-80.6
2022-12-28,-80.51
2022-12-29,-79.77
2022-12-30,-80.19
2023-01-03,-79.97
2023-01-04,-77.23
2023-01-05,-79.27
2023-01-06,-78.14
2023-01-09,-78.14
2023-01-10,-77.24
2023-01-11,-77.23
2023-01-12,-77.23
2023-01-13,-79.06
2023-01-17,-76.34
2023-01-18,-76.34
2023-01-19,-78.14
2023-01-20,-79.01
2023-01-23,-78.14
2023-01-24,-76.32
2023-01-25,-78.14
2023-01-26,-78.14
2023-01-27,-76.34
2023-01-30,-78.05
2023-01-31,-77.23
2023-02-01,-77.69
2023-02-02,-78.05
2023-02-03,-78.05
