date,pct_chg
2022-02-04,2.98
2022-02-07,1.05
2022-02-08,0.7
2022-02-09,-0.0
2022-02-10,-2.45
2022-02-11,-11.73
2022-02-14,-12.08
2022-02-15,-0.7
2022-02-16,26.62
2022-02-17,17.16
2022-02-18,12.08
2022-02-22,-1.05
2022-02-23,-6.3
2022-02-24,-0.35
2022-02-25,8.93
2022-02-28,6.13
2022-03-01,9.28
2022-03-02,7.71
2022-03-03,7.18
2022-03-04,12.26
2022-03-07,17.16
2022-03-08,22.59
2022-03-09,34.33
2022-03-10,41.86
2022-03-11,44.66
2022-03-14,49.56
2022-03-15,64.45
2022-03-16,54.99
2022-03-17,46.58
2022-03-18,37.3
2022-03-21,40.11
2022-03-22,40.11
2022-03-23,39.05
2022-03-24,39.75
2022-03-25,40.81
2022-03-28,40.11
2022-03-29,53.06
2022-03-30,47.64
2022-03-31,44.66
2022-04-01,54.29
2022-04-04,62.0
2022-04-05,66.02
2022-04-06,73.03
2022-04-07,60.42
2022-04-08,52.71
2022-04-11,50.44
2022-04-12,48.69
2022-04-13,44.66
2022-04-14,48.86
2022-04-18,50.44
2022-04-19,53.59
2022-04-20,59.89
2022-04-21,60.95
2022-04-22,59.19
2022-04-25,55.87
2022-04-26,55.87
2022-04-27,55.87
2022-04-28,61.12
2022-04-29,61.82
2022-05-02,57.62
2022-05-03,57.62
2022-05-04,51.31
2022-05-05,24.69
2022-05-06,25.74
2022-05-09,12.08
2022-05-10,3.15
2022-05-11,-2.28
2022-05-12,-0.35
2022-05-13,-3.68
2022-05-16,-4.2
2022-05-17,-2.98
2022-05-18,-4.38
2022-05-19,-5.08
2022-05-20,-6.48
2022-05-23,-9.98
2022-05-24,-11.91
2022-05-25,-13.13
2022-05-26,-16.29
2022-05-27,-16.46
2022-05-31,-17.16
2022-06-01,-16.29
2022-06-02,-17.16
2022-06-03,-17.34
2022-06-06,-13.49
2022-06-07,-1.23
2022-06-08,15.76
2022-06-09,-12.26
2022-06-10,-15.24
2022-06-13,-26.8
2022-06-14,-41.33
2022-06-15,-35.38
2022-06-16,-31.87
2022-06-17,-11.73
2022-06-21,-25.57
2022-06-22,-30.47
