date,pct_chg
2022-02-04,2.98
2022-02-07,7.82
2022-02-08,8.82
2022-02-09,15.21
2022-02-10,15.73
2022-02-11,14.22
2022-02-14,13.57
2022-02-15,17.68
2022-02-16,16.68
2022-02-17,28.13
2022-02-18,26.88
2022-02-22,35.31
2022-02-23,30.73
2022-02-24,26.79
2022-02-25,37.25
2022-02-28,29.99
2022-03-01,17.37
2022-03-02,29.04
2022-03-03,25.28
2022-03-04,22.17
2022-03-07,19.75
2022-03-08,28.13
2022-03-09,25.15
2022-03-10,29.3
2022-03-11,30.21
2022-03-14,16.25
2022-03-15,16.03
2022-03-16,21.78
2022-03-17,25.06
2022-03-18,26.58
2022-03-21,27.87
2022-03-22,24.68
2022-03-23,27.96
2022-03-24,27.83
2022-03-25,27.14
2022-03-28,27.48
2022-03-29,29.65
2022-03-30,28.65
2022-03-31,28.31
2022-04-01,31.2
2022-04-04,21.35
2022-04-05,18.76
2022-04-06,13.74
2022-04-07,17.5
2022-04-08,22.3
2022-04-11,11.02
2022-04-12,14.69
2022-04-13,21.56
2022-04-14,31.63
2022-04-18,37.04
2022-04-19,37.47
2022-04-20,31.68
2022-04-21,27.1
2022-04-22,24.07
2022-04-25,16.64
2022-04-26,16.77
2022-04-27,26.97
2022-04-28,25.41
2022-04-29,21.43
2022-05-02,24.98
2022-05-03,30.64
2022-05-04,33.97
2022-05-05,32.58
2022-05-06,31.33
2022-05-09,19.14
2022-05-10,27.18
2022-05-11,29.34
2022-05-12,22.47
2022-05-13,29.13
2022-05-16,34.01
2022-05-17,37.47
2022-05-18,32.45
2022-05-19,39.2
2022-05-20,38.42
2022-05-23,45.2
2022-05-24,41.7
2022-05-25,37.81
2022-05-26,40.67
2022-05-27,40.62
2022-05-31,41.4
2022-06-01,43.91
2022-06-02,35.05
2022-06-03,40.49
2022-06-06,38.59
2022-06-07,36.95
2022-06-08,22.3
2022-06-09,16.9
2022-06-10,16.51
2022-06-13,9.9
2022-06-14,13.57
2022-06-15,15.99
2022-06-16,14.56
2022-06-17,15.73
2022-06-21,16.55
2022-06-22,3.85
2022-06-23,8.51
2022-06-24,4.84
2022-06-27,12.19
2022-06-28,8.34
2022-06-29,7.48
2022-06-30,7.99
2022-07-01,1.12
2022-07-05,-2.64
2022-07-06,-8.73
2022-07-07,-2.68
2022-07-08,-2.94
2022-07-11,-3.46
2022-07-12,-4.15
2022-07-13,-3.72
2022-07-14,-3.07
2022-07-15,2.68
2022-07-18,5.88
2022-07-19,9.98
2022-07-20,10.93
2022-07-21,14.09
2022-07-22,9.94
2022-07-25,9.77
2022-07-26,10.67
2022-07-27,14.69
2022-07-28,12.49
2022-07-29,12.49
2022-08-01,16.68
2022-08-02,13.74
2022-08-03,9.9
2022-08-04,7.0
2022-08-05,10.54
2022-08-08,11.24
2022-08-09,12.36
2022-08-10,14.13
2022-08-11,15.9
2022-08-12,15.3
2022-08-15,11.62
2022-08-16,11.93
2022-08-17,11.71
2022-08-18,11.32
2022-08-19,7.99
2022-08-22,9.12
2022-08-23,11.02
2022-08-24,1.9
2022-08-25,-1.56
2022-08-26,-6.96
2022-08-29,-8.82
2022-08-30,-16.38
2022-08-31,-15.51
2022-09-01,-14.65
2022-09-02,-14.04
2022-09-06,-17.24
2022-09-07,-18.19
2022-09-08,-14.91
2022-09-09,-11.54
2022-09-12,-9.51
2022-09-13,-8.64
2022-09-14,-9.68
2022-09-15,-11.32
2022-09-16,-15.3
2022-09-19,-18.71
2022-09-20,-10.8
2022-09-21,-12.79
2022-09-22,-14.48
2022-09-23,-17.63
2022-09-26,-20.22
2022-09-27,-17.68
2022-09-28,-21.43
2022-09-29,-30.13
2022-09-30,-24.46
2022-10-03,-22.47
2022-10-04,-17.89
2022-10-05,-16.16
2022-10-06,-16.03
2022-10-07,-13.92
2022-10-10,-16.77
2022-10-11,-15.3
2022-10-12,-13.14
2022-10-13,-12.83
2022-10-14,-11.71
2022-10-17,-14.82
2022-10-18,-11.71
2022-10-19,-15.69
2022-10-20,-18.71
2022-10-21,-16.81
2022-10-24,-17.98
2022-10-25,-16.94
2022-10-26,-18.06
2022-10-27,-22.9
2022-10-28,-23.64
2022-10-31,-24.72
2022-11-01,-22.56
2022-11-02,-23.77
2022-11-03,-23.29
2022-11-04,-15.99
2022-11-07,-13.83
2022-11-08,-13.87
2022-11-09,-16.46
2022-11-10,-14.09
2022-11-11,-9.25
2022-11-14,-11.06
2022-11-15,-12.23
2022-11-16,-15.13
2022-11-17,-14.0
2022-11-18,-15.6
2022-11-21,-12.71
2022-11-22,-13.48
2022-11-23,-12.71
2022-11-25,-7.09
2022-11-28,-11.11
2022-11-29,-17.46
2022-11-30,-16.81
2022-12-01,-19.58
2022-12-02,-18.93
2022-12-05,-17.37
2022-12-06,-18.93
2022-12-07,-20.31
2022-12-08,-18.37
2022-12-09,-15.69
2022-12-12,-14.69
2022-12-13,-13.4
2022-12-14,-12.49
2022-12-15,-11.11
2022-12-16,-15.56
2022-12-19,-19.88
2022-12-20,-16.34
2022-12-21,-11.24
2022-12-22,-12.58
2022-12-23,-12.01
2022-12-27,-12.66
2022-12-28,-15.82
2022-12-29,-14.95
2022-12-30,-16.9
2023-01-03,-20.22
2023-01-04,-20.61
2023-01-05,-20.27
2023-01-06,-15.3
2023-01-09,-14.0
2023-01-10,-10.76
2023-01-11,-11.67
2023-01-12,-9.16
2023-01-13,-10.11
2023-01-17,-5.14
2023-01-18,-6.09
2023-01-19,-5.62
2023-01-20,-2.98
2023-01-23,-5.53
2023-01-24,-7.22
2023-01-25,-4.02
2023-01-26,-4.45
2023-01-27,1.08
2023-01-30,-2.12
2023-01-31,-1.82
2023-02-01,-2.51
2023-02-02,-4.36
2023-02-03,-4.15
