date,pct_chg
2022-02-04,0.22
2022-02-07,0.52
2022-02-08,1.15
2022-02-09,1.56
2022-02-10,2.3
2022-02-11,1.63
2022-02-14,1.56
2022-02-15,1.75
2022-02-16,2.2
2022-02-17,1.6
2022-02-18,2.51
2022-02-22,2.01
2022-02-23,2.41
2022-02-24,0.22
2022-02-25,1.96
2022-02-28,2.92
2022-03-01,4.68
2022-03-02,3.99
2022-03-03,5.0
2022-03-04,3.64
2022-03-07,3.44
2022-03-08,2.72
2022-03-09,2.73
2022-03-10,2.51
2022-03-11,1.01
2022-03-14,0.58
2022-03-15,1.56
2022-03-16,0.7
2022-03-17,1.77
2022-03-18,1.48
2022-03-21,2.73
2022-03-22,2.15
2022-03-23,2.82
2022-03-24,3.73
2022-03-25,4.04
2022-03-28,4.11
2022-03-29,4.44
2022-03-30,5.36
2022-03-31,4.06
2022-04-01,0.05
2022-04-04,-0.29
2022-04-05,-0.4
2022-04-06,0.17
2022-04-07,1.94
2022-04-08,2.87
2022-04-11,4.61
2022-04-12,4.35
2022-04-13,4.93
2022-04-14,4.99
2022-04-18,4.3
2022-04-19,3.08
2022-04-20,2.49
2022-04-21,0.29
2022-04-22,0.19
2022-04-25,1.22
2022-04-26,1.41
2022-04-27,-0.7
2022-04-28,1.65
2022-04-29,1.29
2022-05-02,1.53
2022-05-03,2.58
2022-05-04,4.21
2022-05-05,1.86
2022-05-06,1.81
2022-05-09,-0.52
2022-05-10,0.34
2022-05-11,-0.28
2022-05-12,0.03
2022-05-13,-0.45
2022-05-16,-0.43
2022-05-17,0.46
2022-05-18,-0.53
2022-05-19,-0.38
2022-05-20,0.12
2022-05-23,0.36
2022-05-24,2.8
2022-05-25,2.34
2022-05-26,2.87
2022-05-27,3.04
2022-05-31,1.7
2022-06-01,1.56
2022-06-02,1.82
2022-06-03,2.66
2022-06-06,1.43
2022-06-07,-0.48
2022-06-08,-1.94
2022-06-09,-2.99
2022-06-10,-6.12
2022-06-13,-8.06
2022-06-14,-9.01
2022-06-15,-8.44
2022-06-16,-7.53
2022-06-17,-8.32
2022-06-21,-7.5
2022-06-22,-6.58
2022-06-23,-8.05
2022-06-24,-6.21
2022-06-27,-6.27
2022-06-28,-6.21
2022-06-29,-6.22
2022-06-30,-5.29
2022-07-01,-5.76
2022-07-05,-6.65
2022-07-06,-7.94
2022-07-07,-6.82
2022-07-08,-6.31
2022-07-11,-7.46
2022-07-12,-7.24
2022-07-13,-6.76
2022-07-14,-8.11
2022-07-15,-7.79
2022-07-18,-7.32
2022-07-19,-6.72
2022-07-20,-7.65
2022-07-21,-8.44
2022-07-22,-8.58
2022-07-25,-7.72
2022-07-26,-7.22
2022-07-27,-7.63
2022-07-28,-8.61
2022-07-29,-7.12
2022-08-01,-7.36
2022-08-02,-7.29
2022-08-03,-9.64
2022-08-04,-9.39
2022-08-05,-8.08
2022-08-08,-8.82
2022-08-09,-7.48
2022-08-10,-7.7
2022-08-11,-7.08
2022-08-12,-7.79
2022-08-15,-8.13
2022-08-16,-7.74
2022-08-17,-8.34
2022-08-18,-7.63
2022-08-19,-8.13
2022-08-22,-8.39
2022-08-23,-8.94
2022-08-24,-9.44
2022-08-25,-8.89
2022-08-26,-10.3
2022-08-29,-8.8
2022-08-30,-10.09
2022-08-31,-11.26
2022-09-01,-11.17
2022-09-02,-11.6
2022-09-06,-12.27
2022-09-07,-12.58
2022-09-08,-13.13
2022-09-09,-11.55
2022-09-12,-10.47
2022-09-13,-11.31
2022-09-14,-11.57
2022-09-15,-11.4
2022-09-16,-10.68
2022-09-19,-11.21
2022-09-20,-13.8
2022-09-21,-14.56
2022-09-22,-14.58
2022-09-23,-15.95
2022-09-26,-18.22
2022-09-27,-17.95
2022-09-28,-16.83
2022-09-29,-17.96
2022-09-30,-19.49
2022-10-03,-18.02
2022-10-04,-17.11
2022-10-05,-19.22
2022-10-06,-21.21
2022-10-07,-22.12
2022-10-10,-22.21
2022-10-11,-22.45
2022-10-12,-23.16
2022-10-13,-23.05
2022-10-14,-23.17
2022-10-17,-21.32
2022-10-18,-20.78
2022-10-19,-22.14
2022-10-20,-22.19
2022-10-21,-22.52
2022-10-24,-22.16
2022-10-25,-21.28
2022-10-26,-20.39
2022-10-27,-17.04
2022-10-28,-15.85
2022-10-31,-15.3
2022-11-01,-15.88
2022-11-02,-15.18
2022-11-03,-17.33
2022-11-04,-15.4
2022-11-07,-14.13
2022-11-08,-14.58
2022-11-09,-12.79
2022-11-10,-10.68
2022-11-11,-10.56
2022-11-14,-9.94
2022-11-15,-10.11
2022-11-16,-10.3
2022-11-17,-10.57
2022-11-18,-9.58
2022-11-21,-8.92
2022-11-22,-9.3
2022-11-23,-8.44
2022-11-25,-8.44
2022-11-28,-7.96
2022-11-29,-8.84
2022-11-30,-7.29
2022-12-01,-5.31
2022-12-02,-6.1
2022-12-05,-7.51
2022-12-06,-6.22
2022-12-07,-6.95
2022-12-08,-6.34
2022-12-09,-5.64
2022-12-12,-6.27
2022-12-13,-5.45
2022-12-14,-5.17
2022-12-15,-5.54
2022-12-16,-7.79
2022-12-19,-7.87
2022-12-20,-7.05
2022-12-21,-6.55
2022-12-22,-6.29
2022-12-23,-6.29
2022-12-27,-6.07
2022-12-28,-6.58
2022-12-29,-4.93
2022-12-30,-5.59
2023-01-03,-5.09
2023-01-04,-3.76
2023-01-05,-2.87
2023-01-06,-1.29
2023-01-09,-0.83
2023-01-10,-0.31
2023-01-11,-0.15
2023-01-12,0.6
2023-01-13,0.0
2023-01-17,1.0
2023-01-18,0.03
2023-01-19,0.28
2023-01-20,0.74
2023-01-23,0.89
2023-01-24,1.75
2023-01-25,1.26
2023-01-26,0.53
2023-01-27,0.08
2023-01-30,0.74
2023-01-31,1.34
2023-02-01,3.32
2023-02-02,2.0
2023-02-03,1.07
