date,pct_chg
2022-02-04,-0.75
2022-02-07,0.12
2022-02-08,2.34
2022-02-09,4.05
2022-02-10,-1.15
2022-02-11,-1.72
2022-02-14,-2.06
2022-02-15,-2.25
2022-02-16,-4.62
2022-02-17,-3.99
2022-02-18,-4.46
2022-02-22,-4.65
2022-02-23,-5.74
2022-02-24,-4.3
2022-02-25,-2.68
2022-02-28,-1.5
2022-03-01,-1.72
2022-03-02,1.37
2022-03-03,3.49
2022-03-04,4.05
2022-03-07,4.46
2022-03-08,3.12
2022-03-09,3.09
2022-03-10,3.62
2022-03-11,2.81
2022-03-14,3.99
2022-03-15,4.87
2022-03-16,8.23
2022-03-17,9.45
2022-03-18,9.11
2022-03-21,10.67
2022-03-22,11.88
2022-03-23,9.45
2022-03-24,9.3
2022-03-25,11.35
2022-03-28,9.79
2022-03-29,10.11
2022-03-30,7.58
2022-03-31,8.52
2022-04-01,6.49
2022-04-04,7.33
2022-04-05,4.02
2022-04-06,2.18
2022-04-07,2.21
2022-04-08,1.37
2022-04-11,1.31
2022-04-12,2.65
2022-04-13,4.62
2022-04-14,5.4
2022-04-18,5.74
2022-04-19,7.33
2022-04-20,8.73
2022-04-21,6.99
2022-04-22,5.49
2022-04-25,8.83
2022-04-26,4.46
2022-04-27,4.65
2022-04-28,8.92
2022-04-29,6.8
2022-05-02,4.24
2022-05-03,5.68
2022-05-04,8.55
2022-05-05,6.3
2022-05-06,7.21
2022-05-09,7.95
2022-05-10,2.15
2022-05-11,10.14
2022-05-12,17.84
2022-05-13,17.59
2022-05-16,22.18
2022-05-17,25.86
2022-05-18,21.93
2022-05-19,18.47
2022-05-20,13.54
2022-05-23,14.6
2022-05-24,13.66
2022-05-25,17.22
2022-05-26,19.43
2022-05-27,21.18
2022-05-31,20.84
2022-06-01,20.8
2022-06-02,22.71
2022-06-03,20.62
2022-06-06,22.89
2022-06-07,22.8
2022-06-08,19.56
2022-06-09,16.69
2022-06-10,14.38
2022-06-13,6.46
2022-06-14,6.99
2022-06-15,7.83
2022-06-16,-0.9
2022-06-17,-2.09
2022-06-21,1.0
2022-06-22,-0.53
2022-06-23,-2.06
2022-06-24,1.97
2022-06-27,2.93
2022-06-28,1.22
2022-06-29,-3.81
2022-06-30,-2.87
2022-07-01,-2.81
2022-07-05,-5.15
2022-07-06,-7.74
2022-07-07,-4.77
2022-07-08,-3.71
2022-07-11,-4.77
2022-07-12,-4.02
2022-07-13,-4.55
2022-07-14,-5.27
2022-07-15,-4.49
2022-07-18,-4.27
2022-07-19,-0.47
2022-07-20,2.0
2022-07-21,0.03
2022-07-22,-1.72
2022-07-25,-1.37
2022-07-26,-1.56
2022-07-27,-0.25
2022-07-28,-0.81
2022-07-29,-0.34
2022-08-01,1.31
2022-08-02,0.69
