date,pct_chg
2022-02-04,0.2
2022-02-07,0.43
2022-02-08,-2.45
2022-02-09,1.35
2022-02-10,-0.93
2022-02-11,-1.73
2022-02-14,-1.82
2022-02-15,0.38
2022-02-16,1.64
2022-02-17,1.4
2022-02-18,0.4
2022-02-22,1.67
2022-02-23,1.81
2022-02-24,3.89
2022-02-25,7.3
2022-02-28,9.95
2022-03-01,10.59
2022-03-02,11.26
2022-03-03,8.41
2022-03-04,2.9
2022-03-07,-3.68
2022-03-08,-4.39
2022-03-09,4.19
2022-03-10,2.24
2022-03-11,2.19
2022-03-14,1.94
2022-03-15,2.82
2022-03-16,8.86
2022-03-17,7.82
2022-03-18,12.27
2022-03-21,11.42
2022-03-22,11.67
2022-03-23,10.7
2022-03-24,10.09
2022-03-25,9.15
2022-03-28,11.19
2022-03-29,18.23
2022-03-30,17.83
2022-03-31,19.4
2022-04-01,19.45
2022-04-04,17.87
2022-04-05,19.34
2022-04-06,16.39
2022-04-07,17.1
2022-04-08,14.38
2022-04-11,14.19
2022-04-12,14.61
2022-04-13,15.65
2022-04-14,14.85
2022-04-18,14.42
2022-04-19,14.99
2022-04-20,14.25
2022-04-21,10.67
2022-04-22,5.96
2022-04-25,6.41
2022-04-26,2.98
2022-04-27,3.16
2022-04-28,6.09
2022-04-29,3.11
2022-05-02,1.5
2022-05-03,1.88
2022-05-04,3.35
2022-05-05,2.01
2022-05-06,0.93
2022-05-09,-7.95
2022-05-10,-7.0
2022-05-11,-6.78
2022-05-12,-10.2
2022-05-13,-5.16
2022-05-16,-4.22
2022-05-17,-4.1
2022-05-18,-10.4
2022-05-19,-6.51
2022-05-20,-5.27
2022-05-23,-3.97
2022-05-24,-3.31
2022-05-25,-4.52
2022-05-26,-3.12
2022-05-27,1.72
2022-05-31,1.1
2022-06-01,-2.22
2022-06-02,0.94
2022-06-03,-0.7
2022-06-06,-1.2
2022-06-07,-0.63
2022-06-08,-1.51
2022-06-09,-3.85
2022-06-10,-6.07
2022-06-13,-10.94
2022-06-14,-11.17
2022-06-15,-10.4
2022-06-16,-16.87
2022-06-17,-17.61
2022-06-21,-15.88
2022-06-22,-13.11
2022-06-23,-10.46
2022-06-24,-7.74
2022-06-27,-9.12
2022-06-28,-10.37
2022-06-29,-9.49
2022-06-30,-9.18
2022-07-01,-7.42
2022-07-05,-6.63
2022-07-06,-6.04
2022-07-07,-6.3
2022-07-08,-5.77
2022-07-11,-5.34
2022-07-12,-6.67
2022-07-13,-6.08
2022-07-14,-6.37
2022-07-15,-3.73
2022-07-18,-4.17
2022-07-19,-2.71
2022-07-20,-4.14
2022-07-21,-0.03
2022-07-22,-0.03
2022-07-25,-1.48
2022-07-26,-0.2
2022-07-27,0.7
2022-07-28,1.61
2022-07-29,2.34
2022-08-01,2.44
2022-08-02,1.03
2022-08-03,3.01
2022-08-04,4.03
2022-08-05,2.39
2022-08-08,2.07
2022-08-09,1.23
2022-08-10,0.71
2022-08-11,3.39
2022-08-12,3.12
2022-08-15,2.09
2022-08-16,-14.69
2022-08-17,-17.34
2022-08-18,-17.77
2022-08-19,-16.22
2022-08-22,-18.07
2022-08-23,-18.88
2022-08-24,-19.72
2022-08-25,-18.73
2022-08-26,-22.2
2022-08-29,-23.24
2022-08-30,-24.65
2022-08-31,-24.97
2022-09-01,-26.11
2022-09-02,-26.48
2022-09-06,-28.13
2022-09-07,-27.68
2022-09-08,-27.55
2022-09-09,-25.99
2022-09-12,-26.24
2022-09-13,-30.06
2022-09-14,-29.03
2022-09-15,-30.9
2022-09-16,-33.79
2022-09-19,-32.01
2022-09-20,-32.42
2022-09-21,-34.18
2022-09-22,-35.77
2022-09-23,-37.79
2022-09-26,-38.63
2022-09-27,-38.52
2022-09-28,-36.48
2022-09-29,-38.25
2022-09-30,-37.17
2022-10-03,-36.85
2022-10-04,-34.06
2022-10-05,-34.6
2022-10-06,-36.07
2022-10-07,-38.34
2022-10-10,-37.19
2022-10-11,-38.58
2022-10-12,-39.72
2022-10-13,-37.65
2022-10-14,-37.27
2022-10-17,-33.69
2022-10-18,-32.93
2022-10-19,-35.13
2022-10-20,-34.16
2022-10-21,-34.07
2022-10-24,-33.35
2022-10-25,-31.22
2022-10-26,-30.03
2022-10-27,-32.79
2022-10-28,-32.31
2022-10-31,-32.72
2022-11-01,-33.33
2022-11-02,-36.06
2022-11-03,-37.89
2022-11-04,-35.19
2022-11-07,-35.1
2022-11-08,-32.76
2022-11-09,-32.73
2022-11-10,-27.02
2022-11-11,-23.59
2022-11-14,-25.41
2022-11-15,-24.53
2022-11-16,-25.64
2022-11-17,-25.59
2022-11-18,-24.75
2022-11-21,-26.48
2022-11-22,-25.82
2022-11-23,-24.98
2022-11-25,-24.63
2022-11-28,-26.09
2022-11-29,-27.48
2022-11-30,-26.82
2022-12-01,-24.6
2022-12-02,-23.94
2022-12-05,-25.84
2022-12-06,-27.15
2022-12-07,-26.15
2022-12-08,-26.32
2022-12-09,-25.41
2022-12-12,-26.11
2022-12-13,-25.35
2022-12-14,-27.15
2022-12-15,-31.1
2022-12-16,-33.22
2022-12-19,-34.02
2022-12-20,-34.27
2022-12-21,-33.3
2022-12-22,-33.86
2022-12-23,-34.02
2022-12-27,-34.02
2022-12-28,-33.75
2022-12-29,-31.61
2022-12-30,-32.56
2023-01-03,-31.79
2023-01-04,-30.87
2023-01-05,-29.91
2023-01-06,-29.84
2023-01-09,-28.86
2023-01-10,-29.03
2023-01-11,-29.12
2023-01-12,-29.0
2023-01-13,-27.69
2023-01-17,-26.81
2023-01-18,-27.5
2023-01-19,-27.53
2023-01-20,-29.1
2023-01-23,-28.69
2023-01-24,-27.92
2023-01-25,-29.3
2023-01-26,-28.27
2023-01-27,-27.31
2023-01-30,-27.16
2023-01-31,-28.76
2023-02-01,-26.46
2023-02-02,-23.31
2023-02-03,-24.18
