date,pct_chg
2022-02-04,0.74
2022-02-07,0.0
2022-02-08,0.87
2022-02-09,0.47
2022-02-10,1.88
2022-02-11,-0.67
2022-02-14,-1.35
2022-02-15,-1.01
2022-02-16,1.21
2022-02-17,-0.07
2022-02-18,2.02
2022-02-22,4.31
2022-02-23,4.44
2022-02-24,3.97
2022-02-25,5.38
2022-02-28,4.17
2022-03-01,4.98
2022-03-02,7.47
2022-03-03,7.87
2022-03-04,7.81
2022-03-07,8.21
2022-03-08,5.72
2022-03-09,9.35
2022-03-10,9.49
2022-03-11,5.72
2022-03-14,5.99
2022-03-15,6.59
2022-03-16,8.34
2022-03-17,8.48
2022-03-18,10.03
2022-03-21,12.05
2022-03-22,12.25
2022-03-23,11.78
2022-03-24,10.5
2022-03-25,9.49
2022-03-28,8.34
2022-03-29,6.73
2022-03-30,7.07
2022-03-31,6.06
2022-04-01,7.6
2022-04-04,9.35
2022-04-05,10.43
2022-04-06,9.89
2022-04-07,11.78
2022-04-08,11.1
2022-04-11,12.38
2022-04-12,11.37
2022-04-13,9.89
2022-04-14,11.31
2022-04-18,9.42
2022-04-19,11.04
2022-04-20,13.06
2022-04-21,11.37
2022-04-22,9.08
2022-04-25,9.56
2022-04-26,8.21
2022-04-27,7.07
2022-04-28,9.56
2022-04-29,6.33
2022-05-02,6.33
2022-05-03,6.86
2022-05-04,9.35
2022-05-05,7.2
2022-05-06,6.26
2022-05-09,2.96
2022-05-10,1.88
2022-05-11,0.34
2022-05-12,0.61
2022-05-13,2.69
2022-05-16,1.88
2022-05-17,3.9
2022-05-18,0.27
2022-05-19,1.88
2022-05-20,1.28
2022-05-23,1.82
2022-05-24,2.42
2022-05-25,2.29
2022-05-26,2.96
2022-05-27,3.63
2022-05-31,4.98
2022-06-01,4.98
2022-06-02,5.85
2022-06-03,3.63
2022-06-06,3.43
2022-06-07,4.44
2022-06-08,3.63
2022-06-09,2.09
2022-06-10,0.61
2022-06-13,-2.89
2022-06-14,-6.06
2022-06-15,-1.82
2022-06-16,-1.75
2022-06-17,-2.09
2022-06-21,0.0
2022-06-22,1.14
2022-06-23,1.14
2022-06-24,2.69
2022-06-27,4.31
2022-06-28,0.67
2022-06-29,-0.47
2022-06-30,0.61
2022-07-01,2.83
2022-07-05,0.0
2022-07-06,1.68
2022-07-07,1.55
2022-07-08,3.1
2022-07-11,0.47
2022-07-12,4.04
2022-07-13,4.78
2022-07-14,4.1
2022-07-15,2.42
2022-07-18,3.1
2022-07-19,5.52
2022-07-20,4.98
2022-07-21,5.18
2022-07-22,4.85
2022-07-25,5.59
2022-07-26,3.97
2022-07-27,6.86
2022-07-28,6.73
2022-07-29,7.4
2022-08-01,8.01
2022-08-02,7.27
2022-08-03,10.43
2022-08-04,10.09
2022-08-05,9.42
2022-08-08,8.41
2022-08-09,8.01
2022-08-10,11.04
2022-08-11,9.35
2022-08-12,11.64
2022-08-15,8.34
2022-08-16,9.96
2022-08-17,9.69
2022-08-18,11.84
2022-08-19,8.82
2022-08-22,11.04
2022-08-23,10.3
2022-08-24,11.71
2022-08-25,11.84
2022-08-26,7.07
2022-08-29,10.83
2022-08-30,9.89
2022-08-31,10.7
2022-09-01,9.62
2022-09-02,10.5
2022-09-06,10.77
2022-09-07,11.98
2022-09-08,12.52
2022-09-09,12.72
2022-09-12,14.13
2022-09-13,9.08
2022-09-14,5.52
2022-09-15,3.97
