date,pct_chg
2022-02-04,1.02
2022-02-07,5.44
2022-02-08,7.4
2022-02-09,11.55
2022-02-10,18.79
2022-02-11,22.23
2022-02-14,22.02
2022-02-15,24.41
2022-02-16,25.45
2022-02-17,19.4
2022-02-18,16.56
2022-02-22,14.58
2022-02-23,13.43
2022-02-24,15.42
2022-02-25,22.13
2022-02-28,25.51
2022-03-01,21.35
2022-03-02,24.9
2022-03-03,39.58
2022-03-04,48.21
2022-03-07,36.68
2022-03-08,38.4
2022-03-09,42.29
2022-03-10,47.03
2022-03-11,41.95
2022-03-14,33.43
2022-03-15,34.29
2022-03-16,38.5
2022-03-17,42.63
2022-03-18,46.37
2022-03-21,52.46
2022-03-22,52.02
2022-03-23,51.81
2022-03-24,59.0
2022-03-25,60.69
2022-03-28,56.36
2022-03-29,57.99
2022-03-30,62.22
2022-03-31,62.34
2022-04-01,68.31
2022-04-04,69.03
2022-04-05,62.87
2022-04-06,61.2
2022-04-07,62.43
2022-04-08,62.18
2022-04-11,54.66
2022-04-12,56.57
2022-04-13,60.57
2022-04-14,56.65
2022-04-18,58.49
2022-04-19,61.6
2022-04-20,63.57
2022-04-21,49.48
2022-04-22,47.37
2022-04-25,41.36
2022-04-26,35.41
2022-04-27,39.33
2022-04-28,41.12
2022-04-29,39.96
2022-05-02,38.52
2022-05-03,42.04
2022-05-04,52.27
2022-05-05,52.23
2022-05-06,49.57
2022-05-09,41.48
2022-05-10,41.25
2022-05-11,43.3
2022-05-12,44.93
2022-05-13,58.56
2022-05-16,58.15
2022-05-17,70.38
2022-05-18,71.08
2022-05-19,80.6
2022-05-20,81.04
2022-05-23,92.47
2022-05-24,90.2
2022-05-25,91.71
2022-05-26,103.19
2022-05-27,114.93
2022-05-31,101.35
2022-06-01,91.05
2022-06-02,96.91
2022-06-03,95.41
2022-06-06,96.32
2022-06-07,92.28
2022-06-08,86.57
2022-06-09,81.83
2022-06-10,82.14
2022-06-13,75.67
2022-06-14,76.86
2022-06-15,78.15
2022-06-16,67.65
2022-06-17,71.23
2022-06-21,77.49
2022-06-22,71.55
2022-06-23,64.18
2022-06-24,69.32
2022-06-27,75.57
2022-06-28,65.16
2022-06-29,59.87
2022-06-30,58.41
2022-07-01,60.57
2022-07-05,60.57
2022-07-06,58.07
2022-07-07,69.09
2022-07-08,64.02
2022-07-11,56.8
2022-07-12,54.24
2022-07-13,57.63
2022-07-14,54.28
2022-07-15,61.31
2022-07-18,62.81
2022-07-19,69.24
2022-07-20,68.33
2022-07-21,74.47
2022-07-22,71.86
2022-07-25,80.94
2022-07-26,77.58
2022-07-27,83.97
2022-07-28,84.45
2022-07-29,86.55
2022-08-01,85.93
2022-08-02,86.04
2022-08-03,80.07
2022-08-04,79.67
2022-08-05,75.97
2022-08-08,82.21
2022-08-09,84.81
2022-08-10,91.77
2022-08-11,93.02
2022-08-12,106.14
2022-08-15,111.28
2022-08-16,100.46
2022-08-17,98.03
2022-08-18,78.3
2022-08-19,70.81
2022-08-22,77.75
2022-08-23,87.98
2022-08-24,93.32
2022-08-25,100.82
2022-08-26,98.81
2022-08-29,99.15
2022-08-30,94.1
2022-08-31,89.04
2022-09-01,85.17
2022-09-02,92.09
2022-09-06,96.68
2022-09-07,100.15
2022-09-08,111.02
2022-09-09,110.73
2022-09-12,106.24
2022-09-13,105.75
2022-09-14,115.29
2022-09-15,98.22
2022-09-16,97.52
2022-09-19,102.98
2022-09-20,98.48
2022-09-21,96.49
2022-09-22,86.36
2022-09-23,78.17
2022-09-26,74.11
2022-09-27,78.68
2022-09-28,80.79
2022-09-29,66.62
2022-09-30,72.1
2022-10-03,75.44
2022-10-04,84.89
2022-10-05,76.83
2022-10-06,78.34
2022-10-07,70.78
2022-10-10,74.25
2022-10-11,72.08
2022-10-12,57.63
2022-10-13,63.8
2022-10-14,56.72
2022-10-17,66.09
2022-10-18,69.45
2022-10-19,70.97
2022-10-20,68.82
2022-10-21,78.42
2022-10-24,74.06
2022-10-25,83.41
2022-10-26,84.6
2022-10-27,83.58
2022-10-28,80.47
2022-10-31,77.66
2022-11-01,77.81
2022-11-02,73.54
2022-11-03,78.99
2022-11-04,83.39
2022-11-07,85.89
2022-11-08,103.15
2022-11-09,95.77
2022-11-10,104.34
2022-11-11,110.56
2022-11-14,99.09
2022-11-15,94.39
2022-11-16,89.3
2022-11-17,71.86
2022-11-18,71.12
2022-11-21,87.39
2022-11-22,84.22
2022-11-23,88.47
2022-11-25,75.65
2022-11-28,72.58
2022-11-29,79.35
2022-11-30,88.05
2022-12-01,84.18
2022-12-02,89.36
2022-12-05,80.43
2022-12-06,78.32
2022-12-07,81.02
2022-12-08,73.62
2022-12-09,73.43
2022-12-12,76.24
2022-12-13,77.98
2022-12-14,70.62
2022-12-15,60.91
2022-12-16,61.67
2022-12-19,59.07
2022-12-20,61.67
2022-12-21,59.95
2022-12-22,55.98
2022-12-23,55.79
2022-12-27,47.49
2022-12-28,45.38
2022-12-29,49.59
2022-12-30,51.41
2023-01-03,45.59
2023-01-04,48.28
2023-01-05,48.87
2023-01-06,51.11
2023-01-09,55.34
2023-01-10,51.56
2023-01-11,60.08
2023-01-12,61.31
2023-01-13,58.68
2023-01-17,60.33
2023-01-18,60.82
2023-01-19,59.51
2023-01-20,63.06
2023-01-23,71.27
2023-01-24,76.2
2023-01-25,75.4
2023-01-26,78.08
2023-01-27,79.42
2023-01-30,81.4
2023-01-31,84.98
2023-02-01,83.2
2023-02-02,85.36
2023-02-03,84.13
