date,pct_chg
2022-02-03,0.0
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.1
2022-02-10,0.1
2022-02-11,0.1
2022-02-14,0.1
2022-02-15,0.1
2022-02-16,0.1
2022-02-17,0.1
2022-02-18,0.1
2022-02-22,0.1
2022-02-23,0.1
2022-02-24,0.2
2022-02-25,-0.1
2022-02-28,-0.1
2022-03-01,0.1
2022-03-02,0.1
2022-03-03,0.1
2022-03-04,0.1
2022-03-07,0.3
2022-03-08,0.3
2022-03-09,0.2
2022-03-10,0.2
2022-03-11,0.2
2022-03-14,0.2
2022-03-15,0.2
2022-03-16,0.2
2022-03-17,0.2
2022-03-18,0.2
2022-03-21,0.41
2022-03-22,0.41
2022-03-23,0.41
2022-03-24,0.41
2022-03-25,0.41
2022-03-28,0.41
2022-03-29,0.41
2022-03-30,0.41
2022-03-31,0.3
2022-04-01,0.3
2022-04-04,0.3
2022-04-05,0.66
2022-04-06,0.91
2022-04-07,0.51
2022-04-08,0.51
2022-04-11,0.51
2022-04-12,0.51
2022-04-13,0.51
2022-04-14,0.51
2022-04-18,0.51
2022-04-19,0.51
2022-04-20,0.51
2022-04-21,0.51
2022-04-22,0.51
2022-04-25,0.51
2022-04-26,0.51
2022-04-27,0.51
2022-04-28,0.91
2022-04-29,0.91
2022-05-02,1.22
2022-05-03,1.12
2022-05-04,1.63
2022-05-05,1.17
2022-05-06,1.02
2022-05-09,1.02
2022-05-10,1.02
2022-05-11,1.02
2022-05-12,1.02
2022-05-13,1.02
2022-05-16,1.02
2022-05-17,1.02
2022-05-18,1.02
2022-05-19,0.41
2022-05-20,0.41
2022-05-23,1.22
2022-05-24,1.22
2022-05-25,1.22
2022-05-26,0.81
2022-05-27,0.81
2022-05-31,0.81
2022-06-01,0.81
2022-06-02,0.41
2022-06-03,0.61
2022-06-06,1.02
2022-06-07,1.02
2022-06-08,1.02
2022-06-09,1.02
2022-06-10,0.81
2022-06-13,0.81
2022-06-14,0.86
2022-06-15,0.86
2022-06-16,0.81
2022-06-17,0.81
2022-06-21,0.81
2022-06-22,0.81
2022-06-23,0.81
2022-06-24,0.81
2022-06-27,0.51
2022-06-28,0.81
2022-06-29,0.81
2022-06-30,0.81
2022-07-01,0.81
2022-07-05,0.81
2022-07-06,0.91
2022-07-07,0.91
2022-07-08,0.91
2022-07-11,0.91
2022-07-12,0.91
2022-07-13,0.91
2022-07-14,0.91
2022-07-15,0.91
2022-07-18,1.02
2022-07-19,1.02
2022-07-20,1.02
2022-07-21,1.02
2022-07-22,1.02
2022-07-25,1.02
2022-07-26,1.52
2022-07-27,1.22
2022-07-28,1.22
2022-07-29,1.22
2022-08-01,1.42
2022-08-02,1.42
2022-08-03,1.42
2022-08-04,1.42
2022-08-05,1.42
2022-08-08,1.42
2022-08-09,1.42
2022-08-10,1.42
2022-08-11,1.42
2022-08-12,1.42
2022-08-15,1.42
2022-08-16,1.42
2022-08-17,1.32
2022-08-18,1.32
2022-08-19,1.32
2022-08-22,1.32
2022-08-23,1.32
2022-08-24,1.32
2022-08-25,1.32
2022-08-26,1.12
2022-08-29,1.22
2022-08-30,1.22
2022-08-31,1.12
2022-09-01,1.63
2022-09-02,1.63
2022-09-06,1.63
2022-09-07,1.63
2022-09-08,1.63
2022-09-09,1.63
2022-09-12,1.63
2022-09-13,1.63
2022-09-14,1.12
2022-09-15,1.32
2022-09-16,1.32
2022-09-19,1.32
2022-09-20,1.52
2022-09-21,1.52
2022-09-22,1.63
2022-09-23,1.63
2022-09-26,1.63
2022-09-27,1.63
2022-09-28,1.93
2022-09-29,1.93
2022-09-30,1.93
2022-10-03,1.93
2022-10-04,1.93
2022-10-05,1.93
2022-10-06,1.63
2022-10-07,1.63
2022-10-10,1.42
2022-10-11,1.42
2022-10-12,1.42
2022-10-13,1.73
2022-10-14,1.73
2022-10-17,1.73
2022-10-18,1.73
2022-10-19,1.83
2022-10-20,1.63
2022-10-21,1.63
2022-10-24,1.63
2022-10-25,1.63
2022-10-26,1.83
2022-10-27,1.83
2022-10-28,1.83
2022-10-31,1.83
2022-11-01,1.83
2022-11-02,1.83
2022-11-03,2.64
2022-11-04,2.74
2022-11-07,2.74
2022-11-08,2.54
2022-11-09,2.85
2022-11-10,2.85
2022-11-11,2.34
2022-11-14,2.44
2022-11-15,2.13
2022-11-16,2.13
2022-11-17,2.13
2022-11-18,2.13
2022-11-21,2.13
2022-11-22,2.74
2022-11-23,2.74
2022-11-25,2.74
2022-11-28,2.34
2022-11-29,2.24
2022-11-30,2.24
2022-12-01,2.24
2022-12-02,2.24
2022-12-05,2.24
2022-12-06,2.24
2022-12-07,2.64
2022-12-08,2.64
2022-12-09,2.64
2022-12-12,2.64
2022-12-13,2.64
2022-12-14,3.03
2022-12-15,3.03
2022-12-16,2.74
2022-12-19,2.74
2022-12-20,2.74
2022-12-21,2.74
2022-12-22,2.74
2022-12-23,2.74
2022-12-27,3.15
2022-12-28,3.66
2022-12-29,3.66
2022-12-30,3.66
2023-01-03,4.17
2023-01-04,4.17
2023-01-05,4.17
2023-01-06,4.17
2023-01-09,4.17
2023-01-10,4.17
2023-01-11,3.86
2023-01-12,3.86
2023-01-13,3.86
2023-01-17,4.07
2023-01-18,3.96
2023-01-19,4.27
2023-01-20,4.07
2023-01-23,4.07
2023-01-24,4.17
2023-01-25,4.17
2023-01-26,4.17
2023-01-27,4.17
2023-01-30,4.17
2023-02-01,4.17
2023-02-02,4.17
2023-02-03,4.17
