date,pct_chg
2022-01-28,-0.79
2022-01-31,5.54
2022-02-01,6.98
2022-02-02,9.72
2022-02-03,7.42
2022-02-04,4.9
2022-02-07,5.83
2022-02-08,8.14
2022-02-09,11.09
2022-02-10,8.78
2022-02-11,5.98
2022-02-14,4.82
2022-02-15,8.64
2022-02-16,10.87
2022-02-17,9.65
2022-02-18,6.91
2022-02-22,4.75
2022-02-23,21.31
2022-02-24,30.17
2022-02-25,32.83
2022-02-28,36.0
2022-03-01,36.36
2022-03-02,38.16
2022-03-03,33.77
2022-03-04,29.45
2022-03-07,33.62
2022-03-08,31.61
2022-03-09,36.14
2022-03-10,36.29
2022-03-11,33.26
2022-03-14,26.42
2022-03-15,27.0
2022-03-16,28.08
2022-03-17,32.69
2022-03-18,37.01
2022-03-21,30.24
2022-03-22,32.54
2022-03-23,31.75
2022-03-24,30.89
2022-03-25,29.16
2022-03-28,28.01
2022-03-29,30.09
2022-03-30,28.65
2022-03-31,29.88
2022-04-01,25.34
2022-04-04,26.93
2022-04-05,23.9
2022-04-06,21.31
2022-04-07,21.89
2022-04-08,18.07
2022-04-11,18.43
2022-04-12,18.72
2022-04-13,21.09
2022-04-14,18.43
2022-04-18,14.61
2022-04-19,21.17
2022-04-20,23.69
2022-04-21,21.31
2022-04-22,18.57
2022-04-25,19.37
2022-04-26,15.26
2022-04-27,12.67
2022-04-28,15.91
2022-04-29,13.1
2022-05-02,12.89
2022-05-03,19.22
2022-05-04,23.61
2022-05-05,19.08
2022-05-06,18.65
2022-05-09,11.16
2022-05-10,14.33
2022-05-11,17.42
2022-05-12,35.28
2022-05-13,48.45
2022-05-16,49.89
2022-05-17,54.5
2022-05-18,52.92
2022-05-19,54.79
2022-05-20,51.04
2022-05-23,51.33
2022-05-24,48.16
2022-05-25,49.39
2022-05-26,57.16
2022-05-27,61.27
2022-05-31,59.76
2022-06-01,66.45
2022-06-02,73.58
2022-06-03,78.26
2022-06-06,73.22
2022-06-07,75.95
2022-06-08,68.83
2022-06-09,66.38
2022-06-10,65.23
2022-06-13,55.36
2022-06-14,55.65
2022-06-15,63.14
2022-06-16,50.4
2022-06-17,52.05
2022-06-21,63.5
2022-06-22,62.71
2022-06-23,63.86
2022-06-24,62.28
2022-06-27,66.45
2022-06-28,70.99
2022-06-29,60.33
2022-06-30,68.47
2022-07-01,62.71
2022-07-05,68.75
2022-07-06,73.07
2022-07-07,79.63
2022-07-08,79.48
2022-07-11,72.79
2022-07-12,83.8
2022-07-13,83.95
2022-07-14,85.39
2022-07-15,84.16
2022-07-18,85.53
2022-07-19,87.83
2022-07-20,85.39
2022-07-21,84.88
2022-07-22,73.43
2022-07-25,57.96
2022-07-26,64.72
2022-07-27,65.44
2022-07-28,74.66
2022-07-29,79.12
2022-08-01,113.82
2022-08-02,102.66
2022-08-03,121.45
2022-08-04,120.23
2022-08-05,120.09
2022-08-08,119.8
2022-08-09,120.95
2022-08-10,121.38
2022-08-11,120.52
2022-08-12,120.81
2022-08-15,121.38
2022-08-16,120.88
2022-08-17,121.31
2022-08-18,121.89
2022-08-19,122.46
2022-08-22,121.89
2022-08-23,122.1
2022-08-24,122.61
2022-08-25,122.68
2022-08-26,122.25
2022-08-29,122.25
2022-08-30,122.17
2022-08-31,121.6
2022-09-01,120.81
2022-09-02,121.6
2022-09-06,121.38
2022-09-07,121.89
2022-09-08,121.53
2022-09-09,121.96
2022-09-12,121.96
2022-09-13,121.81
2022-09-14,121.81
2022-09-15,121.38
2022-09-16,121.31
2022-09-19,121.31
2022-09-20,121.24
2022-09-21,120.95
2022-09-22,120.88
2022-09-23,120.59
2022-09-26,120.3
2022-09-27,121.67
2022-09-28,120.37
2022-09-29,119.44
2022-09-30,119.15
2022-10-03,119.65
2022-10-04,119.65
2022-10-05,119.65
2022-10-06,120.16
2022-10-07,120.3
2022-10-10,120.3
2022-10-11,120.01
2022-10-12,120.01
2022-10-13,120.73
2022-10-14,121.53
2022-10-17,121.74
2022-10-18,111.09
2022-10-19,111.66
2022-10-20,112.38
2022-10-21,112.6
2022-10-24,114.04
2022-10-25,114.76
2022-10-26,115.33
2022-10-27,114.33
2022-10-28,113.46
2022-10-31,113.68
2022-11-01,114.11
2022-11-02,111.74
2022-11-03,111.16
2022-11-04,110.37
2022-11-07,110.08
2022-11-08,110.44
2022-11-09,108.06
2022-11-10,109.65
2022-11-11,106.62
2022-11-14,105.18
2022-11-15,107.56
2022-11-16,106.26
2022-11-17,106.26
2022-11-18,107.13
2022-11-21,106.84
2022-11-22,107.56
2022-11-23,110.22
2022-11-25,109.43
2022-11-28,107.92
2022-11-29,109.14
2022-11-30,111.16
2022-12-01,111.38
2022-12-02,110.37
2022-12-05,110.44
2022-12-06,110.22
2022-12-07,109.58
2022-12-08,109.43
2022-12-09,108.5
2022-12-12,109.5
2022-12-13,109.58
2022-12-14,110.37
2022-12-15,109.79
2022-12-16,109.72
2022-12-19,108.28
2022-12-20,108.78
2022-12-21,108.64
2022-12-22,107.63
2022-12-23,107.7
2022-12-27,108.35
2022-12-28,108.14
2022-12-29,108.5
2022-12-30,108.71
2023-01-03,108.06
2023-01-04,108.21
2023-01-05,110.51
2023-01-06,123.04
2023-01-09,123.04
2023-01-10,123.11
2023-01-11,123.04
2023-01-12,123.11
2023-01-13,123.11
2023-01-23,-100.0
