date,pct_chg
2022-02-03,-1.71
2022-02-04,-2.28
2022-02-07,-0.57
2022-02-08,-1.43
2022-02-09,1.05
2022-02-10,-1.9
2022-02-11,-3.23
2022-02-14,-5.7
2022-02-15,-4.94
2022-02-16,-7.13
2022-02-17,-7.89
2022-02-18,-5.7
2022-02-22,-11.6
2022-02-23,-14.73
2022-02-24,-14.45
2022-02-25,-20.82
2022-02-28,-24.33
2022-03-01,-30.13
2022-03-02,-26.71
2022-03-03,-23.95
2022-03-04,-21.67
2022-03-07,-21.48
2022-03-08,-19.2
2022-03-09,-15.97
2022-03-10,-16.83
2022-03-11,-16.25
2022-03-14,-18.35
2022-03-15,-17.11
2022-03-16,-22.53
2022-03-17,-22.53
2022-03-18,-24.52
2022-03-21,-24.71
2022-03-22,-20.34
2022-03-23,-18.54
2022-03-24,-19.2
2022-03-25,-19.58
2022-03-28,-26.71
2022-03-29,-24.33
2022-03-30,-23.38
2022-03-31,-21.86
2022-04-01,-12.83
2022-04-04,-10.17
2022-04-05,-8.84
2022-04-06,-9.03
2022-04-07,-11.5
2022-04-08,-10.27
2022-04-11,-8.37
2022-04-12,-16.35
2022-04-13,-11.41
2022-04-14,-7.51
2022-04-18,-3.23
2022-04-19,11.69
2022-04-20,9.6
2022-04-21,1.43
2022-04-22,0.95
2022-04-25,12.64
2022-04-26,4.47
2022-04-27,3.33
2022-04-28,-7.51
2022-04-29,-12.26
2022-05-02,-14.73
2022-05-03,-11.6
2022-05-04,-7.13
2022-05-05,-15.49
2022-05-06,-24.05
2022-05-09,-28.71
2022-05-10,-30.42
2022-05-11,-30.51
2022-05-12,-19.96
2022-05-13,-13.12
2022-05-16,-9.51
2022-05-17,-4.94
2022-05-18,-9.03
2022-05-19,-5.42
2022-05-20,-8.84
2022-05-23,-6.27
2022-05-24,-12.83
2022-05-25,-17.78
2022-05-26,-23.19
2022-05-27,-19.68
2022-05-31,-20.72
2022-06-01,-19.3
2022-06-02,-14.16
2022-06-03,-9.7
2022-06-06,-10.74
2022-06-07,-5.61
2022-06-08,-10.17
2022-06-09,-14.92
2022-06-10,-14.35
2022-06-13,-22.15
2022-06-14,-15.4
2022-06-15,-6.18
2022-06-16,-6.94
2022-06-17,-2.38
2022-06-21,4.56
2022-06-22,3.33
2022-06-23,-3.33
2022-06-24,-8.17
2022-06-27,1.24
2022-06-28,-5.42
2022-06-29,-4.85
2022-06-30,-7.98
2022-07-01,-8.37
2022-07-05,-3.99
2022-07-06,1.52
2022-07-07,3.33
2022-07-08,3.33
2022-07-11,-2.95
2022-07-12,-6.27
2022-07-13,-5.13
2022-07-14,-4.56
2022-07-15,-1.81
2022-07-18,-14.45
2022-07-19,-9.51
2022-07-20,-9.32
2022-07-21,-8.94
2022-07-22,-14.07
2022-07-25,-14.92
2022-07-26,-11.31
2022-07-27,-10.27
2022-07-28,-10.36
2022-07-29,-12.93
2022-08-01,-9.79
2022-08-02,-2.66
2022-08-03,-0.67
2022-08-04,2.85
2022-08-05,3.23
2022-08-08,2.66
2022-08-09,18.54
2022-08-10,26.81
2022-08-11,24.81
2022-08-12,29.28
2022-08-15,25.29
2022-08-16,29.28
2022-08-17,24.9
2022-08-18,28.04
2022-08-19,27.0
2022-08-22,23.76
2022-08-23,26.43
2022-08-24,26.71
2022-08-25,17.4
2022-08-26,15.4
2022-08-29,17.78
2022-08-30,16.25
2022-08-31,19.01
2022-09-01,19.68
2022-09-02,18.73
2022-09-06,7.03
2022-09-07,8.94
2022-09-08,11.69
2022-09-09,6.46
2022-09-12,6.08
2022-09-13,2.57
2022-09-14,0.95
2022-09-15,6.08
2022-09-16,2.38
2022-09-19,-0.76
2022-09-20,-4.85
2022-09-21,-9.79
2022-09-22,-15.97
2022-09-23,-19.11
2022-09-26,-17.11
2022-09-27,-9.6
2022-09-28,-5.89
2022-09-29,-4.85
2022-09-30,-0.38
2022-10-03,5.13
2022-10-04,12.36
2022-10-05,8.37
2022-10-06,14.07
2022-10-07,16.44
2022-10-10,12.17
2022-10-11,12.36
2022-10-12,17.21
2022-10-13,18.73
2022-10-14,16.73
2022-10-17,12.17
2022-10-18,14.16
2022-10-19,-5.28
2022-10-20,8.46
2022-10-21,3.42
2022-10-24,-94.29
2022-10-25,-94.75
2022-10-26,-95.56
2022-10-27,-95.91
2022-10-28,-96.36
2022-10-31,-96.84
2022-11-01,-97.01
2022-11-02,-97.27
2022-11-03,-97.4
2022-11-04,-97.33
2022-11-07,-97.29
2022-11-08,-97.48
2022-11-09,-97.84
2022-11-10,-97.68
2022-11-11,-97.49
2022-11-14,-97.47
2022-11-15,-97.68
2022-11-16,-97.62
2022-11-17,-97.43
