date,pct_chg
2022-02-04,0.12
2022-02-07,0.8
2022-02-08,0.37
2022-02-09,1.37
2022-02-10,1.07
2022-02-11,0.87
2022-02-14,0.15
2022-02-15,0.5
2022-02-16,1.07
2022-02-17,1.57
2022-02-18,1.05
2022-02-22,1.67
2022-02-23,1.42
2022-02-24,1.0
2022-02-25,-0.07
2022-02-28,0.65
2022-03-01,-0.8
2022-03-02,1.87
2022-03-03,1.87
2022-03-04,1.12
2022-03-07,0.2
2022-03-08,0.62
2022-03-09,0.02
2022-03-10,-0.1
2022-03-11,0.77
2022-03-14,0.4
2022-03-15,0.2
2022-03-16,0.35
2022-03-17,0.52
2022-03-18,0.82
2022-03-21,0.1
2022-03-22,-0.0
2022-03-23,0.47
2022-03-24,1.1
2022-03-25,0.87
2022-03-28,0.85
2022-03-29,0.3
2022-03-30,0.82
2022-03-31,1.0
2022-04-01,-0.55
2022-04-04,-1.17
2022-04-05,-1.07
2022-04-06,-1.25
2022-04-07,-1.7
2022-04-08,-1.7
2022-04-11,-1.7
2022-04-12,-2.12
2022-04-13,-2.75
2022-04-14,-2.42
2022-04-18,-3.42
2022-04-19,-2.3
2022-04-20,-1.85
2022-04-21,-1.32
2022-04-22,1.6
2022-04-25,1.8
2022-04-26,2.45
2022-04-27,2.97
2022-04-28,2.37
2022-04-29,2.22
2022-05-02,-5.99
2022-05-03,-2.6
2022-05-04,-3.37
2022-05-05,-3.92
2022-05-06,-5.12
2022-05-09,-5.92
2022-05-10,-6.49
2022-05-11,-8.81
2022-05-12,-10.11
2022-05-13,-10.99
2022-05-16,-11.11
2022-05-17,-8.34
2022-05-18,-7.69
2022-05-19,-7.84
2022-05-20,-8.84
2022-05-23,-8.84
2022-05-24,-9.36
2022-05-25,-9.34
2022-05-26,-7.34
2022-05-27,-6.09
2022-05-31,-4.19
2022-06-01,-2.82
2022-06-02,-2.1
2022-06-03,-2.9
2022-06-06,-3.15
2022-06-07,-3.57
2022-06-08,-3.57
2022-06-09,-6.79
2022-06-10,-7.49
2022-06-13,-9.36
2022-06-14,-11.06
2022-06-15,-10.11
2022-06-16,-11.41
2022-06-17,-13.18
2022-06-21,-11.36
2022-06-22,-10.11
2022-06-23,-10.11
2022-06-24,-9.49
2022-06-27,-9.24
2022-06-28,-8.89
2022-06-29,-6.67
2022-06-30,-7.92
2022-07-01,-9.24
2022-07-05,-9.49
2022-07-06,-9.49
2022-07-07,-9.46
2022-07-08,-9.14
2022-07-11,-10.24
2022-07-12,-10.74
2022-07-13,-12.81
2022-07-14,-14.06
2022-07-15,-13.68
2022-07-18,-14.21
2022-07-19,-13.98
2022-07-20,-12.73
2022-07-21,-12.58
2022-07-22,-13.01
2022-07-25,-11.99
2022-07-26,-9.94
2022-07-27,-8.09
2022-07-28,-7.44
