date,pct_chg
2022-02-04,5.42
2022-02-07,3.21
2022-02-08,4.48
2022-02-09,10.25
2022-02-10,13.72
2022-02-11,5.7
2022-02-14,5.2
2022-02-15,8.51
2022-02-16,4.7
2022-02-17,-0.13
2022-02-18,-2.08
2022-02-22,-2.86
2022-02-23,-7.68
2022-02-24,-0.92
2022-02-25,0.2
2022-02-28,0.43
2022-03-01,0.94
2022-03-02,1.6
2022-03-03,-5.76
2022-03-04,-12.09
2022-03-07,-19.77
2022-03-08,-20.85
2022-03-09,-14.07
2022-03-10,-16.17
2022-03-11,-19.06
2022-03-14,-21.6
2022-03-15,-19.46
2022-03-16,-7.7
2022-03-17,-7.98
2022-03-18,-3.18
2022-03-21,-5.29
2022-03-22,-1.94
2022-03-23,-4.93
2022-03-24,-3.38
2022-03-25,-6.64
2022-03-28,-0.69
2022-03-29,2.38
2022-03-30,-0.58
2022-03-31,-3.48
2022-04-01,0.44
2022-04-04,4.2
2022-04-05,-1.49
2022-04-06,-5.73
2022-04-07,-3.76
2022-04-08,-10.64
2022-04-11,-10.77
2022-04-12,-11.86
2022-04-13,-7.91
2022-04-14,-12.83
2022-04-18,-14.88
2022-04-19,-10.02
2022-04-20,-12.68
2022-04-21,-16.62
2022-04-22,-19.42
2022-04-25,-16.68
2022-04-26,-20.18
2022-04-27,-19.96
2022-04-28,-14.6
2022-04-29,-26.14
2022-05-02,-22.71
2022-05-03,-26.57
2022-05-04,-22.9
2022-05-05,-30.12
2022-05-06,-33.56
2022-05-09,-39.77
2022-05-10,-40.55
2022-05-11,-44.39
2022-05-12,-44.73
2022-05-13,-37.95
2022-05-16,-41.85
2022-05-17,-42.7
2022-05-18,-46.62
2022-05-19,-42.59
2022-05-20,-41.72
2022-05-23,-41.62
2022-05-24,-46.07
2022-05-25,-43.91
2022-05-26,-42.45
2022-05-27,-39.3
2022-05-31,-41.75
2022-06-01,-41.12
2022-06-02,-35.41
2022-06-03,-37.4
2022-06-06,-37.5
2022-06-07,-34.02
2022-06-08,-34.04
2022-06-09,-35.59
2022-06-10,-39.62
2022-06-13,-45.37
2022-06-14,-44.92
2022-06-15,-40.98
2022-06-16,-45.55
2022-06-17,-41.35
2022-06-21,-39.88
2022-06-22,-39.1
2022-06-23,-36.51
2022-06-24,-32.55
2022-06-27,-33.57
2022-06-28,-36.73
2022-06-29,-36.81
2022-06-30,-38.44
2022-07-01,-35.12
