date,pct_chg
2022-02-04,0.11
2022-02-07,0.75
2022-02-08,0.92
2022-02-09,3.54
2022-02-10,3.24
2022-02-11,2.19
2022-02-14,0.99
2022-02-15,0.77
2022-02-16,0.59
2022-02-17,-2.79
2022-02-18,-2.1
2022-02-22,-2.32
2022-02-23,-4.21
2022-02-24,0.81
2022-02-25,3.2
2022-02-28,2.4
2022-03-01,2.58
2022-03-02,3.44
2022-03-03,2.5
2022-03-04,1.95
2022-03-07,-2.02
2022-03-08,-3.88
2022-03-09,2.12
2022-03-10,1.34
2022-03-11,-2.14
2022-03-14,-4.25
2022-03-15,-0.98
2022-03-16,3.37
2022-03-17,5.4
2022-03-18,8.79
2022-03-21,6.99
2022-03-22,7.94
2022-03-23,4.74
2022-03-24,6.22
2022-03-25,6.31
2022-03-28,6.77
2022-03-29,8.89
2022-03-30,8.0
2022-03-31,5.72
2022-04-01,5.78
2022-04-04,5.48
2022-04-05,5.73
2022-04-06,6.01
2022-04-07,9.78
2022-04-08,5.75
2022-04-11,3.15
2022-04-12,0.77
2022-04-13,2.39
2022-04-14,2.07
2022-04-18,0.6
2022-04-19,0.89
2022-04-20,3.66
2022-04-21,0.61
2022-04-22,-1.61
2022-04-25,-2.12
2022-04-26,-6.71
2022-04-27,-7.0
2022-04-28,-5.54
2022-04-29,-7.3
2022-05-02,-6.6
2022-05-03,-6.39
2022-05-04,-3.36
2022-05-05,-5.73
2022-05-06,-8.95
2022-05-09,-15.27
2022-05-10,-14.17
2022-05-11,-17.32
2022-05-12,-14.82
2022-05-13,-10.21
2022-05-16,-11.59
2022-05-17,-9.41
2022-05-18,-12.33
2022-05-19,-10.54
2022-05-20,-10.56
2022-05-23,-11.01
2022-05-24,-12.8
2022-05-25,-13.86
2022-05-26,-10.81
2022-05-27,-5.63
2022-05-31,-9.73
2022-06-01,-12.12
2022-06-02,-8.69
2022-06-03,-11.35
2022-06-06,-11.28
2022-06-07,-10.64
2022-06-08,-11.02
2022-06-09,-13.22
2022-06-10,-18.32
2022-06-13,-20.66
2022-06-14,-20.85
2022-06-15,-19.27
2022-06-16,-21.22
2022-06-17,-20.13
2022-06-21,-19.6
2022-06-22,-19.51
2022-06-23,-15.7
2022-06-24,-13.88
2022-06-27,-13.74
2022-06-28,-15.52
2022-06-29,-14.92
2022-06-30,-15.37
2022-07-01,-13.77
2022-07-05,-11.55
2022-07-06,-11.43
2022-07-07,-10.1
2022-07-08,-9.69
2022-07-11,-11.37
2022-07-12,-13.87
2022-07-13,-14.81
2022-07-14,-16.65
2022-07-15,-15.93
2022-07-18,-17.91
2022-07-19,-14.49
2022-07-20,-12.95
2022-07-21,-9.64
2022-07-22,-11.32
2022-07-25,-11.84
2022-07-26,-9.51
2022-07-27,-8.58
2022-07-28,-7.04
2022-07-29,-5.94
2022-08-01,-6.43
2022-08-02,-5.52
2022-08-03,-4.33
2022-08-04,-4.57
2022-08-05,-6.5
2022-08-08,-8.41
2022-08-09,-11.84
2022-08-10,-7.24
2022-08-11,-8.59
2022-08-12,-7.31
2022-08-15,-7.7
2022-08-16,-9.65
2022-08-17,-11.43
2022-08-18,-11.76
2022-08-19,-13.37
2022-08-22,-15.61
2022-08-23,-16.47
2022-08-24,-15.29
2022-08-25,-12.45
2022-08-26,-17.3
2022-08-29,-18.61
2022-08-30,-18.61
2022-08-31,-18.99
2022-09-01,-18.74
2022-09-02,-19.43
2022-09-06,-19.67
2022-09-07,-18.43
2022-09-08,-16.34
2022-09-09,-15.34
2022-09-12,-15.82
