date,pct_chg
2021-11-18,1.47
2021-11-19,-3.03
2021-11-22,0.57
2021-11-23,-1.47
2021-11-24,-3.11
2021-11-26,-5.07
2021-11-29,-10.47
2021-11-30,-14.15
2021-12-01,-15.45
2021-12-02,-12.51
2021-12-03,-12.43
2021-12-06,-10.14
2021-12-07,-9.81
2021-12-08,-10.87
2021-12-09,-11.94
2021-12-10,-10.87
2021-12-13,-16.11
2021-12-14,-16.68
2021-12-15,-15.62
2021-12-16,-15.37
2021-12-17,-16.03
2021-12-20,-17.42
2021-12-21,-14.96
2021-12-22,-11.69
2021-12-23,-7.93
2021-12-27,-8.26
2021-12-28,-6.95
2021-12-29,-8.18
2021-12-30,-7.77
2021-12-31,-7.6
2022-01-03,-2.37
2022-01-04,4.17
2022-01-05,4.17
2022-01-06,7.03
2022-01-07,5.15
2022-01-10,3.92
2022-01-11,6.46
2022-01-12,3.68
2022-01-13,8.83
2022-01-14,6.05
2022-01-18,3.19
2022-01-19,-2.45
2022-01-20,-11.61
2022-01-21,-14.15
2022-01-24,-11.61
2022-01-25,-12.76
2022-01-26,-15.29
2022-01-27,-17.01
2022-01-28,-17.5
2022-01-31,-14.15
2022-02-01,-13.08
2022-02-02,-14.39
2022-02-03,-15.54
2022-02-04,-17.99
2022-02-07,-17.58
2022-02-08,-15.78
2022-02-09,-15.45
2022-02-10,-15.04
2022-02-11,-21.1
2022-02-14,-20.61
2022-02-15,-13.41
2022-02-16,-11.28
2022-02-17,-13.65
2022-02-18,-14.06
2022-02-22,-18.4
2022-02-23,58.22
2022-02-24,57.24
2022-02-25,57.89
2022-02-28,57.65
2022-03-01,55.68
2022-03-02,56.17
2022-03-03,57.4
2022-03-04,54.21
2022-03-07,48.57
2022-03-08,48.0
2022-03-09,50.29
2022-03-10,49.63
2022-03-11,48.65
2022-03-14,48.32
2022-03-15,43.83
2022-03-16,46.77
2022-03-17,47.67
2022-03-18,48.08
2022-03-21,48.98
2022-03-22,49.96
2022-03-23,50.2
2022-03-24,48.65
2022-03-25,46.2
2022-03-28,46.77
2022-03-29,50.12
2022-03-30,50.53
2022-03-31,49.8
2022-04-01,49.47
2022-04-04,48.65
2022-04-05,47.26
2022-04-06,44.89
2022-04-07,44.97
2022-04-08,44.73
2022-04-11,46.44
2022-04-12,46.85
2022-04-13,48.0
2022-04-14,47.59
2022-04-18,47.83
2022-04-19,48.81
2022-04-20,48.73
2022-04-21,46.61
2022-04-22,44.32
2022-04-25,44.07
2022-04-26,43.25
2022-04-27,45.13
2022-04-28,44.81
2022-04-29,40.39
2022-05-02,37.53
2022-05-03,35.73
2022-05-04,34.1
2022-05-05,31.56
2022-05-06,28.13
2022-05-09,19.22
2022-05-10,26.9
2022-05-11,32.79
2022-05-12,33.77
2022-05-13,35.98
2022-05-16,30.42
2022-05-17,34.67
2022-05-18,30.58
2022-05-19,33.77
2022-05-20,30.83
2022-05-23,34.18
2022-05-24,32.87
2022-05-25,34.01
2022-05-26,36.88
2022-05-27,38.68
2022-05-31,41.54
2022-06-01,43.34
2022-06-02,44.32
2022-06-03,40.64
2022-06-06,35.49
2022-06-07,37.53
2022-06-08,38.51
2022-06-09,38.35
2022-06-10,35.73
2022-06-13,26.66
2022-06-14,25.84
2022-06-15,28.37
2022-06-16,21.1
2022-06-17,26.82
2022-06-21,31.15
2022-06-22,31.97
2022-06-23,34.42
2022-06-24,36.55
2022-06-27,41.37
2022-06-28,44.32
2022-06-29,39.66
2022-06-30,40.31
2022-07-01,42.68
2022-07-05,42.11
2022-07-06,40.31
2022-07-07,56.66
2022-07-08,57.15
2022-07-11,55.85
2022-07-12,56.66
2022-07-13,57.48
2022-07-14,57.97
2022-07-15,57.32
2022-07-18,56.91
2022-07-19,56.83
2022-07-20,54.46
2022-07-21,54.54
2022-07-22,54.13
2022-07-25,54.13
2022-07-26,53.8
2022-07-27,53.72
2022-07-28,54.37
2022-07-29,54.29
2022-08-01,53.31
2022-08-02,53.72
2022-08-03,56.75
2022-08-04,53.72
2022-08-05,53.8
2022-08-08,52.66
2022-08-09,53.48
2022-08-10,55.19
2022-08-11,55.52
2022-08-12,56.26
2022-08-15,56.42
2022-08-16,57.65
2022-08-17,57.32
2022-08-18,57.73
2022-08-19,55.85
2022-08-22,55.11
2022-08-23,54.54
2022-08-24,54.87
2022-08-25,54.54
2022-08-26,54.7
2022-08-29,54.95
2022-08-30,54.95
2022-08-31,54.21
2022-09-01,53.64
2022-09-02,52.33
