date,pct_chg
2022-10-18,-24.11
2022-10-19,-52.06
2022-10-25,49.95
2022-10-26,-31.96
2022-10-31,-31.87
2022-11-01,-30.43
2022-11-02,-31.58
2022-11-03,-31.87
2022-11-04,-5.74
2022-11-08,-41.05
2022-11-09,-8.9
2022-11-10,-13.88
2022-11-14,-4.31
2022-11-22,-23.44
2022-11-29,-61.72
2022-12-05,-52.15
2022-12-15,81.82
2023-01-06,14.83
2023-01-12,16.94
2023-01-13,48.13
2023-01-17,-30.33
2023-01-18,65.84
2023-01-19,25.26
2023-01-20,57.51
2023-01-23,24.4
2023-01-24,47.27
2023-01-26,48.52
2023-01-27,16.56
2023-01-30,25.36
2023-01-31,-29.19
2023-02-01,53.11
2023-02-03,48.33
