date,pct_chg
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,-0.6
2022-02-09,-0.6
2022-02-10,-0.6
2022-02-11,-0.6
2022-02-14,-0.6
2022-02-15,-1.4
2022-02-16,-1.4
2022-02-17,-1.4
2022-02-18,0.0
2022-02-22,0.0
2022-02-23,-1.1
2022-02-24,2.8
2022-02-25,2.8
2022-02-28,1.85
2022-03-01,1.1
2022-03-02,-1.2
2022-03-03,1.04
2022-03-04,1.04
2022-03-07,0.1
2022-03-08,0.1
2022-03-09,3.5
2022-03-10,-1.9
2022-03-11,0.0
2022-03-14,0.0
2022-03-15,-2.2
2022-03-16,1.7
2022-03-17,-2.0
2022-03-18,-3.2
2022-03-21,-3.2
2022-03-22,-5.9
2022-03-23,-5.8
2022-03-24,-5.8
2022-03-25,-5.1
2022-03-28,-5.1
2022-03-29,-6.0
2022-03-30,-6.0
2022-03-31,-6.5
2022-04-01,-6.5
2022-04-04,-8.2
2022-04-05,-8.2
2022-04-06,-12.9
2022-04-07,-14.5
2022-04-08,-8.7
2022-04-11,-8.7
2022-04-12,-8.7
2022-04-13,-8.7
2022-04-14,-8.7
2022-04-18,-14.2
2022-04-19,-13.7
2022-04-20,-9.8
2022-04-21,-8.8
2022-04-22,-8.8
2022-04-25,-11.35
2022-04-26,-8.4
2022-04-27,-10.0
2022-04-28,-7.2
2022-04-29,-7.2
2022-05-02,-5.5
2022-05-03,-9.4
2022-05-04,-9.4
2022-05-05,-3.1
2022-05-06,-3.1
2022-05-09,-4.5
2022-05-10,-3.2
2022-05-11,-2.0
2022-05-12,-2.0
2022-05-13,-2.0
2022-05-16,1.0
2022-05-17,1.0
2022-05-18,1.05
2022-05-19,3.5
2022-05-20,3.5
2022-05-23,3.5
2022-05-24,5.0
2022-05-25,3.1
2022-05-26,4.5
2022-05-27,2.0
2022-05-31,-2.7
2022-06-01,-2.7
2022-06-02,-1.6
2022-06-03,-4.6
2022-06-06,-0.0
2022-06-07,-0.0
2022-06-08,-2.1
2022-06-09,-2.1
2022-06-10,1.0
2022-06-13,3.2
2022-06-14,-0.15
2022-06-15,-1.5
2022-06-16,-2.2
2022-06-17,-0.2
2022-06-21,-6.3
2022-06-22,-2.2
2022-06-23,-0.9
2022-06-24,0.1
2022-06-27,-4.2
2022-06-28,-2.0
2022-06-29,0.5
2022-06-30,3.4
2022-07-01,-6.4
2022-07-05,-9.3
2022-07-06,-11.1
2022-07-07,-9.9
2022-07-08,-8.5
2022-07-11,-6.0
2022-07-12,-10.1
2022-07-13,-9.9
2022-07-14,-11.2
2022-07-15,-8.5
2022-07-18,-10.0
2022-07-19,-8.1
2022-07-20,-9.9
2022-07-21,-7.1
2022-07-22,-7.5
2022-07-25,-7.4
2022-07-26,-5.1
2022-07-27,-8.6
2022-07-28,-4.3
2022-07-29,-3.3
2022-08-01,-0.6
2022-08-02,-1.95
2022-08-03,-4.1
2022-08-04,-4.7
2022-08-05,-4.4
2022-08-08,-7.0
2022-08-09,-7.3
2022-08-10,-4.05
2022-08-11,-3.5
2022-08-12,-3.8
2022-08-15,-2.98
2022-08-16,-3.1
2022-08-17,-2.5
2022-08-18,-1.7
2022-08-19,-1.2
2022-08-22,-0.8
2022-08-23,-1.2
2022-08-24,-2.9
2022-08-25,-5.35
2022-08-26,-6.39
2022-08-29,-6.2
2022-08-30,-3.1
2022-08-31,-5.7
2022-09-01,-9.1
2022-09-02,-9.5
2022-09-06,-11.1
2022-09-07,-11.9
2022-09-08,-11.3
2022-09-09,-8.6
2022-09-12,-9.0
2022-09-13,-11.7
2022-09-14,-11.1
2022-09-15,-13.0
2022-09-16,-10.7
2022-09-19,-9.7
2022-09-20,-10.9
2022-09-21,-11.9
2022-09-22,-10.7
2022-09-23,-11.65
2022-09-26,-15.3
2022-09-27,-14.55
2022-09-28,-13.85
2022-09-29,-14.9
2022-09-30,-15.4
2022-10-03,-15.9
2022-10-04,-12.1
2022-10-05,-13.2
2022-10-06,-13.2
2022-10-07,-14.3
2022-10-10,-15.5
2022-10-11,-12.4
2022-10-12,-12.7
2022-10-13,-14.0
2022-10-14,-13.9
2022-10-17,-14.7
2022-10-18,-16.7
2022-10-19,-14.0
2022-10-20,-14.9
2022-10-21,-14.1
2022-10-24,-15.8
2022-10-25,-14.9
2022-10-26,-13.3
2022-10-27,-12.9
2022-10-28,-9.0
2022-10-31,-10.95
