date,pct_chg
2022-02-04,4.38
2022-02-07,5.11
2022-02-08,2.92
2022-02-09,19.71
2022-02-10,13.14
2022-02-11,12.41
2022-02-14,11.68
2022-02-15,25.55
2022-02-16,26.28
2022-02-17,17.52
2022-02-18,15.33
2022-02-22,13.14
2022-02-23,16.79
2022-02-24,18.25
2022-02-25,27.01
2022-02-28,26.28
2022-03-01,17.52
2022-03-02,5.11
2022-03-03,5.11
2022-03-04,2.19
2022-03-07,20.44
2022-03-08,60.58
2022-03-09,48.91
2022-03-10,74.45
2022-03-11,89.78
2022-03-14,132.85
2022-03-15,108.03
2022-03-16,112.41
2022-03-17,102.92
2022-03-18,97.81
2022-03-21,76.64
2022-03-22,59.85
2022-03-23,48.91
2022-03-24,38.69
2022-03-25,12.41
2022-03-28,22.63
2022-03-29,30.66
2022-03-30,58.39
2022-03-31,89.05
2022-04-01,78.83
2022-04-04,94.16
2022-04-05,70.8
2022-04-06,79.56
2022-04-07,66.42
2022-04-08,61.31
2022-04-11,51.82
2022-04-12,45.99
2022-04-13,51.09
2022-04-14,44.53
2022-04-18,35.04
2022-04-19,41.61
2022-04-20,36.5
2022-04-21,35.77
2022-04-22,39.42
2022-04-25,29.93
2022-04-26,22.63
2022-04-27,16.06
2022-04-28,14.6
2022-04-29,12.41
2022-05-02,16.06
2022-05-03,27.74
2022-05-04,28.47
2022-05-05,20.44
2022-05-06,7.3
2022-05-09,-3.65
2022-05-10,-7.3
2022-05-11,-14.6
2022-05-12,-5.11
2022-05-13,2.19
2022-05-16,-5.11
2022-05-17,3.65
2022-05-18,-0.0
2022-05-19,0.73
2022-05-20,-0.73
2022-05-23,2.92
2022-05-24,-2.92
2022-05-25,-0.73
2022-05-26,1.46
2022-05-27,13.14
2022-05-31,13.87
2022-06-01,7.3
2022-06-02,10.22
2022-06-03,6.57
2022-06-06,7.3
2022-06-07,8.76
2022-06-08,2.19
2022-06-09,-4.38
2022-06-10,-10.95
2022-06-13,-16.79
2022-06-14,-17.52
2022-06-15,-15.33
2022-06-16,-24.82
2022-06-17,-17.52
2022-06-21,-19.71
2022-06-22,-19.71
2022-06-23,-21.9
2022-06-24,-22.63
2022-06-27,-16.79
2022-06-28,-21.17
2022-06-29,-27.01
2022-06-30,-24.82
2022-07-01,-24.09
2022-07-05,-26.28
2022-07-06,-28.83
2022-07-07,-27.45
2022-07-08,-27.37
2022-07-11,-34.74
2022-07-12,-33.58
2022-07-13,-36.5
2022-07-14,-40.15
2022-07-15,-35.69
2022-07-18,-37.15
2022-07-19,-35.4
2022-07-20,-32.19
2022-07-21,-34.09
2022-07-22,-36.86
2022-07-25,-38.34
2022-07-26,-40.72
2022-07-27,-38.03
2022-07-28,-35.66
2022-07-29,-34.74
2022-08-01,-33.5
2022-08-02,-34.36
2022-08-03,-37.15
2022-08-04,-36.4
2022-08-05,-31.31
2022-08-08,-33.83
2022-08-09,-36.17
2022-08-10,-37.96
2022-08-11,-29.85
2022-08-12,-27.01
2022-08-15,-27.37
2022-08-16,-21.9
2022-08-17,-24.82
2022-08-18,-30.88
2022-08-19,-35.44
2022-08-22,-37.23
2022-08-23,-38.46
2022-08-24,-37.96
2022-08-25,-39.5
2022-08-26,-41.02
2022-08-29,-38.69
2022-08-30,-18.25
2022-08-31,-28.55
2022-09-01,-21.9
2022-09-02,-28.59
2022-09-06,-25.55
2022-09-07,-25.55
2022-09-08,-26.28
2022-09-09,-25.55
2022-09-12,-21.9
2022-09-13,-27.18
2022-09-14,-27.01
2022-09-15,-24.09
2022-09-16,-8.76
2022-09-19,-8.76
2022-09-20,-9.49
2022-09-21,-18.25
2022-09-22,-14.6
2022-09-23,-20.44
2022-09-26,-26.28
2022-09-27,-24.09
2022-09-28,-23.36
2022-09-29,-29.2
2022-09-30,-23.36
2022-10-03,-28.78
2022-10-04,-25.55
2022-10-05,-21.17
2022-10-06,-24.82
2022-10-07,-25.55
2022-10-10,-26.28
2022-10-11,-27.38
2022-10-12,-21.9
2022-10-13,-13.87
2022-10-14,-21.9
2022-10-17,-21.17
2022-10-18,-22.63
2022-10-19,-26.28
2022-10-20,-24.82
2022-10-21,-28.47
2022-10-24,-33.58
