date,pct_chg
2022-02-04,-2.74
2022-02-07,-0.76
2022-02-08,-3.38
2022-02-09,-0.08
2022-02-10,-3.74
2022-02-11,-4.14
2022-02-14,-4.86
2022-02-15,-2.32
2022-02-16,-3.12
2022-02-17,-2.3
2022-02-18,-3.98
2022-02-22,-3.66
2022-02-23,-7.72
2022-02-24,-9.62
2022-02-25,-4.84
2022-02-28,-5.98
2022-03-01,-7.08
2022-03-02,-6.86
2022-03-03,-8.6
2022-03-04,-12.96
2022-03-07,-13.2
2022-03-08,-12.0
2022-03-09,-6.88
2022-03-10,-8.1
2022-03-11,-9.62
2022-03-14,-8.92
2022-03-15,-6.52
2022-03-16,-3.66
2022-03-17,1.68
2022-03-18,4.02
2022-03-21,4.4
2022-03-22,6.72
2022-03-23,3.8
2022-03-24,4.32
2022-03-25,-0.44
2022-03-28,-0.54
2022-03-29,7.52
2022-03-30,6.06
2022-03-31,4.9
2022-04-01,6.98
2022-04-04,6.26
2022-04-05,6.58
2022-04-06,2.58
2022-04-07,4.74
2022-04-08,2.8
2022-04-11,-0.14
2022-04-12,1.0
2022-04-13,2.5
2022-04-14,3.38
2022-04-18,1.02
2022-04-19,3.24
2022-04-20,2.26
2022-04-21,-1.4
2022-04-22,-2.62
2022-04-25,-5.26
2022-04-26,-8.54
2022-04-27,-14.08
2022-04-28,-13.28
2022-04-29,-20.76
2022-05-02,-25.27
2022-05-03,-24.96
2022-05-04,-21.16
2022-05-05,-25.89
2022-05-06,-28.23
2022-05-09,-31.13
2022-05-10,-29.41
2022-05-11,-30.11
2022-05-12,-30.85
2022-05-13,-27.11
2022-05-16,-25.99
2022-05-17,-25.81
2022-05-18,-27.81
2022-05-19,-27.35
2022-05-20,-29.03
2022-05-23,-26.07
2022-05-24,-26.11
2022-05-25,-27.07
2022-05-26,-26.93
2022-05-27,-21.16
2022-05-31,-18.6
2022-06-01,-22.28
2022-06-02,-18.32
2022-06-03,-26.39
2022-06-06,-22.14
2022-06-07,-21.8
2022-06-08,-22.78
2022-06-09,-25.39
2022-06-10,-27.79
2022-06-13,-30.19
2022-06-14,-32.75
2022-06-15,-31.51
2022-06-16,-34.79
2022-06-17,-36.91
2022-06-21,-35.35
2022-06-22,-35.15
2022-06-23,-35.95
2022-06-24,-30.95
2022-06-27,-27.35
2022-06-28,-27.79
2022-06-29,-27.23
2022-06-30,-25.55
2022-07-01,-21.02
2022-07-05,-21.42
2022-07-06,-18.66
2022-07-07,-20.46
2022-07-08,-21.46
2022-07-11,-21.5
2022-07-12,-23.46
2022-07-13,-22.66
2022-07-14,-23.42
2022-07-15,-24.38
2022-07-18,-21.58
2022-07-19,-19.34
2022-07-20,-19.38
2022-07-21,-16.98
2022-07-22,-18.34
2022-07-25,-16.9
2022-07-26,-18.26
2022-07-27,-14.82
2022-07-28,-10.38
2022-07-29,-6.86
2022-08-01,-6.62
2022-08-02,-9.38
2022-08-03,-9.26
2022-08-04,-6.26
2022-08-05,-11.26
2022-08-08,-7.82
2022-08-09,-3.58
2022-08-10,5.02
2022-08-11,0.22
2022-08-12,2.18
2022-08-15,1.58
2022-08-16,0.62
2022-08-17,-0.5
2022-08-18,-1.62
2022-08-19,-3.98
2022-08-22,-7.78
2022-08-23,-8.9
2022-08-24,-7.22
2022-08-25,-5.26
2022-08-26,-6.94
2022-08-29,-8.22
2022-08-30,-8.38
2022-08-31,-9.02
2022-09-01,-10.02
2022-09-02,-12.22
2022-09-06,-11.74
2022-09-07,-9.58
2022-09-08,-9.02
2022-09-09,-5.9
2022-09-12,-6.06
2022-09-13,-10.82
2022-09-14,-12.66
2022-09-15,-11.26
2022-09-16,-22.06
2022-09-19,-25.31
2022-09-20,-26.19
2022-09-21,-27.23
2022-09-22,-28.95
2022-09-23,-32.15
2022-09-26,-31.51
2022-09-27,-33.23
2022-09-28,-32.35
2022-09-29,-29.95
2022-09-30,-29.63
2022-10-03,-28.15
2022-10-04,-22.5
2022-10-05,-22.62
2022-10-06,-33.35
2022-10-07,-36.83
2022-10-10,-37.79
2022-10-11,-39.39
2022-10-12,-38.31
2022-10-13,-38.27
2022-10-14,-37.67
2022-10-17,-35.03
2022-10-18,-33.43
2022-10-19,-35.63
2022-10-20,-37.03
2022-10-21,-40.79
2022-10-24,-38.71
2022-10-25,-35.79
2022-10-26,-35.55
2022-10-27,-33.87
2022-10-28,-33.88
2022-10-31,-35.35
2022-11-01,-34.31
2022-11-02,-37.27
2022-11-03,-39.27
2022-11-04,-36.43
2022-11-07,-35.71
2022-11-08,-34.67
2022-11-09,-36.19
2022-11-10,-29.8
2022-11-11,-25.39
2022-11-14,-27.19
2022-11-15,-27.35
2022-11-16,-29.07
2022-11-17,-29.55
2022-11-18,-29.55
2022-11-21,-28.23
2022-11-22,-26.91
2022-11-23,-25.91
2022-11-25,-24.3
2022-11-28,-25.23
2022-11-29,-26.63
2022-11-30,-22.9
2022-12-01,-19.82
2022-12-02,-18.5
2022-12-05,-21.86
2022-12-06,-21.94
2022-12-07,-21.26
2022-12-08,-20.14
2022-12-09,-18.3
2022-12-12,-21.06
2022-12-13,-17.38
2022-12-14,-18.98
2022-12-15,-23.38
2022-12-16,-25.55
2022-12-19,-27.11
2022-12-20,-27.75
2022-12-21,-27.53
2022-12-22,-33.07
2022-12-23,-33.63
2022-12-27,-33.35
2022-12-28,-33.95
2022-12-29,-32.43
2022-12-30,-32.67
2023-01-03,-32.51
2023-01-04,-31.79
2023-01-05,-34.63
2023-01-06,-29.43
2023-01-09,-25.91
2023-01-10,-25.99
2023-01-11,-24.26
2023-01-12,-24.62
2023-01-13,-24.02
2023-01-17,-24.78
2023-01-18,-23.24
2023-01-19,-24.74
2023-01-20,-25.63
2023-01-23,-25.03
2023-01-24,-25.63
2023-01-25,-26.71
2023-01-26,-25.71
2023-01-27,-25.37
2023-01-30,-26.95
2023-01-31,-29.99
2023-02-01,-29.23
2023-02-02,-29.63
2023-02-03,-31.43
