date,pct_chg
2022-02-04,0.13
2022-02-07,1.05
2022-02-08,3.86
2022-02-09,6.04
2022-02-10,3.6
2022-02-11,3.06
2022-02-14,3.92
2022-02-15,5.17
2022-02-16,5.53
2022-02-17,3.12
2022-02-18,2.65
2022-02-22,2.26
2022-02-23,0.55
2022-02-24,2.38
2022-02-25,3.87
2022-02-28,2.01
2022-03-01,1.95
2022-03-02,4.0
2022-03-03,2.6
2022-03-04,2.03
2022-03-07,1.27
2022-03-08,-1.24
2022-03-09,0.98
2022-03-10,2.29
2022-03-11,3.14
2022-03-14,2.72
2022-03-15,4.55
2022-03-16,5.78
2022-03-17,6.76
2022-03-18,5.3
2022-03-21,4.3
2022-03-22,4.07
2022-03-23,3.35
2022-03-24,4.07
2022-03-25,2.91
2022-03-28,4.73
2022-03-29,6.33
2022-03-30,6.48
2022-03-31,6.27
2022-04-01,8.26
2022-04-04,9.78
2022-04-05,9.26
2022-04-06,10.71
2022-04-07,10.35
2022-04-08,9.99
2022-04-11,7.98
2022-04-12,8.83
2022-04-13,11.65
2022-04-14,10.08
2022-04-18,8.26
2022-04-19,9.99
2022-04-20,9.87
2022-04-21,9.37
2022-04-22,6.5
2022-04-25,6.65
2022-04-26,3.46
2022-04-27,7.5
2022-04-28,9.53
2022-04-29,1.95
2022-05-02,4.65
2022-05-03,4.53
2022-05-04,9.6
2022-05-05,7.27
2022-05-06,4.98
2022-05-09,0.79
2022-05-10,1.84
2022-05-11,2.07
2022-05-12,2.69
2022-05-13,4.6
2022-05-16,4.78
2022-05-17,6.49
2022-05-18,3.69
2022-05-19,4.22
2022-05-20,4.36
2022-05-23,7.54
2022-05-24,6.99
2022-05-25,8.83
2022-05-26,9.9
2022-05-27,11.04
2022-05-31,10.36
2022-06-01,11.41
2022-06-02,12.44
2022-06-03,13.11
2022-06-06,13.57
2022-06-07,14.75
2022-06-08,11.95
2022-06-09,10.13
2022-06-10,8.06
2022-06-13,3.18
2022-06-14,3.41
2022-06-15,4.75
2022-06-16,2.9
2022-06-17,5.64
2022-06-21,9.02
2022-06-22,10.26
2022-06-23,12.55
2022-06-24,13.5
2022-06-27,13.05
2022-06-28,10.14
2022-06-29,11.25
2022-06-30,11.39
2022-07-01,13.27
2022-07-05,13.89
2022-07-06,13.43
2022-07-07,12.87
2022-07-08,12.37
2022-07-11,11.55
2022-07-12,11.31
2022-07-13,11.71
2022-07-14,12.32
2022-07-15,13.74
2022-07-18,11.33
2022-07-19,13.86
2022-07-20,13.8
2022-07-21,10.27
2022-07-22,9.69
2022-07-25,11.41
2022-07-26,10.87
2022-07-27,16.67
2022-07-28,17.32
2022-07-29,18.45
2022-08-01,19.05
2022-08-02,17.86
2022-08-03,18.98
2022-08-04,19.05
2022-08-05,19.69
2022-08-08,19.71
2022-08-09,20.53
2022-08-10,19.92
2022-08-11,18.9
2022-08-12,21.26
2022-08-15,21.45
2022-08-16,21.4
2022-08-17,20.51
2022-08-18,21.59
2022-08-19,21.19
2022-08-22,19.71
2022-08-23,19.11
2022-08-24,20.33
2022-08-25,21.77
2022-08-26,18.41
2022-08-29,19.96
2022-08-30,20.48
2022-08-31,19.19
2022-09-01,19.16
2022-09-02,17.55
2022-09-06,17.49
2022-09-07,20.47
2022-09-08,20.36
2022-09-09,20.63
2022-09-12,20.18
2022-09-13,14.04
2022-09-14,17.51
2022-09-15,16.76
2022-09-16,15.87
2022-09-19,16.5
2022-09-20,15.62
2022-09-21,13.24
2022-09-22,11.81
2022-09-23,9.56
2022-09-26,9.55
2022-09-27,9.85
2022-09-28,12.2
2022-09-29,11.48
2022-09-30,11.09
2022-10-03,15.0
2022-10-04,18.02
2022-10-05,16.93
2022-10-06,15.43
2022-10-07,13.92
2022-10-10,14.03
2022-10-11,13.55
2022-10-12,10.07
2022-10-13,10.18
2022-10-14,8.89
2022-10-17,10.81
2022-10-18,12.73
2022-10-19,12.39
2022-10-20,12.62
2022-10-21,12.98
2022-10-24,15.35
2022-10-25,16.43
2022-10-26,16.61
2022-10-27,16.43
2022-10-28,25.02
2022-10-31,25.48
2022-11-01,26.08
2022-11-02,24.21
2022-11-03,22.68
2022-11-04,23.22
2022-11-07,24.01
2022-11-08,24.11
2022-11-09,23.07
2022-11-10,24.57
2022-11-11,21.04
2022-11-14,20.43
2022-11-15,20.05
2022-11-16,19.95
2022-11-17,22.35
2022-11-18,23.22
2022-11-21,24.09
2022-11-22,25.44
2022-11-23,24.29
2022-11-25,25.06
2022-11-28,24.11
2022-11-29,23.05
2022-11-30,25.4
2022-12-01,25.69
2022-12-02,26.19
2022-12-05,24.71
2022-12-06,23.69
2022-12-07,23.19
2022-12-08,19.07
2022-12-09,17.21
2022-12-12,17.9
2022-12-13,16.39
2022-12-14,17.87
2022-12-15,16.08
2022-12-16,17.87
2022-12-19,17.25
2022-12-20,16.19
2022-12-21,17.13
2022-12-22,15.52
2022-12-23,15.93
2022-12-27,16.73
2022-12-28,15.07
2022-12-29,15.42
2022-12-30,15.91
2023-01-03,15.12
2023-01-04,15.88
2023-01-05,19.62
2023-01-06,23.01
2023-01-09,23.17
2023-01-10,23.83
2023-01-11,23.2
2023-01-12,24.12
2023-01-13,23.93
2023-01-17,21.69
2023-01-18,20.8
2023-01-19,20.17
2023-01-20,20.15
2023-01-23,19.53
2023-01-24,20.72
2023-01-25,22.59
2023-01-26,23.11
2023-01-27,21.49
2023-01-30,21.69
2023-01-31,23.62
2023-02-01,25.0
2023-02-02,21.67
2023-02-03,20.21
