date,pct_chg
2022-02-04,0.27
2022-02-07,-0.14
2022-02-08,-0.15
2022-02-09,3.09
2022-02-10,2.54
2022-02-11,-0.71
2022-02-14,-0.58
2022-02-15,4.08
2022-02-16,4.62
2022-02-17,1.2
2022-02-18,3.03
2022-02-22,0.92
2022-02-23,-2.66
2022-02-24,2.28
2022-02-25,3.65
2022-02-28,2.67
2022-03-01,1.17
2022-03-02,4.59
2022-03-03,2.45
2022-03-04,0.55
2022-03-07,-3.82
2022-03-08,-1.57
2022-03-09,2.34
2022-03-10,4.01
2022-03-11,1.03
2022-03-14,-1.98
2022-03-15,1.81
2022-03-16,5.69
2022-03-17,6.18
2022-03-18,7.26
2022-03-21,5.73
2022-03-22,6.85
2022-03-23,6.86
2022-03-24,8.52
2022-03-25,8.31
2022-03-28,8.42
2022-03-29,11.44
2022-03-30,10.14
2022-03-31,9.17
2022-04-01,6.43
2022-04-04,9.28
2022-04-05,9.21
2022-04-06,7.25
2022-04-07,9.33
2022-04-08,10.09
2022-04-11,10.7
2022-04-12,11.28
2022-04-13,13.91
2022-04-14,13.95
2022-04-18,14.0
2022-04-19,17.44
2022-04-20,18.26
2022-04-21,15.54
2022-04-22,11.45
2022-04-25,14.63
2022-04-26,11.67
2022-04-27,10.42
2022-04-28,14.44
2022-04-29,8.78
2022-05-02,11.18
2022-05-03,10.0
2022-05-04,12.03
2022-05-05,8.74
2022-05-06,6.76
2022-05-09,4.48
2022-05-10,4.42
2022-05-11,3.07
2022-05-12,3.59
2022-05-13,8.53
2022-05-16,7.79
2022-05-17,7.74
2022-05-18,-3.92
2022-05-19,-3.69
2022-05-20,-5.95
2022-05-23,-4.96
2022-05-24,-6.22
2022-05-25,-3.24
2022-05-26,3.62
2022-05-27,16.54
2022-05-31,15.99
2022-06-01,11.67
2022-06-02,14.2
2022-06-03,10.87
2022-06-06,13.43
2022-06-07,15.42
2022-06-08,16.62
2022-06-09,15.79
2022-06-10,11.78
2022-06-13,7.4
2022-06-14,7.65
2022-06-15,11.2
2022-06-16,7.05
2022-06-17,8.52
2022-06-21,10.01
2022-06-22,8.62
2022-06-23,8.54
2022-06-24,12.55
2022-06-27,9.8
2022-06-28,5.8
2022-06-29,7.37
2022-06-30,5.68
2022-07-01,4.96
2022-07-05,3.76
2022-07-06,4.66
2022-07-07,5.18
2022-07-08,4.57
2022-07-11,5.07
2022-07-12,3.37
2022-07-13,4.93
2022-07-14,5.71
2022-07-15,8.9
2022-07-18,7.9
2022-07-19,10.31
2022-07-20,11.95
2022-07-21,12.75
2022-07-22,11.42
2022-07-25,10.01
2022-07-26,5.49
2022-07-27,8.41
2022-07-28,9.87
2022-07-29,6.62
2022-08-01,8.09
2022-08-02,7.71
2022-08-03,2.23
2022-08-04,2.08
2022-08-05,3.57
2022-08-08,4.01
2022-08-09,3.02
2022-08-10,4.58
2022-08-11,6.93
2022-08-12,8.42
2022-08-15,11.13
2022-08-16,11.65
2022-08-17,10.85
2022-08-18,12.2
2022-08-19,10.55
2022-08-22,8.96
2022-08-23,10.02
2022-08-24,12.96
2022-08-25,14.94
2022-08-26,12.81
2022-08-29,14.49
2022-08-30,14.26
2022-08-31,15.11
2022-09-01,16.31
2022-09-02,15.99
2022-09-06,17.29
2022-09-07,21.73
2022-09-08,22.09
2022-09-09,21.42
2022-09-12,22.31
2022-09-13,17.9
2022-09-14,16.83
2022-09-15,15.88
2022-09-16,14.78
2022-09-19,15.55
2022-09-20,14.22
2022-09-21,12.63
2022-09-22,10.12
2022-09-23,7.55
2022-09-26,6.28
2022-09-27,8.05
2022-09-28,12.19
2022-09-29,10.97
2022-09-30,9.99
2022-10-03,10.96
2022-10-04,10.74
2022-10-05,8.56
2022-10-06,7.49
2022-10-07,6.37
2022-10-10,7.0
2022-10-11,8.78
2022-10-12,9.12
2022-10-13,9.36
2022-10-14,8.08
2022-10-17,10.36
2022-10-18,11.03
2022-10-19,5.89
2022-10-20,4.61
2022-10-21,4.95
2022-10-24,5.45
2022-10-25,8.4
2022-10-26,9.46
2022-10-27,10.28
2022-10-28,14.09
2022-10-31,14.97
2022-11-01,15.69
2022-11-02,11.52
2022-11-03,13.95
2022-11-04,14.68
2022-11-07,14.97
2022-11-08,16.0
2022-11-09,13.35
2022-11-10,16.13
2022-11-11,17.96
2022-11-14,15.86
2022-11-15,19.6
2022-11-16,19.42
2022-11-17,19.17
2022-11-18,20.76
2022-11-21,21.18
2022-11-22,23.18
2022-11-23,22.65
2022-11-25,22.92
2022-11-28,25.35
2022-11-29,23.34
2022-11-30,27.44
2022-12-01,29.55
2022-12-02,29.22
2022-12-05,29.54
2022-12-06,27.64
2022-12-07,31.61
2022-12-08,32.05
2022-12-09,29.3
2022-12-12,29.39
2022-12-13,27.32
2022-12-14,26.89
2022-12-15,24.75
2022-12-16,23.68
2022-12-19,20.77
2022-12-20,20.41
2022-12-21,24.0
2022-12-22,25.3
2022-12-23,25.12
2022-12-27,27.21
2022-12-28,27.08
2022-12-29,27.43
2022-12-30,28.6
2023-01-03,29.3
2023-01-04,32.56
2023-01-05,34.04
2023-01-06,33.29
2023-01-09,32.9
2023-01-10,33.96
2023-01-11,35.31
2023-01-12,34.84
2023-01-13,34.61
2023-01-17,35.59
2023-01-18,37.1
2023-01-19,33.82
2023-01-20,34.68
2023-01-23,37.21
2023-01-24,37.5
2023-01-25,37.8
2023-01-26,38.95
2023-01-27,38.63
2023-01-30,39.26
2023-01-31,40.9
2023-02-01,43.54
2023-02-02,42.79
2023-02-03,42.77
